N	4gram	Medvedev_F_2	Freidism
1	в то же время	5	4
2	один и тот же	1	3
3	ни в чем не	1	2
4	но в то же	1	2
5	и не может быть	2	2
6	может быть и речи	3	1
7	но тем не менее	1	1
8	мы имеем в виду	1	1
9	если мы обратимся к	1	1
10	собственном смысле этого слова	1	1
11	или во всяком случае	1	1
12	во что бы то	1	1
13	не могут быть поняты	1	1
14	в самом деле ведь	1	1
15	не чем иным как	1	1
16	во всяком случае в	1	1
17	язык и его формы	1	1
18	всяком случае уже не	1	1
19	и пр и пр	4	1
20	в общем можно сказать	1	1
21	что же это за	1	1
22	что бы то ни	1	1
23	и с помощью каких	1	1
24	бы то ни стало	1	1
25	и роковую роль в	1	1
26	не может быть и	3	1
27	пределах индивидуального организма и	1	1
28	сводится к тому чтобы	1	1
29	как раз и не	1	1
30	в такой же степени	1	1
31	во всяком случае уже	1	1
32	в собственном смысле этого	1	1
