N	3gram	Tiupa_Narr_1	Poddanst
1	в то же	3	7
2	то же время	3	7
3	не только в	2	4
4	в том что	8	4
5	с точки зрения	2	3
6	сами по себе	2	3
7	с одной стороны	7	3
8	в том числе	6	2
9	и в то	1	2
10	в ней не	1	2
11	том что в	1	1
12	что в этом	1	1
13	далеко не все	1	1
14	более или менее	2	1
15	в рамках этого	1	1
16	в этом смысле	1	1
17	есть прежде всего	1	1
18	или хотя бы	1	1
19	начала и конца	1	1
20	тот или иной	1	1
21	же время в	1	1
22	в отличие от	5	1
23	и быть может	1	1
24	и то что	1	1
25	так же как	2	1
26	в этом не	1	1
27	было в прошлом	2	1
28	с другой стороны	4	1
29	не может быть	5	1
30	быть может не	1	1
31	именно в рамках	1	1
32	само по себе	1	1
33	и тем самым	3	1
34	и тем более	1	1
35	тем более что	1	1
36	друг с другом	1	1
37	в известном смысле	2	1
38	тех кто не	1	1
39	в отрыве от	1	1
40	на наш взгляд	1	1
41	том числе и	4	1
