N	2gram	Tiupa_Narr_2	slovoVRo
1	в романе	1	46
2	и в	13	39
3	может быть	10	37
4	и т	2	35
5	и его	3	33
6	т п	2	33
7	то есть	9	26
8	не только	26	24
9	и не	14	22
10	но и	15	21
11	не может	8	20
12	в нем	5	19
13	в этом	13	16
14	все это	1	16
15	так и	9	15
16	а не	17	14
17	человек и	1	14
18	отличие от	5	13
19	как в	5	13
20	в процессе	2	13
21	во всех	1	12
22	в отличие	5	12
23	вовсе не	2	10
24	к своему	2	9
25	и с	1	9
26	не в	8	9
27	со своим	2	9
28	языка и	1	9
29	таким образом	5	8
30	оно не	2	8
31	себя в	2	8
32	прежде всего	6	8
33	слова и	1	8
34	точки зрения	5	8
35	еще не	2	7
36	с его	3	7
37	о слове	1	7
38	в него	2	7
39	при этом	14	7
40	в этих	1	7
41	для него	4	7
42	с ним	4	7
43	никогда не	6	7
44	как мы	1	7
45	в его	6	7
46	и даже	3	7
47	и потому	1	7
48	как бы	6	7
49	но не	3	6
50	в своем	6	6
51	все же	6	6
52	и к	6	6
53	но в	6	6
54	все эти	3	6
55	так сказать	3	6
56	в слове	3	6
57	как и	4	6
58	она не	1	6
59	в большинстве	1	6
60	человек в	3	6
61	жизни и	4	6
62	например в	1	5
63	героя и	2	5
64	это не	3	5
65	том что	13	5
66	не могут	1	5
67	той или	3	5
68	мира и	3	5
69	с другой	5	5
70	один из	3	5
71	в том	14	5
72	с ними	3	5
73	с одной	5	5
74	уже не	4	5
75	и их	1	5
76	одной стороны	5	5
77	или иной	3	5
78	большинстве случаев	1	5
79	в плане	1	5
80	и для	3	5
81	только в	11	5
82	для нас	2	5
83	и все	4	5
84	и наконец	1	5
85	отношения к	1	4
86	в зависимости	1	4
87	его не	1	4
88	по отношению	5	4
89	отношение к	1	4
90	то же	4	4
91	входит в	1	4
92	и иных	1	4
93	в новое	1	4
94	ни в	1	4
95	в отношении	1	4
96	остается вне	1	4
97	не менее	4	4
98	в то	5	4
99	одна из	3	4
100	в основе	1	4
101	же время	3	4
102	зависимости от	1	4
103	здесь не	2	4
104	наконец в	1	4
105	дело с	2	4
106	с помощью	1	4
107	на фоне	2	4
108	xix века	1	4
109	в той	5	4
110	в чужом	1	4
111	а в	9	4
112	отношению к	5	4
113	в таком	3	4
114	как это	4	3
115	п все	1	3
116	должна быть	2	3
117	той же	2	3
118	говорить о	2	3
119	в чем	2	3
120	стороны и	1	3
121	перед нами	4	3
122	и как	1	3
123	бы и	1	3
124	с их	1	3
125	на этом	1	3
126	не с	1	3
127	еще раз	1	3
128	с точки	2	3
129	не столько	5	3
130	точку зрения	3	3
131	не была	1	3
132	связи с	1	3
133	этом отношении	3	3
134	в ней	2	3
135	глубоко и	1	3
136	в состав	3	3
137	а также	6	3
138	к чужому	1	3
139	к нему	1	3
140	между тем	3	3
141	что и	2	3
142	в бытовой	1	3
143	быть и	1	3
144	или даже	3	3
145	у него	6	3
146	в свою	2	3
147	может иметь	1	3
148	связано с	1	3
149	если она	1	3
150	как к	3	3
151	и от	1	3
152	но это	2	3
153	как для	1	3
154	что в	4	3
155	хотя бы	2	3
156	сказать что	3	3
157	одновременно и	1	3
158	героя в	6	3
159	во всяком	1	3
160	одним из	1	2
161	также и	1	2
162	к иной	1	2
163	это и	1	2
164	в чужой	2	2
165	ведь и	1	2
166	с таким	2	2
167	на материале	1	2
168	мы не	2	2
169	именно к	1	2
170	но она	1	2
171	с ее	1	2
172	подчеркнуть что	2	2
173	не все	2	2
174	в новом	1	2
175	за пределы	1	2
176	хотя и	5	2
177	как уже	2	2
178	более или	1	2
179	в нашем	2	2
180	в себе	8	2
181	роль в	2	2
182	как он	2	2
183	он не	5	2
184	в виде	2	2
185	и более	2	2
186	из него	1	2
187	людей и	1	2
188	в нее	1	2
189	конечно в	1	2
190	зрения на	2	2
191	далеко не	5	2
192	автора и	1	2
193	или менее	1	2
194	но он	2	2
195	однако в	2	2
196	на котором	1	2
197	нашего сознания	1	2
198	и внутренней	2	2
199	того чтобы	3	2
200	чем не	1	2
201	в одном	1	2
202	возможно и	1	2
203	с одним	1	2
204	к ней	3	2
205	слове и	1	2
206	а лишь	1	2
207	в области	2	2
208	и оно	1	2
209	на границе	1	2
210	и образ	1	2
211	границе между	1	2
212	в себя	4	2
213	в другом	4	2
214	те же	2	2
215	особенно в	1	2
216	о нем	3	2
217	и здесь	2	2
218	на него	5	2
219	о том	5	2
220	и т.п	6	2
221	но мы	1	2
222	или на	1	2
223	может не	1	2
224	в толпе	1	2
225	в форме	5	2
226	еще более	1	2
227	к различным	1	2
228	что он	5	2
229	всяком случае	1	2
230	именно на	1	2
231	со всеми	2	2
232	и чисто	1	2
233	на протяжении	5	2
234	в прошлом	1	2
235	для того	1	2
236	то что	8	2
237	именно как	1	2
238	до сих	1	2
239	именно в	2	2
240	а именно	1	2
241	действующих лиц	3	2
242	более того	1	2
243	с которым	1	2
244	его как	1	2
245	как о	2	2
246	не всегда	1	2
247	в связи	1	2
248	но оно	1	2
249	вместе с	1	2
250	и особенно	1	2
251	как вещь	1	2
252	в данном	10	2
253	есть на	1	2
254	и нет	1	2
255	сих пор	1	2
256	в смысловом	1	2
257	говорящего и	1	2
258	или в	1	2
259	в результате	2	2
260	из существеннейших	1	2
261	обстоит дело	1	2
262	жизни в	6	2
263	на роль	1	2
264	только с	1	2
265	может и	1	2
266	не знает	1	2
267	и внутренне	1	2
268	к его	3	2
269	речи как	1	2
270	просто не	1	2
271	все что	4	2
272	они не	2	2
