N	3gram	Voloshinov_2	Dialekti
1	с точки зрения	13	14
2	в таком случае	3	10
3	тем не менее	1	10
4	что иное как	1	6
5	не может быть	10	6
6	не что иное	1	6
7	в самом деле	5	5
8	сам по себе	1	5
9	по крайней мере	2	5
10	само по себе	1	5
11	о том что	3	5
12	сами по себе	1	3
13	ни в коем	2	3
14	в коем случае	2	3
15	с одной стороны	3	3
16	в том что	6	3
17	коем случае не	1	3
18	как и в	1	3
19	и прежде всего	2	3
20	ровно ничего не	1	3
21	на то что	2	3
22	не говоря уже	1	2
23	того или иного	2	2
24	он не может	1	2
25	тот или иной	1	2
26	говоря уже о	1	2
27	но они не	1	2
28	в зависимости от	2	2
29	одно и то	3	2
30	существует таким образом	1	2
31	есть в сущности	1	2
32	и то же	3	2
33	не могут быть	1	2
34	с другой стороны	1	2
35	во всяком случае	2	2
36	что же такое	1	2
37	той или иной	4	2
38	к тому что	3	2
39	к тому же	2	2
40	так или иначе	1	2
41	и пр и	4	1
42	а следовательно и	1	1
43	мы ни взяли	3	1
44	из всего этого	1	1
45	вообще не имеет	1	1
46	не есть вещь	1	1
47	он исходит из	1	1
48	мы уже сказали	1	1
49	на самом деле	4	1
50	и в особенности	1	1
51	то же самое	5	1
52	точки зрения в	1	1
53	той же самой	1	1
54	одной стороны и	2	1
55	прежде всего –	1	1
56	до сих пор	3	1
57	дело вовсе не	1	1
58	и не может	3	1
59	в этом отношении	1	1
60	его живыми силами	1	1
61	для себя и	1	1
62	а иногда и	2	1
63	быть и для	1	1
64	не может выйти	1	1
65	в последнее время	1	1
66	все то же	1	1
67	с другой –	1	1
68	было бы в	1	1
69	мы никогда не	2	1
70	и в основе	1	1
71	так и от	2	1
72	то откуда же	1	1
73	не знает ни	2	1
74	у нас не	2	1
75	и в том	1	1
76	в учении о	1	1
77	более или менее	2	1
78	с той или	1	1
79	ни к чему	1	1
80	то же время	8	1
81	в нем нет	2	1
82	и пр в	1	1
83	к чему не	1	1
84	если только оно	1	1
85	что это –	1	1
86	точки зрения самого	2	1
87	к нему и	1	1
88	в конечном счете	1	1
89	бы то ни	4	1
90	не менее в	1	1
91	то ни было	4	1
92	но что же	1	1
93	в то же	8	1
94	в связи с	7	1
95	нем нет никакого	1	1
96	пр и пр	3	1
97	никакого отношения к	1	1
98	только при условии	1	1
99	уже о том	1	1
100	в себе не	1	1
