N	3gram	Voloshinov_1	Hudozhes
1	по отношению к	2	10
2	в отличие от	5	7
3	то же время	3	6
4	в то же	3	6
5	более или менее	1	5
6	с другой стороны	5	5
7	той или иной	1	5
8	в том что	3	5
9	и того же	5	3
10	всех без исключения	4	3
11	с точки зрения	20	3
12	одного и того	5	3
13	тем не менее	2	3
14	можно сказать что	3	3
15	в этом смысле	2	3
16	он тем не	1	2
17	в данный момент	2	2
18	тот или иной	1	2
19	в таком случае	2	2
20	в основе своей	1	2
21	до известной степени	1	2
22	в значительной степени	1	2
23	с одной стороны	1	2
24	так или иначе	1	2
25	в свою очередь	2	2
26	для того чтобы	3	2
27	том числе и	2	2
28	в том числе	2	2
29	к тому что	1	2
30	и прежде всего	2	2
31	сама по себе	2	2
32	и в сущности	1	1
33	место лишь в	1	1
34	точки зрения и	1	1
35	прежде всего в	1	1
36	совпадая со своей	1	1
37	одним и тем	1	1
38	подобно тому как	1	1
39	в настоящее время	6	1
40	в этом случае	3	1
41	и для него	1	1
42	в одной из	1	1
43	бы то ни	8	1
44	в себе и	1	1
45	точки зрения не	2	1
46	могли бы быть	1	1
47	отчет в том	1	1
48	он ни был	1	1
49	с этой точки	1	1
50	может быть и	3	1
51	к субъекту и	1	1
52	и не дает	1	1
53	во внутренней речи	1	1
54	себе отчет в	2	1
55	то ни было	8	1
56	таким образом и	1	1
57	наиболее глубокий и	1	1
58	все без исключения	3	1
59	во втором случае	1	1
60	не могут быть	2	1
61	и как бы	1	1
62	в связи с	7	1
63	так же как	2	1
64	ни к каким	1	1
65	по ту сторону	1	1
66	она могла бы	1	1
67	а в том	1	1
68	это и есть	2	1
69	совершенно особое отношение	1	1
70	этой точки зрения	1	1
71	и в самом	1	1
72	во времени и	1	1
73	ту или иную	1	1
74	в литературе в	1	1
75	в данном отношении	1	1
76	друг от друга	1	1
77	языка в частности	1	1
78	в данном контексте	1	1
79	таким образом с	1	1
80	в отношении к	4	1
81	и тем же	1	1
82	не рассчитан на	1	1
83	том что он	1	1
84	не может быть	13	1
85	является как бы	1	1
