N	3gram	Bakhtin_fo_1	NovoeSre
1	в высшей степени	1	6
2	не может быть	3	4
3	в средние века	1	3
4	со всех сторон	1	3
5	равно как и	2	2
6	что в нем	1	2
7	большую роль в	1	2
8	в нем нет	2	2
9	вместе с тем	2	2
10	так же как	2	2
11	с одной стороны	2	2
12	когда мы говорим	1	2
13	в свои права	1	2
14	он не имеет	1	2
15	по своей природе	1	1
16	и того же	5	1
17	прежде всего они	1	1
18	то время как	2	1
19	и до сих	1	1
20	одного и того	5	1
21	в том числе	4	1
22	человек а не	1	1
23	же как и	2	1
24	потому что не	1	1
25	не было и	2	1
26	до сих пор	3	1
27	и во всех	1	1
28	для себя и	1	1
29	в зависимости от	1	1
30	сами по себе	1	1
31	в отличие от	2	1
32	наряду с этим	2	1
33	но и в	2	1
34	общественной жизни и	1	1
35	но наряду с	1	1
36	том числе и	2	1
37	и для того	1	1
38	и не был	1	1
39	может быть только	3	1
40	в xix и	1	1
41	в событиях и	1	1
42	но нет и	1	1
43	не только в	2	1
44	но она не	1	1
45	еще не было	1	1
46	не могут быть	1	1
47	по природе своей	2	1
48	в нем не	3	1
49	во всяком случае	1	1
50	и еще не	1	1
51	это время как	1	1
52	о том что	1	1
53	в то время	3	1
54	вступает в свои	1	1
55	ни в чем	2	1
56	в значительной степени	1	1
57	есть по существу	1	1
58	та или иная	1	1
59	мы говорим о	1	1
60	в новое время	1	1
61	которые могут быть	1	1
62	совершенно так же	1	1
63	жизни не может	1	1
64	и совсем не	1	1
65	в том что	2	1
66	того чтобы быть	1	1
67	как и в	2	1
68	про себя а	1	1
