N	2gram	Losev_Vesc_1	Tragedij
1	и в	21	18
2	в этом	4	9
3	не только	36	8
4	и с	8	7
5	может быть	16	7
6	как бы	12	7
7	и не	29	7
8	но в	5	6
9	и его	2	6
10	что он	1	6
11	у него	2	6
12	то же	6	5
13	все же	4	5
14	что это	13	5
15	это не	5	5
16	как и	8	5
17	несмотря на	1	5
18	в то	3	5
19	в дальнейшем	1	5
20	так и	3	5
21	не может	17	5
22	а я	1	5
23	я не	4	4
24	еще не	8	4
25	в себе	14	4
26	в этой	3	4
27	иваном петровичем	1	4
28	в нем	2	4
29	об этом	3	4
30	том что	8	4
31	что я	24	4
32	и что	15	4
33	но и	18	4
34	и даже	6	4
35	прежде всего	9	4
36	так же	1	4
37	но это	10	4
38	все это	5	4
39	этот образ	1	4
40	что в	9	4
41	и все	5	4
42	то что	27	4
43	что образ	2	3
44	и он	1	3
45	отнюдь не	5	3
46	в своем	6	3
47	и как	8	3
48	все эти	3	3
49	при этом	1	3
50	должно быть	6	3
51	тем самым	1	3
52	о чем	1	3
53	что вы	3	3
54	с ее	6	3
55	мог бы	5	3
56	жизнь и	1	3
57	с ним	8	3
58	к нему	1	3
59	в его	2	3
60	один из	3	3
61	уже в	1	3
62	для него	4	3
63	никто не	1	3
64	в конце	2	3
65	как будто	1	3
66	как это	2	3
67	в первом	2	2
68	из самых	2	2
69	что эти	1	2
70	из своих	1	2
71	никогда не	2	2
72	и то	10	2
73	другим в	1	2
74	с его	1	2
75	ее к	2	2
76	отношение к	1	2
77	отличие от	1	2
78	тут же	2	2
79	не просто	19	2
80	так что	5	2
81	и я	1	2
82	перед нами	2	2
83	говорит что	1	2
84	в самом	9	2
85	бы и	5	2
86	то и	4	2
87	что она	15	2
88	что все	2	2
89	его в	2	2
90	знает что	2	2
91	в это	1	2
92	ни в	1	2
93	с тем	5	2
94	не мог	1	2
95	я ведь	1	2
96	пусть мы	1	2
97	в отличие	1	2
98	вопрос о	1	2
99	не в	5	2
100	раз и	1	2
101	одна из	5	2
102	я буду	1	2
103	он и	1	2
104	к тому	3	2
105	и это	14	2
106	в ее	7	2
107	данном случае	2	2
108	а что	1	2
109	ничего не	3	2
110	и здесь	4	2
111	о том	6	2
112	что и	3	2
113	в том	8	2
114	даже если	1	2
115	и ее	18	2
116	уже не	9	2
117	в виде	1	2
118	не так	1	2
119	в одном	2	2
120	не случайно	2	2
121	на меня	3	2
122	тем что	2	2
123	чем он	1	2
124	как же	3	2
125	мистический ужас	1	2
126	только к	2	2
127	говорит о	1	2
128	ничем не	3	2
129	было в	1	2
130	в данном	5	2
131	она должна	2	2
132	это уже	1	2
133	от всего	12	2
134	потому что	16	2
135	личности и	1	2
136	состоит из	1	2
137	в частности	1	2
138	только о	1	2
139	по поводу	1	2
140	эта новая	1	1
141	я и	6	1
142	ли мы	2	1
143	ту же	2	1
144	также что	1	1
145	и т	19	1
146	в сфере	4	1
147	я его	1	1
148	от самой	4	1
149	человека и	1	1
150	это значит?	2	1
151	сам по	3	1
152	самом деле	4	1
153	силы и	1	1
154	это и	6	1
155	же по	1	1
156	и есть	26	1
157	что когда	1	1
158	от самого	1	1
159	должна быть	4	1
160	имя его	1	1
161	той же	2	1
162	хотя сам	1	1
163	даже я	1	1
164	которую я	2	1
165	и новые	1	1
166	не вполне	2	1
167	на себя	1	1
168	ему в	1	1
169	средство для	1	1
170	в виду	2	1
171	в ней	12	1
172	между собой	1	1
173	быть в	1	1
174	или от	1	1
175	в чем	6	1
176	во всех	2	1
177	но не	5	1
178	могло быть	1	1
179	всегда стремится	1	1
180	с совершенно	1	1
181	тогда как	1	1
182	в настоящем	2	1
183	понял и	1	1
184	чем же	3	1
185	в истории	1	1
186	вот я	1	1
187	что именно	1	1
188	известный образ	1	1
189	что ее	2	1
190	и наконец	1	1
191	неизмеримо более	1	1
192	силе и	1	1
193	для ее	2	1
194	то в	4	1
195	понятие в	1	1
196	в которой	1	1
197	и отношения	1	1
198	только один	2	1
199	если он	1	1
200	не могла	1	1
201	и если	2	1
202	упования на	1	1
203	вообще не	2	1
204	на западе	1	1
205	перестает быть	3	1
206	и еще	2	1
207	не значит	7	1
208	к одному	3	1
209	не к	1	1
210	что нужно	3	1
211	в россии	2	1
212	содержит в	4	1
213	что тут	6	1
214	никому не	1	1
215	и по	1	1
216	на этом	2	1
217	таким образом	8	1
218	от нее	2	1
219	но без	1	1
220	здесь мы	1	1
221	а затем	2	1
222	факт что	1	1
223	же не	1	1
224	в другом	2	1
225	конечно в	1	1
226	и чтобы	1	1
227	это было	1	1
228	заключается в	1	1
229	бедная и	1	1
230	быть не	4	1
