N	2gram	Vinokur_Ku_3	Sotsiolo
1	все это	2	7
2	в том	22	5
3	в этом	16	5
4	и только	3	3
5	более чем	2	3
6	как же	3	3
7	для нас	4	3
8	не только	17	3
9	и в	23	3
10	не в	5	3
11	в его	11	3
12	за пределы	2	2
13	метод и	1	2
14	но и	3	2
15	и мы	1	2
16	было бы	16	2
17	в смысле	1	2
18	она может	2	2
19	должна быть	3	2
20	только в	6	2
21	дело не	2	2
22	по природе	1	2
23	далеко не	5	2
24	в результате	3	2
25	тем более	5	2
26	том что	11	2
27	одно дело	1	2
28	в частности	2	2
29	как будто	1	2
30	то что	4	2
31	главным образом	2	2
32	или даже	1	2
33	и что	7	2
34	литературы и	1	2
35	еще не	9	2
36	только как	4	2
37	таким образом	9	2
38	это и	3	2
39	отношению к	2	2
40	что в	13	2
41	может быть	14	2
42	как бы	5	2
43	по отношению	3	2
44	очевидно что	3	2
45	по существу	3	2
46	то же	6	2
47	друг от	1	1
48	крайней мере	1	1
49	что все	2	1
50	я и	3	1
51	противном случае	1	1
52	вряд ли	1	1
53	быть не	2	1
54	по себе	6	1
55	даже в	1	1
56	сама по	2	1
57	а вот	2	1
58	так называемым	1	1
59	не должна	1	1
60	тому что	4	1
61	отнюдь не	3	1
62	эти два	2	1
63	и должны	1	1
64	выходит за	1	1
65	системы как	1	1
66	с другой	7	1
67	его в	2	1
68	дает нам	2	1
69	только для	2	1
70	ровно ничего	1	1
71	это не	3	1
72	науки о	1	1
73	на этот	2	1
74	именно в	3	1
75	в чем	5	1
76	значении слова	2	1
77	все же	5	1
78	в противном	1	1
79	один из	4	1
80	и есть	5	1
81	перед нами	1	1
82	в то	3	1
83	тем же	2	1
84	жанра и	1	1
85	еще и	2	1
86	только то	3	1
87	а с	3	1
88	тем что	5	1
89	вопросом о	4	1
90	и как	2	1
91	бы видеть	1	1
92	в процессе	3	1
93	что эти	2	1
94	на ней	1	1
95	история литературы	1	1
96	что он	6	1
97	тогда и	1	1
98	прежде всего	9	1
99	так и	6	1
100	не было	4	1
101	одной стороны	4	1
102	те же	7	1
103	но только	1	1
104	научной мысли	1	1
105	и не	10	1
106	это вовсе	1	1
107	пишет он	1	1
108	искусство слова	1	1
109	на тех	1	1
110	никогда не	1	1
111	наше время	1	1
112	зависит от	1	1
113	основной вопрос	1	1
114	не место	1	1
115	мы не	3	1
116	же время	1	1
117	ничего не	6	1
118	влияет на	1	1
119	и о	4	1
120	формальный метод	1	1
121	связь между	3	1
122	все эти	7	1
123	это же	1	1
124	чуть ли	1	1
125	далеко еще	1	1
126	легко но	1	1
127	именно на	2	1
128	как и	5	1
129	между собой	1	1
130	или нет	1	1
131	с помощью	6	1
132	для этого	6	1
133	иначе говоря	2	1
134	она должна	1	1
135	мы должны	3	1
136	остается в	2	1
137	в таких	2	1
138	в сущности	4	1
139	пришлось бы	1	1
140	но она	1	1
141	конечно не	2	1
142	в связи	5	1
143	в те	1	1
144	и его	1	1
145	в этих	2	1
146	связи с	6	1
147	от друга	1	1
148	в лучшем	1	1
149	хотя бы	9	1
150	наука но	1	1
151	в целом	4	1
152	от общих	1	1
153	для наших	1	1
154	не может	6	1
155	в своей	4	1
156	только тогда	4	1
157	и должно	5	1
158	а в	5	1
159	тех кто	1	1
160	что она	5	1
161	можно будет	2	1
162	стр в	1	1
163	о том	6	1
164	изучать в	1	1
165	не дает	2	1
166	в области	14	1
167	и потому	1	1
168	же это	2	1
169	представить себе	1	1
170	в него	1	1
171	в котором	2	1
172	никак не	2	1
173	в строгом	1	1
174	между ними	1	1
175	конечно только	1	1
176	всему этому	1	1
177	литературе и	1	1
178	может не	1	1
179	столь же	4	1
180	время в	3	1
181	всяком случае	1	1
182	не выходит	1	1
183	когда мы	3	1
184	в силу	6	1
185	слишком много	1	1
186	в область	2	1
187	ни на	2	1
188	в конечном	1	1
189	что это	3	1
190	вовсе не	5	1
191	ли не	1	1
192	но сам	2	1
193	же самое	1	1
194	будет тем	1	1
195	с одной	4	1
196	что без	1	1
197	может служить	2	1
198	но не	3	1
199	а тем	2	1
200	в систему	1	1
201	в виде	1	1
202	в данном	7	1
203	между тем	4	1
204	но как	3	1
205	что на	3	1
206	конечном счете	1	1
207	по крайней	1	1
208	бы о	1	1
209	понимать что	1	1
210	и более	3	1
211	во всяком	2	1
212	и будет	1	1
213	перейти к	2	1
214	в каждом	1	1
215	они не	3	1
