N	3gram	Tiupa_Lite_1	KulturaY
1	в том что	11	15
2	с точки зрения	2	9
3	по отношению к	2	8
4	в самом деле	1	7
5	только потому что	1	6
6	с другой стороны	1	6
7	о том что	2	5
8	в зависимости от	1	5
9	в этом отношении	2	5
10	по крайней мере	1	5
11	во всяком случае	2	5
12	в той мере	1	5
13	до сих пор	1	4
14	том что он	1	4
15	тем не менее	2	4
16	состоит в том	5	3
17	в соответствии с	1	3
18	только в том	2	3
19	можно было бы	1	3
20	в связи с	4	3
21	а с другой	1	3
22	в свою очередь	1	3
23	не может быть	1	3
24	и того же	1	2
25	чуть ли не	2	2
26	на самом деле	1	2
27	на то что	1	2
28	так или иначе	8	2
29	того что они	1	2
30	на мой взгляд	1	2
31	по большей части	1	2
32	именно в том	1	2
33	то же время	5	2
34	этой точки зрения	3	2
35	но все же	1	2
36	одного и того	1	2
37	в то же	5	2
38	говоря уже об	1	1
39	на том что	1	1
40	как например в	1	1
41	не в силах	1	1
42	лишь в той	1	1
43	иметь в виду	1	1
44	не говоря уже	2	1
45	во многих случаях	1	1
46	это уже не	1	1
47	так и не	1	1
48	имеется в виду	1	1
49	начале xix века	1	1
50	с одной стороны	2	1
51	как раз и	1	1
52	но не менее	1	1
53	следующим образом если	1	1
54	в отличие от	5	1
55	лишь тогда когда	1	1
56	в наше время	1	1
57	к тому чтобы	1	1
58	все той же	1	1
59	том что не	1	1
60	с этой точки	3	1
61	в это время	1	1
62	тогда как в	1	1
63	в конечном итоге	1	1
64	которые могли бы	1	1
65	едва ли не	1	1
66	для своего времени	2	1
67	ничего общего с	1	1
68	в виду не	2	1
69	казалось бы не	1	1
70	не только в	4	1
71	тех или иных	1	1
72	в начале xix	1	1
73	культуры в целом	2	1
74	устная и письменная	1	1
75	исходит из того	1	1
76	хотя бы на	1	1
77	при этом в	3	1
78	с легкой руки	2	1
79	это еще не	1	1
80	между тем как	1	1
81	по аналогии с	3	1
82	уже не просто	1	1
83	далеко не всегда	1	1
84	и тем самым	2	1
85	тем более что	1	1
86	его тем самым	1	1
87	в большинстве случаев	1	1
88	естественно не мог	1	1
89	сознания а не	1	1
90	альфа и омега	1	1
91	а то и	1	1
92	тот или иной	1	1
