N	2gram	Ircho_Kome_3	BTomashe
1	и не	21	2
2	больше чем	2	2
3	все это	5	2
4	в ней	4	2
5	видеть в	1	2
6	можно было	2	2
7	крайней мере	1	1
8	же не	1	1
9	за пределы	2	1
10	тем более	4	1
11	говорить о	3	1
12	об этом	7	1
13	и в	22	1
14	и о	2	1
15	выходит за	1	1
16	к ней	8	1
17	что все	1	1
18	бы больше	1	1
19	с другой	4	1
20	в своей	5	1
21	на которой	1	1
22	в трактовке	1	1
23	из ее	1	1
24	было бы	3	1
25	все же	4	1
26	всяком случае	3	1
27	а о	2	1
28	никак не	1	1
29	между ними	2	1
30	точке зрения	1	1
31	меньше чем	2	1
32	было и	1	1
33	еще не	6	1
34	и на	2	1
35	в пределах	2	1
36	представляется нам	1	1
37	одной из	3	1
38	прежде всего	5	1
39	и во	2	1
40	так и	4	1
41	о них	1	1
42	не было	2	1
43	его не	2	1
44	из своей	1	1
45	совершенно не	2	1
46	далеко не	3	1
47	не о	3	1
48	всего в	1	1
49	до конца	4	1
50	а не	4	1
51	что в	5	1
52	в области	2	1
53	другой стороны	2	1
54	и ее	2	1
55	по крайней	1	1
56	отнюдь не	4	1
57	чем на	1	1
58	короче говоря	1	1
59	таким образом	12	1
60	вопрос о	1	1
61	и потому	1	1
62	не только	5	1
63	во всяком	3	1
64	в эпоху	2	1
