N	3gram	Voloshinov_1	Sotsiolo
1	в том что	4	2
2	социологический метод в	1	2
3	по отношению к	11	2
4	в настоящее время	2	1
5	в процессе живого	1	1
6	в том и	1	1
7	отношению к которому	1	1
8	а между тем	1	1
9	развитие по природе	1	1
10	и в этом	1	1
11	только то что	1	1
12	по крайней мере	1	1
13	то же самое	2	1
14	сама по себе	1	1
15	в конечном счете	1	1
16	в свои права	1	1
17	по самому существу	1	1
18	истории литературы и	1	1
19	в то же	1	1
20	вступает в свои	1	1
21	то же время	1	1
22	ровно ничего не	1	1
23	бы они ни	1	1
24	они ни были	1	1
25	в противном случае	1	1
26	не должна быть	1	1
27	в лучшем случае	1	1
28	с одной стороны	2	1
29	во всяком случае	1	1
30	эволюционное развитие по	1	1
