N	2gram	Nazirov_Vr_1	Psycholo
1	в том	3	37
2	и в	8	32
3	и что	8	22
4	том что	3	21
5	потому что	1	21
6	таким образом	2	21
7	то что	7	21
8	что в	7	20
9	может быть	4	18
10	так же	4	18
11	точки зрения	2	17
12	не может	2	17
13	то же	5	13
14	в этом	8	13
15	при этом	4	13
16	что он	4	13
17	в самом	1	12
18	заключается в	1	12
19	не только	9	12
20	на то	3	11
21	было бы	1	11
22	с точки	2	10
23	при помощи	2	10
24	но и	7	10
25	как и	6	10
26	и не	5	10
27	как в	1	9
28	никогда не	2	9
29	тем что	3	9
30	в своих	4	9
31	той же	1	8
32	что это	1	8
33	не менее	2	8
34	того что	1	8
35	что они	1	7
36	и как	3	7
37	ясно что	1	7
38	такой же	1	7
39	и его	3	7
40	мы знаем	2	7
41	что для	1	7
42	в этой	2	6
43	целый ряд	4	6
44	он не	3	6
45	о том	4	6
46	и из	1	6
47	как бы	4	6
48	что у	3	5
49	далеко не	3	5
50	все это	4	5
51	в то	5	5
52	в ней	4	5
53	и даже	6	5
54	до сих	1	5
55	вслед за	1	5
56	отнюдь не	2	5
57	сих пор	1	5
58	как раз	2	5
59	этом отношении	1	5
60	как на	1	5
61	же как	2	4
62	едва ли	1	4
63	столь же	2	4
64	в чем	3	4
65	есть по	1	4
66	из которого	1	4
67	с этим	1	4
68	все же	6	4
69	в целом	1	4
70	в нем	6	4
71	и с	6	4
72	в жизни	1	4
73	несмотря на	4	4
74	не имеет	1	4
75	того как	1	4
76	ничего не	1	4
77	могут быть	1	4
78	тем не	1	4
79	и это	2	4
80	и сам	1	4
81	между тем	5	4
82	из них	2	4
83	от того	1	4
84	наряду с	3	4
85	и все	7	4
86	а в	2	4
87	из этого	1	4
88	жизни и	1	4
89	отношении к	1	3
90	и то	2	3
91	и он	2	3
92	во всех	1	3
93	но как	2	3
94	как говорит	1	3
95	как к	1	3
96	но в	6	3
97	об этом	5	3
98	это было	1	3
99	он сказал	1	3
100	в своей	2	3
101	в их	1	3
102	представление о	1	3
103	человеком и	1	3
104	но он	3	3
105	не могли	1	3
106	во всем	1	3
107	в каком	1	3
