N	2gram	Nazirov_Tv_1	Russkaja
1	не может	4	22
2	и не	7	19
3	в том	7	17
4	в этом	6	17
5	и в	21	14
6	то что	8	13
7	самим собой	4	12
8	то же	13	11
9	таким образом	5	11
10	в то	15	10
11	же время	12	10
12	но и	3	10
13	в себе	2	9
14	не только	7	9
15	том что	11	9
16	может быть	5	9
17	прежде всего	4	8
18	самом деле	2	7
19	отнюдь не	5	7
20	и если	1	7
21	и с	3	7
22	в данном	2	7
23	к тому	2	7
24	не будет	2	7
25	стремление к	2	7
26	о том	6	7
27	самого себя	1	7
28	мы должны	1	7
29	если в	2	6
30	в своем	4	6
31	и к	1	6
32	в россии	3	6
33	с тем	1	6
34	в своих	5	6
35	все это	10	6
36	что он	6	6
37	для всех	1	6
38	для него	6	6
39	на самом	3	6
40	и на	7	5
41	между собой	1	5
42	во имя	2	5
43	во всех	1	5
44	в нем	3	5
45	при этом	7	5
46	он не	8	5
47	было бы	1	5
48	в своей	4	5
49	никогда не	3	5
50	потому что	5	5
51	между тем	1	5
52	только в	5	5
53	хотя бы	5	5
54	до сих	1	5
55	себя и	1	5
56	сих пор	1	5
57	а в	6	5
58	жизни в	6	5
59	бы то	1	4
60	но не	3	4
61	себя в	1	4
62	все же	5	4
63	не в	2	4
64	в этой	5	4
65	на земле	3	4
66	то ни	1	4
67	его в	1	4
68	как и	12	4
69	в их	3	4
70	ли это	1	4
71	не могут	1	4
72	приводит к	2	4
73	в мире	4	4
74	путь к	1	4
75	в его	13	4
76	так как	3	4
77	вместе с	2	4
78	что же	1	4
79	как бы	17	4
80	к вопросу	1	4
81	в другое	1	4
82	отказаться от	2	4
83	жизни и	3	4
84	что в	12	4
85	к этой	1	4
86	вряд ли	2	3
87	и т	3	3
88	то в	2	3
89	и этот	1	3
90	говорить о	1	3
91	еще не	1	3
92	он сам	6	3
93	в самом	3	3
94	что это	1	3
95	на том	2	3
96	был и	1	3
97	и по	3	3
98	для них	1	3
99	о которых	1	3
100	всех этих	1	3
101	но если	3	3
102	одна из	2	3
103	связи с	1	3
104	то это	1	3
105	что оно	1	3
