N	4gram	Vinokur_St_1	VeschiIm
1	т д и т	1	7
2	д и т д	1	7
3	и т д и	2	7
4	в то же время	4	4
5	и в то же	1	3
6	дело в том что	4	2
7	заключается в том что	2	2
8	может быть и речи	1	1
9	это вовсе еще не	1	1
10	что бы то ни	1	1
11	в самом деле не	1	1
12	когда речь идет о	2	1
13	и та и другая	1	1
14	и т д в	1	1
15	ни в каком случае	1	1
16	совершенно не при чем	2	1
17	в то время как	1	1
18	не может быть и	1	1
19	но даже и в	1	1
20	в том что он	1	1
21	т е не только	1	1
22	но в то же	2	1
23	свидетельствует о том что	1	1
24	в том смысле что	1	1
25	это не значит что	3	1
26	она не могла бы	1	1
27	с самого же начала	1	1
28	также и то что	1	1
29	ответ на вопрос о	1	1
30	не может быть никакого	1	1
31	что с точки зрения	1	1
