N	2gram	Propp_Isto_1	Poddanst
1	не только	12	17
2	и в	28	14
3	и не	9	12
4	в области	2	11
5	в этом	8	10
6	в отношении	1	10
7	в качестве	5	9
8	но в	8	9
9	то же	12	9
10	в том	9	9
11	в пределах	4	8
12	хотя бы	4	8
13	только в	11	7
14	в то	3	7
15	в ней	7	6
16	xix века	2	6
17	было бы	7	6
18	е с	1	6
19	но и	10	6
20	в которых	1	5
21	с другой	6	5
22	может быть	25	5
23	и пр	4	5
24	не в	9	5
25	если бы	8	4
26	а также	1	4
27	в своем	5	4
28	и к	1	4
29	как бы	2	4
30	и если	2	4
31	том что	7	4
32	не может	15	4
33	и потому	2	4
34	в котором	3	4
35	по себе	3	4
36	на пути	1	4
37	в русской	2	4
38	что в	12	4
39	мы должны	13	4
40	а в	7	4
41	то что	9	4
42	и т	25	3
43	мы не	10	3
44	д а	1	3
45	сводится к	1	3
46	столь же	2	3
47	между тем	2	3
48	это не	7	3
49	вслед за	6	3
50	хотя и	1	3
51	и как	2	3
52	тот же	2	3
53	с одной	4	3
54	в себе	2	3
55	в нем	2	3
56	ей в	1	3
57	сами по	1	3
58	для того	1	3
59	прежде всего	10	3
60	одной стороны	4	3
61	с тем	4	3
62	что мы	7	3
63	но не	5	3
64	наряду с	3	3
65	могут быть	4	3
66	т е	10	3
67	потому что	4	3
68	и это	1	2
69	отношения к	2	2
70	например в	5	2
71	в ее	2	2
72	и есть	1	2
73	есть не	1	2
74	которую мы	1	2
75	по сравнению	1	2
76	есть нечто	1	2
77	никак не	1	2
78	сомнения что	1	2
79	время в	1	2
80	в значительной	1	2
81	во всех	2	2
82	в которую	3	2
83	говорить о	1	2
84	во всей	2	2
85	со стороны	2	2
86	отнюдь не	1	2
87	с этим	4	2
88	пути в	2	2
89	того что	4	2
90	стороны и	1	2
91	помнить что	1	2
92	ii в	1	2
93	к чему	3	2
94	в начале	3	2
95	главным образом	1	2
96	в его	5	2
97	из них	3	2
98	потому в	1	2
99	в виде	2	2
100	в силу	5	2
101	и вот	2	2
102	как раз	2	2
103	и с	4	2
104	может ли	1	2
105	именно в	3	2
106	и мы	2	2
107	и тем	2	2
108	в жизни	1	2
109	в них	1	2
110	не было	1	2
111	а не	15	2
112	должно быть	2	2
113	нужно было	1	2
114	в эту	1	2
115	не будем	5	2
116	друг другу	1	2
117	в тот	1	2
118	что из	1	2
119	не менее	6	2
120	все это	4	2
121	одна из	2	2
122	современной европейской	1	2
123	мысль о	2	2
124	да и	1	2
125	в полной	1	2
126	для нас	13	2
127	в частности	2	2
128	которых не	1	1
129	загробное существование	1	1
130	также что	1	1
131	также и	3	1
132	в русских	1	1
133	же как	2	1
134	с другом	3	1
135	связана с	1	1
136	происходит и	1	1
137	и то	1	1
138	взять на	1	1
139	на основе	5	1
140	можно дать	1	1
141	как по	1	1
142	тем же	1	1
143	в иных	1	1
144	правила и	1	1
145	и этим	2	1
146	в себя	1	1
147	так было	1	1
148	смысл этого	1	1
149	к жизни	1	1
150	идет речь	1	1
151	уяснить себе	2	1
152	должна быть	5	1
153	как общество	1	1
154	на нее	2	1
155	и ясный	1	1
156	его нет	1	1
157	за то	2	1
158	те же	1	1
159	не с	3	1
160	в и	1	1
161	еще в	2	1
162	при существовании	1	1
163	что уже	1	1
164	воздух и	1	1
165	в эпоху	2	1
166	для этого	3	1
167	вопроса необходимо	1	1
168	находится в	4	1
169	не вполне	2	1
170	на себя	1	1
171	являются ими	1	1
172	всей широте	1	1
173	и ее	1	1
174	в некотором	2	1
175	именно потому	1	1
176	и здесь	7	1
177	подчеркнуть что	2	1
178	может не	1	1
179	не означает	2	1
180	на пространстве	1	1
181	он пришел	2	1
182	и что	10	1
183	еще не	7	1
184	были бы	2	1
185	и на	4	1
186	он был	1	1
187	и силы	1	1
188	с того	3	1
189	восходит к	5	1
190	связь между	3	1
191	ю в	1	1
192	не все	4	1
193	более как	1	1
194	что и	6	1
195	отличие от	2	1
196	не просто	3	1
197	е если	1	1
198	основная задача	1	1
199	них в	1	1
200	также в	1	1
201	составляют часть	1	1
202	мы хотим	2	1
203	в истории	1	1
204	что во	1	1
205	в рамках	2	1
206	не входят	1	1
207	а она	1	1
208	вот как	1	1
209	в современной	3	1
210	тех пор	1	1
211	как начало	1	1
212	сопоставлять с	1	1
213	все же	10	1
214	исторического прошлого	6	1
215	современности в	1	1
216	вопросом о	1	1
217	могут достичь	1	1
218	мы видим	11	1
219	более или	5	1
220	в какой	3	1
221	должен быть	3	1
222	не связаны	1	1
223	может оказаться	3	1
224	только то	1	1
225	но как	1	1
226	в которой	1	1
227	что это	8	1
228	их не	2	1
229	могли бы	3	1
230	представляет собой	4	1
231	из этих	1	1
232	если мы	3	1
233	именно на	2	1
234	себя в	2	1
235	вторая сторона	1	1
236	всего мы	1	1
237	под его	1	1
238	оказывается в	1	1
239	сливаются в	1	1
240	во многих	2	1
241	в большинстве	4	1
242	только на	1	1
243	в жертву	2	1
244	этот вывод	1	1
245	на то	4	1
246	в наших	1	1
247	как оно	2	1
248	что русская	1	1
249	религия есть	1	1
250	т д	22	1
251	связывается с	1	1
252	мы знаем	4	1
253	одно из	1	1
254	не как	3	1
255	иначе как	1	1
256	к ним	4	1
257	друг друга	1	1
258	это значение	2	1
259	мы можем	1	1
260	чтобы это	1	1
261	и только	2	1
262	само по	2	1
263	какой бы	1	1
264	каждый из	1	1
265	широко и	1	1
266	на наш	1	1
267	и по	3	1
268	дело идет	1	1
269	с собой	1	1
270	момент когда	2	1
271	основные черты	1	1
272	от нее	1	1
273	представляют собой	6	1
274	а затем	2	1
275	друга на	1	1
276	связанные с	2	1
277	в исторической	6	1
278	возможно что	1	1
279	ней и	1	1
280	из всех	2	1
281	большинстве случаев	4	1
282	ясно что	2	1
283	его в	6	1
284	живет в	2	1
285	совершенно ясно	1	1
286	жизни народа	1	1
287	из числа	1	1
288	было и	1	1
289	а с	2	1
290	и недостаточно	1	1
291	что не	2	1
292	в это	1	1
293	но есть	1	1
294	по всему	1	1
295	обратиться к	1	1
296	выступает в	1	1
297	где он	1	1
298	коротко ли	1	1
299	смерти но	2	1
300	в этой	6	1
301	в реальной	1	1
302	на основании	1	1
303	как и	4	1
304	и уже	1	1
305	в свете	2	1
306	душа и	1	1
307	и я	1	1
308	ведет к	2	1
309	и многие	1	1
310	нисколько не	2	1
311	прямо на	1	1
312	нигде в	1	1
313	и еще	1	1
314	формах и	1	1
315	или менее	5	1
316	что если	2	1
317	не дается	1	1
318	люди и	1	1
319	так же	7	1
320	за тем	1	1
321	что явление	2	1
322	все основные	1	1
323	многих случаях	1	1
324	что именно	1	1
325	одна сторона	1	1
326	поскольку они	1	1
327	в отличие	2	1
328	знаем что	1	1
329	бы мы	2	1
