N	3gram	Medvedev_U_1	Stilisti
1	в то же	3	9
2	то же время	3	7
3	то же самое	2	4
4	в той же	1	3
5	в этом случае	1	3
6	не только в	1	3
7	в конце концов	2	3
8	и в то	1	2
9	но в то	1	2
10	в точном смысле	1	2
11	можно сказать что	1	2
12	тех или иных	2	2
13	равно как и	1	2
14	на первый взгляд	1	2
15	не было бы	1	2
16	точном смысле этого	1	2
17	и не только	1	2
18	в этом отношении	2	2
19	не может быть	4	2
20	слово как таковое	1	1
21	не может обойтись	1	1
22	они находятся в	1	1
23	его и в	1	1
24	является только одним	1	1
25	тем что он	1	1
26	с другой стороны	3	1
27	она должна была	1	1
28	хотя бы и	2	1
29	в том что	2	1
30	само по себе	1	1
31	художественное творчество и	1	1
32	более или менее	1	1
33	мы имеем в	1	1
34	в конечном счете	4	1
35	между тем в	1	1
36	и т.д в	1	1
37	в самом деле	2	1
38	говорить не о	1	1
39	но даже и	2	1
40	до сих пор	2	1
41	по крайней мере	2	1
