N	2gram	Ircho_Kome_2	Istorich
1	и в	26	26
2	т е	1	22
3	так как	4	18
4	мы имеем	2	14
5	никогда не	1	13
6	потому что	6	13
7	и на	7	12
8	в этом	10	12
9	таким образом	6	12
10	в том	11	12
11	что в	9	12
12	мы видели	1	11
13	может быть	11	11
14	связь с	1	11
15	и т	2	10
16	не только	7	10
17	том что	9	10
18	представления о	2	10
19	в образе	3	10
20	с другой	2	10
21	и не	14	10
22	еще не	6	9
23	о смерти	1	9
24	представление о	2	9
25	что он	5	9
26	но и	10	9
27	и это	2	8
28	все эти	1	8
29	все же	4	8
30	в нем	6	8
31	с ним	1	8
32	вместе с	9	8
33	другой стороны	1	8
34	например в	3	7
35	но в	3	7
36	мы можем	3	7
37	и его	12	7
38	о том	6	7
39	с одной	2	7
40	у него	4	7
41	одной стороны	2	7
42	власть над	1	7
43	мы не	2	6
44	как в	3	6
45	в греции	2	6
46	как он	3	6
47	так в	2	6
48	и с	5	6
49	то что	6	6
50	и там	1	6
51	в более	1	6
52	не может	3	6
53	то же	3	5
54	в ней	3	5
55	за собой	2	5
56	как и	4	5
57	и что	2	5
58	в то	6	5
59	то это	2	5
60	так и	12	5
61	в его	4	5
62	показывают что	1	5
63	мы видим	1	5
64	только в	4	5
65	тем что	3	5
66	у нас	1	5
67	там где	1	5
68	как это	4	5
69	его в	4	5
70	объясняется что	1	4
71	как мы	4	4
72	с его	5	4
73	из этих	4	4
74	на его	1	4
75	после этого	2	4
76	это не	2	4
77	с тем	5	4
78	не всегда	2	4
79	не имели	1	4
80	здесь же	1	4
81	в очень	1	4
82	а также	1	4
83	что и	7	4
84	он имеет	1	4
85	в других	2	4
86	до сих	2	4
87	прежде всего	4	4
88	одну из	1	4
89	как бы	2	4
90	в это	2	4
91	сих пор	2	4
92	все что	1	4
93	так у	1	3
94	там же	1	3
95	время как	2	3
96	из которых	3	3
97	видели как	1	3
98	независимо от	5	3
99	тех случаях	1	3
100	когда он	1	3
101	та же	1	3
102	в себе	1	3
103	что она	2	3
104	главным образом	1	3
105	если бы	9	3
106	в них	4	3
107	попадает в	1	3
108	в своей	3	3
109	таким же	1	3
110	и ее	2	3
111	в одном	2	3
112	не в	2	3
113	его руки	1	3
114	их в	1	3
115	того как	3	3
116	к концу	3	3
117	его с	1	3
118	приходит к	1	3
119	и другие	2	3
120	то время	3	3
121	если они	1	3
122	имеется в	1	3
123	стороны он	1	3
124	же можно	2	3
125	один из	5	3
126	в качестве	5	3
127	не происходит	1	3
128	так что	5	3
