N	2gram	Bakhtin_Fr_2	Literetu
1	а не	1	20
2	и в	49	19
3	может быть	5	17
4	своего рода	1	13
5	то же	7	12
6	и не	15	11
7	как и	11	10
8	в том	3	10
9	и т.п	11	10
10	но и	13	10
11	в этом	15	9
12	в то	6	9
13	в мире	2	9
14	же время	6	9
15	не может	7	9
16	такого рода	2	9
17	пути в	1	8
18	не только	17	8
19	в стихах	1	8
20	и даже	2	8
21	с другой	4	8
22	том что	4	7
23	так и	6	7
24	и т.д	2	7
25	с одной	3	7
26	то что	6	7
27	и на	17	6
28	в себе	4	6
29	при этом	5	6
30	не менее	1	6
31	одной стороны	3	6
32	в году	13	5
33	я не	1	5
34	но не	5	5
35	он не	1	5
36	одна из	4	5
37	так в	3	5
38	в качестве	2	5
39	на фоне	2	5
40	то есть	32	5
41	того что	1	5
42	вместе с	2	5
43	того же	1	4
44	по отношению	1	4
45	так что	1	4
46	для него	9	4
47	точки зрения	6	4
48	не в	1	4
49	даже в	3	4
50	в области	4	4
51	в ней	2	4
52	еще в	2	4
53	в его	18	4
54	один из	7	4
55	и других	3	4
56	тем что	4	4
57	прежде всего	19	4
58	в частности	1	4
59	жизни в	3	4
60	другой стороны	3	4
61	жизни и	7	4
62	что в	2	4
63	одним из	2	3
64	и то	1	3
65	тем же	1	3
66	в сущности	8	3
67	как я	1	3
68	и он	1	3
69	во всех	6	3
70	в противовес	1	3
71	как к	2	3
72	в этой	10	3
73	в нем	9	3
74	всех своих	1	3
75	но лишь	1	3
76	перестает быть	2	3
77	в их	2	3
78	том чтобы	1	3
79	с точки	5	3
80	вплоть до	2	3
81	имени в	1	3
82	никогда не	5	3
83	ничего не	2	3
84	и его	17	3
85	в себя	6	3
86	и с	6	3
87	в другом	2	3
88	в художественной	1	3
89	а в	4	3
90	так как	6	3
91	себе и	2	3
92	этом отношении	3	3
93	и др	9	3
94	по существу	2	3
95	но это	2	3
96	в начале	5	3
97	и для	1	3
98	и как	1	3
99	что он	3	3
100	отношению к	1	3
101	художественная практика	1	3
102	как на	4	3
103	и до	4	2
104	и за	2	2
105	той же	1	2
106	это прежде	1	2
107	на первом	3	2
108	в первый	1	2
109	с ее	3	2
110	к своему	1	2
111	в истории	6	2
112	в художественном	2	2
113	все же	7	2
114	и наконец	1	2
115	и к	4	2
116	на войну	1	2
117	но в	4	2
118	в противоположность	2	2
119	со своей	1	2
120	в целом	1	2
121	в нашем	2	2
122	и сам	1	2
123	свое время	3	2
124	подобно тому	2	2
125	на этом	1	2
126	доверие к	1	2
127	а затем	3	2
128	в жизни	4	2
129	в них	13	2
130	с этой	1	2
131	с тем	1	2
132	он и	1	2
