N	3gram	Ircho_Kome_2	Hudozhes
1	по отношению к	3	10
2	в отличие от	2	7
3	то же время	3	6
4	в то же	3	6
5	более или менее	1	5
6	с другой стороны	1	5
7	той или иной	1	5
8	в том что	5	5
9	так и не	1	4
10	с точки зрения	1	3
11	тем не менее	1	3
12	того или иного	1	3
13	в этом смысле	2	3
14	мы имеем дело	1	2
15	и в то	1	2
16	с одной стороны	2	2
17	так или иначе	3	2
18	в свою очередь	1	2
19	для того чтобы	4	2
20	том числе и	1	2
21	в общественном сознании	1	2
22	в том числе	3	2
23	к тому что	2	2
24	я думаю что	1	1
25	не в состоянии	1	1
26	друг перед другом	1	1
27	каждой из них	1	1
28	в частности все	1	1
29	в одной из	2	1
30	том случае если	1	1
31	что он не	1	1
32	бы то ни	2	1
33	в последние десятилетия	3	1
34	точно так же	1	1
35	между тем к	1	1
36	в том случае	1	1
37	едва ли не	5	1
38	в самом начале	2	1
39	если говорить о	1	1
40	то ни было	2	1
41	таким образом и	1	1
42	не более чем	2	1
43	имеем дело с	1	1
44	на второй план	1	1
45	в связи с	3	1
46	и частной жизни	1	1
47	в первую очередь	3	1
48	и в том	1	1
49	в то время	3	1
50	она могла бы	1	1
51	в частности в	2	1
52	в основе его	1	1
53	о том что	4	1
54	и в самом	1	1
55	речь идет о	2	1
56	мере в какой	1	1
57	друг от друга	1	1
58	как видно из	1	1
59	в котором по	1	1
60	с первых же	1	1
61	в поле зрения	2	1
62	к более или	1	1
63	в соответствии с	1	1
64	не может быть	1	1
65	в полной мере	1	1
66	к тому же	10	1
