N	4gram	Tiupa_Hudo_1	Analitik
1	состоит в том что	4	4
2	слогов между двумя паузами	1	3
3	в поле зрения читателя	1	2
4	в то же время	5	2
5	субъектной организации художественного произведения	1	2
6	средней длине ритмического ряда	1	2
7	в том или ином	1	2
8	субъекта объекта и адресата	1	2
9	звучания ритмика интонирует всю	1	1
10	шею с темной родинкой	1	1
11	а не все что	1	1
12	общеязыковом отношении художественному восприятию	1	1
13	самом наличии определенных языковых	1	1
14	имеет место слияние пространственных	1	1
15	входит лишь поименованное в	1	1
16	состав такого кадра входит	1	1
17	субъектом речи последний получает	1	1
18	глоссализация текста делает его	1	1
19	и слово литературной нормы	1	1
20	данный момент нечто движущееся	1	1
21	поименованное в тексте а	1	1
22	взглядом очень здоровая порядок	1	1
23	левого правого далекого близкого	1	1
24	определений таков что душевная	1	1
25	особенно если говорить о	1	1
26	в этих случаях оказывается	1	1
27	его читательского внутреннего исполнения	1	1
28	наличии определенных языковых стилей	1	1
29	крайними пределами этой субсистемы	1	1
30	фундаментом всей субъектной организации	1	1
31	одно и то же	3	1
32	центра периферии верха низа	1	1
33	правого далекого близкого замкнутого	1	1
34	то ритм представляет собой	1	1
35	обнаруживается еще один равнопротяженный	1	1
36	субъектную организацию литературного произведения	1	1
37	заслоняется крупным планом заключительного	1	1
38	зачины анакрусы и ритмические	1	1
39	душевная характеристика душечки постепенно	1	1
40	субъектная организация литературного произведения	1	1
41	и взаимодействиях с объектной	1	1
42	последний получает вследствие этой	1	1
43	тихая добродушная жалостливая барышня	1	1
44	голосов сколько диалогически соотнесенных	1	1
45	являются наиболее генерализованные кругозоры	1	1
46	избранных для обозначения объектных	1	1
47	ударения начальные и заключительные	1	1
48	темной родинкой и т.д	1	1
49	менее насыщенный деталями кадр	1	1
50	внешнего внутреннего центра периферии	1	1
51	социальных диалектов а в	1	1
52	ритмических рядов измеряемой числом	1	1
53	напряжение речевых движений текста	1	1
54	прочие его конструктивные членения	1	1
55	времени в поле зрения	1	1
56	клаузулы и формирующие тем	1	1
57	художественному восприятию задана как	1	1
58	языковых стилей социальных диалектов	1	1
59	определенным диалогическим углом по	1	1
60	пространственных и временных примет	1	1
61	исполнения как упорядоченная последовательность	1	1
62	выступая под определенным диалогическим	1	1
63	а выбор слова б	1	1
64	отношении ибо и в	1	1
65	может или пожелает представить	1	1
66	весьма простых текстовых показателей	1	1
67	иных языковых нормативов актуальных	1	1
68	длиной ритмических рядов измеряемой	1	1
69	генерализацию текста поскольку подводит	1	1
70	позиций может быть актуализировано	1	1
71	или противопоставлены в произведении	1	1
72	несколькими голосами то ритм	1	1
73	простых текстовых показателей а	1	1
74	характеристиками глоссами как именовал	1	1
75	нейтральной в стилистическом отношении	1	1
76	слова б построение фразы	1	1
77	прозе ближайшие к паузам	1	1
78	и т.п глоссализация текста	1	1
79	в ходе чтения в	1	1
80	факторов художественного впечатления он	1	1
81	фразы выбор синтаксической конструкции	1	1
82	в кадры повествования а	1	1
83	деталями кадр внутреннего зрения	1	1
84	чтения в кадры читательского	1	1
85	которую облекается в данный	1	1
86	осуществление которой определенным образом	1	1
87	дневного ночного мгновенного вечного	1	1
88	чем выше плотность акцентуации	1	1
89	напряжений и спадов бенвенист	1	1
90	вдруг заслоняется крупным планом	1	1
91	в самом наличии определенных	1	1
92	место слияние пространственных и	1	1
93	число голосов представленных в	1	1
94	читаем это была тихая	1	1
95	временных примет в осмысленном	1	1
96	ритм является фундаментом всей	1	1
97	эффект распределенности текста между	1	1
98	показателей а выбор слова	1	1
99	определенных языковых стилей социальных	1	1
100	принципом упорядоченного движения бенвенист	1	1
101	приводит к тому что	2	1
102	углом они сопоставлены или	1	1
103	движется один отдельный кадр	1	1
104	слогов относительно длины ритмического	1	1
105	заключительные в ритмическом ряду	1	1
106	лишь в самом начале	1	1
107	восприятия в каждый малый	1	1
108	и заключительные в ритмическом	1	1
109	языковых нормативов актуальных для	1	1
110	малый отрезок времени в	1	1
111	медленных и быстрых движений	1	1
112	мягкую белую шею с	1	1
113	к иного рода стилистике	1	1
114	отрезков звучания ритмика интонирует	1	1
115	исходном своем значении греческое	1	1
116	место лишь в самом	1	1
117	для обозначения объектных деталей	1	1
118	делает его речевой строй	1	1
119	повествования а читателем в	1	1
120	значимостей являются наиболее генерализованные	1	1
121	иного рода стилистике здесь	1	1
122	читателем в ходе чтения	1	1
123	очень здоровая порядок фокусирующих	1	1
124	мягким взглядом очень здоровая	1	1
125	нормативная литературная речь выступая	1	1
