N	3gram	Tiupa_Lite_3	Myshleni
1	с точки зрения	3	21
2	для того чтобы	1	18
3	в том что	4	13
4	не только не	1	9
5	к тому что	1	6
6	по отношению к	4	5
7	то же самое	2	5
8	в данном случае	4	5
9	с одной стороны	4	5
10	этой точки зрения	1	4
11	в самом деле	2	4
12	с этой точки	1	4
13	вместе с тем	1	4
14	не может быть	3	4
15	о том что	4	4
16	и тем самым	2	4
17	на то что	2	4
18	состоит в том	2	3
19	одной стороны и	2	3
20	в этом отношении	5	3
21	и то что	1	3
22	в самом начале	1	3
23	тем не менее	1	3
24	содержит в себе	1	3
25	содержат в себе	1	3
26	но и не	2	3
27	в чем дело	1	3
28	на самом деле	1	2
29	в отличие от	5	2
30	из того что	2	2
31	именно в этом	1	2
32	как раз в	1	2
33	едва ли не	1	2
34	то что для	1	2
35	и вместе с	2	2
36	том что они	1	2
37	что ему нужно	1	2
38	в свою очередь	1	2
39	в конечном счете	1	2
40	друг от друга	1	2
41	что иное как	1	1
42	в начале своего	1	1
43	в каждый данный	1	1
44	подобно тому как	2	1
45	только в ситуации	1	1
46	в том числе	3	1
47	только на то	1	1
48	в соответствии с	3	1
49	что я хотел	1	1
50	потому что не	2	1
51	каждый данный момент	1	1
52	только по отношению	1	1
53	только в том	1	1
54	не удивительно что	2	1
55	и одно из	1	1
56	по себе но	1	1
57	в первую очередь	1	1
58	по аналогии с	1	1
59	том числе и	2	1
60	от земли до	1	1
61	бесплотная в чертог	1	1
62	слово позабыл что	1	1
63	с ней в	1	1
64	и мысль бесплотная	1	1
65	то что было	1	1
66	хотел сказать и	1	1
67	я слово позабыл	1	1
68	может быть не	1	1
69	сказать и мысль	1	1
70	в чертог теней	1	1
71	в целом и	2	1
72	чертог теней вернется	1	1
73	не только в	2	1
74	сама по себе	1	1
75	но при этом	1	1
76	с другой стороны	2	1
77	не только для	1	1
78	при этом оказывается	1	1
79	что несмотря на	1	1
80	позабыл что я	1	1
81	в ряду других	1	1
82	как бы не	1	1
83	состоит как раз	1	1
84	может и не	1	1
85	это и есть	1	1
86	мысль бесплотная в	1	1
87	я хотел сказать	1	1
88	но и для	1	1
89	той или иной	2	1
90	там где мы	1	1
91	в силу своей	1	1
92	не что иное	1	1
93	этот как и	1	1
94	в то же	7	1
95	тем что он	2	1
