N	2gram	Potebnia_M_1	TeoriaLi
1	в мире	3	24
2	не только	21	18
3	тогда как	2	16
4	и не	18	16
5	а в	5	14
6	и в	39	13
7	то есть	42	12
8	так и	13	12
9	может быть	27	12
10	в этом	15	11
11	при этом	6	11
12	в том	26	11
13	но не	8	10
14	и его	5	10
15	а не	21	10
16	то же	6	9
17	в его	5	9
18	по отношению	13	8
19	такого рода	1	8
20	в душе	11	8
21	но и	20	8
22	отношению к	13	8
23	что в	22	8
24	в себе	13	7
25	том что	16	7
26	точки зрения	8	7
27	в то	4	7
28	по своей	1	7
29	только в	25	7
30	себя в	1	7
31	в данном	1	7
32	еще не	6	6
33	с его	1	6
34	но в	9	6
35	лишь в	1	6
36	же время	4	6
37	как бы	6	6
38	мы имеем	1	5
39	жизни как	1	5
40	в своем	3	5
41	в самом	3	5
42	он не	3	5
43	того или	1	5
44	как и	9	5
45	не в	15	5
46	однако в	4	5
47	тем самым	4	5
48	в нем	20	5
49	в ее	1	5
50	между тем	5	5
51	уже не	2	5
52	с другой	7	5
53	как в	10	5
54	между ними	1	5
55	а и	1	4
56	субъекта и	4	4
57	хотя и	3	4
58	то что	10	4
59	не предполагает	1	4
60	ни в	1	4
61	в слове	8	4
62	в своей	3	4
63	в их	2	4
64	или менее	1	4
65	не столько	1	4
66	не менее	6	4
67	приводит к	1	4
68	и ее	1	4
69	но он	2	4
70	в свою	4	4
71	сказать что	3	4
72	не может	22	4
73	более или	1	4
74	и то	3	3
75	например в	1	3
76	совпадает с	1	3
77	что можно	3	3
78	а только	4	3
79	не все	2	3
80	перед нами	1	3
81	в противоположность	1	3
82	все эти	1	3
83	в нашем	1	3
84	в этой	3	3
85	он должен	2	3
86	и по	6	3
87	его в	1	3
88	этом смысле	4	3
89	мог бы	2	3
90	в этих	7	3
91	все прочие	1	3
92	тем не	6	3
93	в отношении	1	3
94	никогда не	4	3
95	потому что	52	3
96	свою очередь	4	3
97	другой стороны	5	3
98	в произведении	1	3
99	так в	1	3
100	в другом	1	3
101	и что	10	3
102	входит в	1	3
103	того что	8	3
104	для него	4	3
105	слова в	2	3
106	с ее	2	3
107	именно в	1	3
108	прежде всего	4	3
109	и потому	5	3
110	этого слова	1	3
111	к которому	3	3
112	таким образом	13	3
113	или в	2	3
114	речи и	10	3
115	была бы	2	2
116	отношения к	1	2
117	того же	3	2
118	и это	3	2
119	на деле	4	2
120	на себя	1	2
121	в целом	2	2
122	в чем	1	2
123	но как	3	2
124	у него	1	2
125	за пределы	2	2
126	что они	1	2
127	сама по	3	2
128	в противном	3	2
129	и как	6	2
130	говорит что	1	2
131	самом начале	1	2
132	в которой	2	2
133	образом и	2	2
134	но на	2	2
135	с языком	2	2
136	противном случае	3	2
137	к одному	2	2
138	и возможность	1	2
139	без исключения	1	2
140	одно и	1	2
141	не следует	5	2
142	могла бы	2	2
143	тем в	1	2
144	это не	7	2
145	и тем	3	2
146	к области	1	2
147	вовсе не	5	2
148	и того	2	2
149	одного и	2	2
150	нас самих	1	2
151	с точки	3	2
152	их в	1	2
153	по себе	10	2
154	даже в	1	2
155	и притом	4	2
156	не могло	3	2
157	только не	2	2
158	мышления и	1	2
159	вытекает из	2	2
160	как будто	2	2
161	и для	5	2
162	имеет место	2	2
163	не ограничивается	2	2
164	и о	2	2
165	здесь не	1	2
166	роль в	1	2
167	не с	1	2
168	мы в	2	2
169	если бы	14	2
170	в виду	2	2
171	о том	2	2
172	это было	1	2
173	к нему	1	2
174	во всех	5	2
175	во втором	5	2
176	вслед за	1	2
177	внешних предметов	1	2
178	известного рода	1	2
179	с одной	3	2
180	слова не	2	2
181	не сумеет	1	2
182	во всей	1	2
183	и даже	4	2
184	со стороны	8	2
185	между которыми	1	2
186	в области	1	2
187	себя и	1	2
188	жизни то	1	2
189	одной стороны	3	2
190	а на	1	2
191	не на	1	2
192	человеческой жизни	1	2
193	вместе с	8	2
194	так же	5	2
195	жизни но	1	2
196	могут быть	9	2
197	к тому	4	2
198	собственно говоря	1	2
199	произведении искусства	1	2
200	что он	1	2
201	жизни оказывается	1	2
202	а между	3	1
203	только к	1	1
204	говоря о	1	1
205	те же	1	1
206	такова в	1	1
207	таком случае	2	1
208	субъективное что	1	1
209	человека и	1	1
210	начинается с	1	1
211	переходит к	1	1
212	частей речи	1	1
213	и есть	2	1
214	тем же	2	1
215	от своей	1	1
216	не имело	1	1
217	гегелевское определение	1	1
218	из его	1	1
219	едва ли	1	1
220	который ставит	1	1
221	одним из	2	1
222	что даже	2	1
223	той же	3	1
224	же как	1	1
225	не во	1	1
226	вопрос о	4	1
227	из своих	1	1
228	чтобы не	2	1
229	не вполне	1	1
230	которое в	1	1
231	взаимодействиях с	1	1
232	и на	1	1
233	на них	1	1
234	внимание и	1	1
235	это возможно	1	1
236	на их	1	1
237	столь же	3	1
238	бы то	2	1
239	в различных	1	1
240	связи между	2	1
241	тем как	3	1
242	литературы или	1	1
243	других а	1	1
244	легко может	1	1
245	нет не	1	1
246	для других	1	1
247	если в	1	1
248	любовь и	1	1
249	на то	2	1
250	в истории	7	1
251	более чем	1	1
252	и субъективная	1	1
253	независимо от	6	1
254	и объекта	4	1
255	что касается	1	1
256	сознания в	2	1
257	могли бы	2	1
258	что по	3	1
259	духа и	7	1
260	то в	5	1
261	еще на	1	1
262	что это	3	1
263	таковы например	1	1
264	он в	1	1
265	из этих	4	1
266	тоже не	1	1
267	в известном	1	1
268	с их	1	1
269	рассмотренного выше	1	1
270	если он	1	1
271	не могла	2	1
272	говоря только	1	1
273	вследствие этого	1	1
274	жизнью и	1	1
275	на его	1	1
276	что она	1	1
277	том в	1	1
278	представляются в	1	1
279	ключ к	2	1
280	человеческого духа	6	1
281	отношений между	3	1
282	в первом	5	1
283	ни были	3	1
284	подобно тому	3	1
285	говорит следующее	2	1
286	себя самой	1	1
287	по его	7	1
288	бы они	2	1
289	то ни	3	1
290	не будет	2	1
291	что все	3	1
292	различие между	1	1
293	не сможет	1	1
294	времени и	2	1
295	было бы	12	1
296	напротив в	1	1
297	должен был	1	1
298	весь мир	1	1
299	этими примерами	1	1
300	же образом	1	1
301	в них	3	1
302	рядом с	1	1
303	в близости	1	1
304	с тем	5	1
305	не всегда	1	1
306	ведет к	1	1
307	духовной жизни	2	1
308	или после	1	1
309	открытие и	1	1
310	обратимся к	1	1
311	остается в	1	1
312	развития но	1	1
313	но если	2	1
314	от своего	1	1
315	другим и	1	1
316	таким же	2	1
317	в такой	1	1
318	и без	3	1
319	в котором	1	1
320	которое должно	1	1
321	на свою	1	1
322	себе а	1	1
323	не как	1	1
324	предполагает не	1	1
325	друг другу	3	1
326	и более	2	1
327	в прошлом	1	1
328	том и	2	1
329	из виду	1	1
330	и наоборот	6	1
331	остановимся на	1	1
332	случае мы	1	1
333	она по	1	1
334	то с	1	1
335	между людьми	1	1
336	в таких	2	1
337	ее не	1	1
338	быть без	1	1
339	она могла	1	1
340	по крайней	2	1
341	не имеет	5	1
342	принадлежат к	1	1
343	дело в	2	1
344	на себе	2	1
345	к этим	1	1
346	которого он	1	1
347	бытия и	3	1
348	свободы и	3	1
349	мнения о	2	1
350	которых и	2	1
351	между лицом	1	1
352	себе самом	1	1
353	невозможно так	1	1
354	народной жизни	2	1
355	в самой	3	1
356	нам с	1	1
357	от него	4	1
358	и теперь	1	1
359	связи с	3	1
360	из того	2	1
361	не по	4	1
362	задолго до	1	1
363	и делает	1	1
364	в каком	6	1
365	душе в	1	1
366	этот закон	1	1
367	у нас	2	1
368	деятельности и	5	1
369	не могут	4	1
370	образом что	2	1
371	когда мы	2	1
372	сравнении с	2	1
373	предметов в	1	1
374	чем-то внешним	1	1
375	и развития	2	1
376	значительной степени	2	1
377	его с	2	1
378	себя только	2	1
379	как следствие	1	1
380	указывает на	1	1
381	слова с	1	1
382	в каждом	4	1
383	оно не	3	1
384	на это	1	1
385	быть назван	1	1
386	она не	3	1
387	в каждой	1	1
388	должен быть	1	1
389	из всего	1	1
390	своего развития	1	1
391	как мы	2	1
392	значения и	1	1
393	того чтобы	2	1
394	людей в	1	1
395	к нам	1	1
396	только при	2	1
397	языка и	17	1
398	в собственном	2	1
399	они ни	2	1
400	мысль о	2	1
401	только то	2	1
402	то время	1	1
403	всей своей	1	1
404	и совершенно	1	1
405	переход к	1	1
406	можно было	1	1
407	на нее	1	1
408	в последующих	1	1
409	что от	1	1
410	является в	1	1
411	характера как	1	1
412	в словах	3	1
413	для этого	2	1
414	деятельности в	2	1
415	к языку	2	1
416	с ним	3	1
417	первом случае	1	1
418	что речь	2	1
419	на вопрос	1	1
420	при котором	2	1
421	никак не	2	1
422	как ее	1	1
423	одного из	2	1
424	после того	1	1
425	в сущности	2	1
426	звуков в	1	1
427	это была	1	1
428	служит для	2	1
429	каждом из	1	1
430	но дело	2	1
431	нуждается в	2	1
432	от одного	1	1
433	или напротив	1	1
434	и только	2	1
435	крайней мере	2	1
436	в другой	3	1
437	наконец в	1	1
438	во внутренней	3	1
439	языка мы	1	1
440	эти последние	1	1
441	не совпадает	1	1
442	в формах	1	1
443	на которой	1	1
444	один из	1	1
445	но с	2	1
446	д и	1	1
447	достаточного основания	1	1
448	оно и	3	1
449	ее к	1	1
450	всякое произведение	2	1
451	дело с	1	1
452	в какой	1	1
453	субъектом и	1	1
454	или же	3	1
455	между этими	1	1
456	их не	1	1
457	жить и	1	1
458	на мир	1	1
459	отдельных лиц	2	1
460	с которыми	1	1
461	собою как	1	1
462	всего данного	1	1
463	так что	16	1
464	из которого	3	1
465	для всех	5	1
466	есть в	2	1
467	с нею	4	1
468	если мы	3	1
469	только на	3	1
470	в единстве	2	1
471	сама собою	1	1
472	но самое	1	1
473	то чему	1	1
474	или даже	3	1
475	две другие	1	1
476	из них	1	1
477	за ним	2	1
478	чего бы	2	1
479	только одно	1	1
480	случается с	1	1
481	одно из	3	1
482	и их	3	1
483	никто не	3	1
484	представить себе	3	1
485	в одном	8	1
486	с этими	1	1
487	так как	21	1
488	к ним	2	1
489	может служить	1	1
490	без этого	1	1
491	случае не	1	1
492	человек как	1	1
493	не говорит	1	1
494	его мысли	1	1
495	ее на	1	1
496	для того	3	1
497	разница в	1	1
498	насколько это	1	1
499	но одно	1	1
500	отказаться от	1	1
501	в уме	1	1
502	еще и	1	1
503	такое же	1	1
504	души и	5	1
505	что для	3	1
506	к более	1	1
507	противоречие между	1	1
508	бы никакого	1	1
509	с моей	1	1
510	превращается в	1	1
511	не было	4	1
512	природе и	1	1
513	не решает	1	1
514	не сама	1	1
515	зрения или	1	1
516	отношения в	1	1
517	более того	1	1
518	зависит от	5	1
519	когда же	1	1
520	что из	1	1
521	и слово	1	1
522	его как	1	1
523	в одно	2	1
524	то она	2	1
525	если не	2	1
526	в связи	1	1
527	не внешним	1	1
528	имея в	1	1
529	что свобода	2	1
530	в одной	1	1
531	со словом	3	1
532	каждая из	1	1
533	например если	2	1
534	другу и	1	1
535	может как	1	1
536	тому как	4	1
537	лицом и	2	1
538	есть как	2	1
