N	2gram	Kanaev_Sov_1	Tragedij
1	и в	7	18
2	в этом	7	9
3	не только	4	8
4	он сам	1	7
5	может быть	12	7
6	как бы	4	7
7	и не	6	7
8	но в	3	6
9	и его	1	6
10	же время	1	6
11	у него	2	6
12	то же	3	5
13	все же	3	5
14	что это	2	5
15	это не	4	5
16	как и	6	5
17	несмотря на	1	5
18	в то	1	5
19	в дальнейшем	4	5
20	не может	17	5
21	еще не	3	4
22	в себе	3	4
23	в целом	4	4
24	в этой	3	4
25	в нем	3	4
26	том что	1	4
27	и что	2	4
28	и даже	2	4
29	прежде всего	5	4
30	так же	1	4
31	но это	1	4
32	все это	3	4
33	что в	2	4
34	и все	3	4
35	в мире	1	3
36	отнюдь не	3	3
37	в своем	1	3
38	все эти	5	3
39	при этом	3	3
40	должно быть	1	3
41	что с	1	3
42	с ее	1	3
43	с ним	1	3
44	к нему	1	3
45	в его	2	3
46	один из	1	3
47	уже в	3	3
48	в конце	3	3
49	в первом	3	2
50	и до	1	2
51	никогда не	1	2
52	с его	1	2
53	отличие от	2	2
54	о жизни	2	2
55	в самом	2	2
56	то и	2	2
57	он не	1	2
58	что она	3	2
59	но все	2	2
60	что все	2	2
61	его в	1	2
62	дома и	1	2
63	к области	1	2
64	ни в	1	2
65	нет в	1	2
66	в отличие	2	2
67	вопрос о	4	2
68	но эта	1	2
69	не в	3	2
70	раз и	1	2
71	но они	1	2
72	одна из	3	2
73	не имеет	1	2
74	не могут	2	2
75	и это	1	2
76	данном случае	1	2
77	раз он	1	2
78	еще в	1	2
79	как у	1	2
80	ничего не	6	2
81	о том	1	2
82	в том	4	2
83	собой но	1	2
84	по мнению	2	2
85	уже не	2	2
86	в виде	2	2
87	в одном	3	2
88	не случайно	1	2
89	только к	1	2
90	в данном	1	2
91	еще раз	1	2
92	это уже	1	2
93	состоит из	3	2
94	только о	1	2
95	в таком	2	2
96	ли мы	3	1
97	с жизнью	1	1
98	человека и	1	1
99	а из	1	1
100	необходимо отметить	2	1
101	самом деле	2	1
102	это и	1	1
103	и есть	2	1
104	за все	1	1
105	на две	3	1
106	и могут	1	1
107	той же	2	1
108	что уже	1	1
109	затем он	1	1
110	подчеркнуть что	1	1
111	в ней	1	1
112	между собой	3	1
113	быть в	1	1
114	во всех	1	1
115	на другой	1	1
116	но не	1	1
117	но как	1	1
118	с совершенно	2	1
119	всю эту	1	1
120	чем же	1	1
121	опирается на	1	1
122	и наконец	5	1
123	сводится только	1	1
124	для ее	1	1
125	именно эта	1	1
126	чего же	1	1
127	роль играет	1	1
128	в которой	2	1
129	он в	3	1
130	всего необходимо	1	1
131	только один	2	1
132	как он	3	1
133	и если	1	1
134	так сказать	2	1
135	и еще	1	1
136	к одному	1	1
137	в скрытом	1	1
138	скрытом виде	1	1
139	и по	2	1
140	на этом	2	1
141	таким образом	11	1
142	а затем	1	1
143	факт что	1	1
144	в другом	1	1
145	конечно в	2	1
146	обоих случаях	1	1
147	а это	1	1
148	но уже	1	1
149	но затем	1	1
150	этого не	1	1
151	которой он	2	1
152	для чего	1	1
153	в развитии	4	1
154	обратимся к	1	1
155	но если	1	1
156	и при	1	1
157	в такой	1	1
158	наших дней	1	1
159	почти не	1	1
160	представление о	1	1
161	тем не	2	1
162	по себе	1	1
163	не менее	2	1
164	играть в	1	1
165	xviii века	1	1
166	что эта	1	1
167	она не	1	1
168	в обоих	1	1
169	самого начала	3	1
170	на котором	2	1
171	как его	1	1
172	но только	1	1
173	он с	1	1
174	только не	1	1
175	и всегда	1	1
176	или как	1	1
177	для нас	3	1
178	связи с	1	1
179	является ли	1	1
180	в области	3	1
181	ли это	1	1
182	могут быть	2	1
183	им это	1	1
184	что наш	1	1
185	в окончательном	1	1
186	его с	1	1
187	и т.д	3	1
188	первом же	1	1
189	в пьесе	1	1
190	что при	2	1
191	как мы	2	1
192	с самого	3	1
193	роль в	2	1
194	можно было	1	1
195	во многом	1	1
196	когда в	1	1
197	на них	1	1
198	и должно	1	1
199	но мы	3	1
200	она всегда	1	1
201	уже чисто	1	1
202	отметить что	1	1
203	все время	1	1
204	и первое	1	1
205	мы видим	2	1
206	только в	1	1
207	ее конец	1	1
208	с одной	2	1
209	каким же	1	1
210	только на	1	1
211	чтобы он	1	1
212	и чисто	1	1
213	и их	1	1
214	всяком случае	2	1
215	рядом с	1	1
216	развития в	2	1
217	и эту	1	1
218	именно в	1	1
219	не было	1	1
220	а на	2	1
221	на этот	2	1
222	позиции в	1	1
223	а не	3	1
224	не быть	1	1
225	в и	2	1
226	этом случае	1	1
227	в связи	1	1
228	с помощью	4	1
229	вместе с	4	1
230	и особенно	1	1
231	и потому	3	1
232	в духе	1	1
233	не из	1	1
234	xix века	1	1
235	мы опять	1	1
236	при которой	1	1
237	и от	1	1
238	в условиях	5	1
239	не является	1	1
240	всегда будет	1	1
241	при таком	3	1
242	в результате	6	1
243	это как	1	1
244	в целый	1	1
245	случае и	1	1
246	жизни в	1	1
247	виде и	1	1
248	совершенно не	2	1
249	сколько угодно	1	1
250	несколько времени	1	1
251	может ли	1	1
252	но еще	1	1
253	и эта	1	1
254	рот и	2	1
255	во всяком	2	1
