N	2gram	Bakhtin_Fr_5	Morfolog
1	может быть	2	52
2	и пр	1	40
3	таким образом	8	20
4	не может	5	17
5	с этим	4	14
6	и в	45	13
7	в этом	14	13
8	так как	6	12
9	и др	8	12
10	перед нами	4	11
11	связи с	6	11
12	чаще всего	1	11
13	мы видим	5	11
14	видим что	2	10
15	заметить что	2	10
16	то же	11	9
17	так и	6	9
18	прежде всего	10	9
19	а не	4	9
20	в связи	5	9
21	и не	15	9
22	а затем	1	8
23	что и	7	8
24	по существу	3	8
25	в качестве	2	7
26	все же	2	7
27	но не	4	6
28	это не	3	6
29	во время	12	6
30	не могут	2	6
31	и здесь	4	6
32	а также	4	6
33	в форме	1	6
34	в том	10	6
35	а в	4	6
36	мы не	4	5
37	во всех	13	5
38	не все	1	5
39	то что	2	5
40	в образе	1	5
41	в ходе	1	5
42	далеко не	1	5
43	не менее	3	5
44	потому что	7	5
45	этот момент	3	5
46	вслед за	1	5
47	один из	2	5
48	если мы	2	5
49	как бы	12	5
50	то перед	1	5
51	это явление	2	5
52	и другие	3	5
53	также и	7	4
54	к началу	3	4
55	то это	1	4
56	то мы	1	4
57	если в	2	4
58	как в	3	4
59	хотя и	5	4
60	и как	5	4
61	не только	14	4
62	на его	1	4
63	на этом	5	4
64	об этом	4	4
65	его в	5	4
66	было бы	2	4
67	вовсе не	8	4
68	как и	10	4
69	несмотря на	2	4
70	точки зрения	4	4
71	с точки	2	4
72	тем не	1	4
73	на котором	2	4
74	ничего не	4	4
75	тем что	1	4
76	очень часто	4	4
77	в других	1	4
78	как мы	8	4
79	видно что	1	4
80	по отношению	1	4
81	случае не	1	4
82	там где	3	4
83	так же	8	4
84	отношению к	1	4
85	что в	12	4
86	связана с	1	3
87	самом деле	5	3
88	на самом	5	3
89	и для	3	3
90	вступают в	2	3
91	независимо от	2	3
92	целый ряд	1	3
93	но в	14	3
94	в целом	2	3
95	в пределах	2	3
96	он должен	2	3
97	и по	1	3
98	но все	1	3
99	в ход	1	3
100	из них	1	3
101	ни в	3	3
102	сам он	1	3
103	том что	7	3
104	и убивает	1	3
105	в то	11	3
106	в сущности	4	3
107	на него	2	3
108	того чтобы	6	3
109	здесь же	3	3
110	от того	3	3
111	и другим	1	3
112	раз он	1	3
113	если бы	1	3
114	но и	10	3
115	он не	6	3
116	к нему	2	3
117	и ее	1	3
118	в начале	2	3
119	друг друга	1	3
120	мы можем	2	3
121	что они	1	3
122	для этой	1	3
123	но это	5	3
124	кроме того	4	3
125	это уже	1	3
126	можно назвать	1	3
127	как это	4	2
128	тем же	1	2
129	что многие	1	2
130	со смертью	1	2
131	и таким	1	2
132	если она	1	2
133	и к	5	2
134	то в	1	2
135	та же	1	2
136	право на	10	2
137	переходит на	1	2
138	из его	2	2
139	в нее	1	2
140	можно было	4	2
141	и за	2	2
142	в другом	3	2
143	мы уже	4	2
144	большинстве случаев	2	2
145	это было	4	2
146	то как	1	2
147	ни одной	1	2
148	этом явлении	1	2
149	с тем	2	2
150	для него	3	2
151	и при	1	2
152	и подобные	1	2
153	нельзя было	2	2
154	дается в	4	2
155	и более	1	2
156	все эти	5	2
157	что эта	2	2
158	и функции	1	2
159	эти формы	1	2
160	не имеет	3	2
161	одна из	1	2
162	все действие	1	2
163	и его	13	2
164	так например	2	2
165	не получает	1	2
166	один раз	2	2
167	они и	2	2
168	для того	6	2
169	здесь не	6	2
170	то время	3	2
171	и что	2	2
172	с этого	1	2
173	но здесь	1	2
174	о том	4	2
175	нашей работы	1	2
176	можно сказать	2	2
177	в различных	2	2
178	по их	1	2
179	и только	2	2
180	того что	3	2
181	быть и	1	2
182	хотя бы	2	2
183	что он	6	2
184	только в	4	2
185	он действует	1	2
186	себя в	1	2
187	или на	1	2
188	в большинстве	2	2
189	в виде	1	2
190	его и	1	2
191	у нее	2	2
192	без всякой	1	2
193	живой и	1	2
194	типична для	1	2
195	себя и	2	2
196	не знает	1	2
197	сказать что	4	2
198	с горизонта	1	2
199	в частности	1	2
200	играют в	1	2
201	есть и	5	2
202	благодаря этому	2	2
203	их на	1	2
204	не существует	1	2
205	от него	1	2
206	чтобы его	2	2
207	но вот	1	2
208	не от	1	2
209	одной из	5	2
210	же функции	1	2
211	в свое	1	2
212	но эти	1	2
213	к этому	2	2
214	например в	5	1
215	утверждение что	1	1
216	он может	1	1
