N	2gram	Propp_Morf_1	slovoVRo
1	и в	13	41
2	и т	41	28
3	могут быть	16	19
4	во всех	4	17
5	точки зрения	2	16
6	но и	4	16
7	и не	12	16
8	не только	4	16
9	а не	11	15
10	и др	10	14
11	не может	14	14
12	то же	7	14
13	и его	1	14
14	в то	3	14
15	и на	1	14
16	может быть	52	14
17	в пределах	3	14
18	в его	1	13
19	в сущности	3	13
20	в этом	14	12
21	как бы	3	12
22	так и	6	11
23	в большинстве	3	10
24	в той	1	10
25	все эти	2	9
26	таким образом	21	9
27	себя в	1	9
28	в особенности	1	8
29	на его	4	8
30	или в	4	8
31	может не	1	8
32	как мы	6	8
33	прежде всего	9	8
34	как в	3	8
35	с точки	2	8
36	но в	2	8
37	все же	7	7
38	во всяком	2	7
39	вовсе не	4	7
40	не в	3	7
41	отношение к	1	7
42	в своей	1	7
43	все они	1	7
44	большинстве случаев	3	6
45	а в	7	6
46	оно не	2	6
47	это не	6	6
48	и даже	1	6
49	только в	2	6
50	в них	1	6
51	при этом	1	6
52	точек зрения	1	5
53	т д	39	5
54	на своем	1	5
55	к нему	3	5
56	с другими	1	5
57	как его	1	5
58	и к	4	5
59	не на	2	5
60	всяком случае	2	5
61	в основе	1	5
62	слушателя и	1	5
63	далеко не	5	5
64	с другой	8	5
65	одним из	1	4
66	с ее	1	4
67	в которой	3	4
68	там где	5	4
69	и с	1	4
70	еще не	3	4
71	и наконец	1	4
72	входит в	2	4
73	как и	3	4
74	и для	2	4
75	кроме того	1	4
76	и все	1	4
77	ничего не	4	4
78	данный момент	1	4
79	в каждом	1	4
80	одной стороны	1	4
81	другой стороны	4	4
82	с одной	1	4
83	один из	5	4
84	ли он	1	4
85	быть и	2	4
86	с его	2	4
87	известной степени	1	4
88	ту же	2	4
89	перед нами	10	4
90	и там	1	3
91	и здесь	5	3
92	в свое	2	3
93	данном случае	1	3
94	из этих	1	3
95	в него	1	3
96	но оно	2	3
97	не должно	1	3
98	ни были	1	3
99	и ее	3	3
100	лишь как	1	3
101	как такового	1	3
102	в себе	1	3
103	у него	1	3
104	его и	2	3
105	но здесь	1	3
106	его в	2	3
107	связанные с	1	3
108	одной из	1	3
109	в результате	7	3
110	почти всегда	1	3
111	для него	1	3
112	как таковые	1	3
113	в том	6	3
114	к тому	4	3
115	следовательно в	1	3
116	которые в	1	3
117	в других	3	3
118	не требует	1	3
119	в качестве	5	3
120	хотя бы	4	3
121	с этой	1	3
122	с этим	11	3
123	но эти	1	3
124	в первом	3	3
125	или менее	2	3
126	и может	1	3
127	лишь на	2	3
128	с ними	1	3
129	друг друга	3	3
130	точку зрения	1	3
131	того что	3	3
132	и этим	5	3
133	она не	2	3
134	он не	3	3
135	также и	4	3
136	не могут	4	3
137	о том	2	3
138	из этого	1	3
139	по существу	12	3
140	которая не	1	3
141	он пользуется	1	3
142	было бы	3	3
143	форм и	1	3
144	эта форма	13	3
145	с различными	1	3
146	из них	3	3
147	так как	16	3
148	в данном	1	3
149	вообще не	1	3
150	более или	2	3
151	свои собственные	1	2
152	но не	4	2
153	для нас	2	2
154	первом случае	3	2
155	но он	1	2
156	что они	2	2
157	так же	3	2
158	время как	3	2
159	действительно не	1	2
160	между собой	4	2
161	здесь не	2	2
162	связи с	10	2
163	в виде	2	2
164	сих пор	1	2
165	как раз	1	2
166	оно как	2	2
167	другом случае	1	2
168	даже в	1	2
169	обстоит дело	1	2
170	мы не	8	2
171	до сих	1	2
172	так что	1	2
173	а на	3	2
174	в другой	1	2
175	а вовсе	1	2
176	того или	1	2
177	в одном	1	2
178	то в	3	2
179	те же	1	2
180	между ними	1	2
181	одним словом	1	2
182	иногда в	5	2
183	остановимся на	1	2
184	к этому	3	2
185	например в	2	2
186	с другом	1	2
187	совершенно не	1	2
188	потому что	3	2
189	одно и	1	2
190	на самом	4	2
191	между тем	5	2
192	и заставляет	1	2
193	не с	2	2
194	в этих	13	2
195	этом случае	8	2
196	на все	1	2
197	мы видим	13	2
198	для того	2	2
199	дело не	2	2
200	нисколько не	1	2
201	у нас	2	2
202	друг с	1	2
203	связана с	3	2
204	в самых	2	2
205	и самая	1	2
206	смысле слова	4	2
207	в особый	1	2
208	сказать что	2	2
209	должно быть	1	2
210	можно сказать	2	2
211	хотя и	3	2
212	уже не	2	2
213	а с	2	2
214	по своему	2	2
215	и другим	3	2
216	или вовсе	1	2
217	этот элемент	4	2
218	одна из	4	2
219	и тем	2	2
220	мы уже	1	2
221	ни было	2	2
222	с этими	1	2
223	тем и	2	2
224	тому что	4	2
225	или во	1	2
226	на этом	3	2
227	от других	2	2
228	и иных	2	2
229	в частности	2	2
230	в другом	2	2
231	то время	3	2
232	и предметом	1	2
233	а также	4	2
234	заставляет его	2	2
235	и у	1	2
236	и по	2	2
237	форма передачи	1	2
238	до известной	1	2
239	и то	1	2
240	он может	2	2
241	оно может	3	2
242	если мы	5	2
243	одному из	3	2
244	не является	3	2
245	только на	1	2
246	в целом	3	2
247	можно было	2	2
248	характерно что	1	2
249	нами в	2	2
250	не есть	1	2
251	том что	4	2
252	о которых	1	1
253	бы они	2	1
254	и совершенно	1	1
255	не исчерпывают	1	1
256	или иное	1	1
257	или иных	1	1
258	не входит	1	1
259	приводит к	2	1
260	но с	1	1
261	не значит	2	1
262	в в	2	1
263	не знает	1	1
264	но она	1	1
265	внимание науки	1	1
266	бы быть	1	1
267	мужа и	1	1
268	на анализе	1	1
269	есть и	4	1
270	например на	1	1
271	тому или	1	1
272	тех же	4	1
273	на пути	4	1
274	о котором	1	1
275	мы берем	1	1
276	как таковой	2	1
277	сам он	3	1
278	могла бы	4	1
279	в состоянии	1	1
280	момент в	1	1
281	в один	3	1
282	случае не	3	1
283	как на	1	1
284	же в	2	1
285	в этот	1	1
286	что таких	1	1
287	сама она	1	1
288	и их	2	1
289	может только	1	1
290	не менее	5	1
291	могут ассимилироваться	1	1
292	явления и	1	1
293	в другую	2	1
294	и тот	1	1
295	два типа	1	1
296	первый тип	1	1
297	и разновидности	1	1
298	исходить из	1	1
299	на то	2	1
300	к концу	1	1
301	должно исходить	1	1
302	на эту	1	1
303	к истории	1	1
304	в эти	1	1
305	укладываются в	1	1
306	здесь как	1	1
307	в какой	3	1
308	его можно	1	1
309	этого и	1	1
310	с помощью	1	1
311	вступает в	1	1
312	иногда почти	1	1
313	пришлось бы	1	1
314	бы не	1	1
315	и другие	6	1
316	специфическая особенность	1	1
317	на котором	3	1
318	варьируются в	1	1
319	по формам	1	1
320	предметами и	1	1
321	та же	2	1
322	от него	1	1
323	того чтобы	3	1
324	относятся к	2	1
325	не дает	1	1
326	как особая	2	1
327	как та	1	1
328	между прочим	1	1
329	в форме	6	1
330	и вне	3	1
331	а потому	1	1
332	и становится	1	1
333	слова не	1	1
334	до этого	1	1
335	вводит в	1	1
336	жизни языка	1	1
337	что говорит	1	1
338	другими формами	1	1
339	непосредственно как	1	1
340	все действие	1	1
341	там и	1	1
342	начала в	1	1
343	все формы	1	1
344	же не	1	1
345	этого не	2	1
346	совершенно иное	1	1
347	превращаясь в	1	1
348	или же	6	1
349	только один	1	1
350	но это	6	1
351	в теснейшем	1	1
352	в одной	1	1
353	в плоскости	1	1
354	реагирует на	3	1
355	и некоторые	1	1
356	конечно в	1	1
357	самостоятельно и	1	1
358	дело с	1	1
359	в начале	3	1
360	как изучать	1	1
361	в таком	1	1
362	быть не	1	1
363	видим что	10	1
364	какой степени	1	1
365	связанное с	1	1
366	а затем	4	1
367	в ином	2	1
