N	2gram	Tiupa_Anal_2	RusskieA
1	и в	16	36
2	не только	16	22
3	том что	12	19
4	что в	2	19
5	в том	12	17
6	т е	2	17
7	но и	12	16
8	так как	1	15
9	и м	2	14
10	в этом	18	12
11	и т	1	10
12	и на	6	10
13	это не	1	10
14	как и	14	10
15	как мы	3	10
16	вместе с	2	10
17	потому что	1	10
18	об этом	1	9
19	а в	3	9
20	состоит в	8	8
21	и по	1	8
22	у нас	1	8
23	о том	7	8
24	один из	2	8
25	из них	3	8
26	может быть	6	8
27	как это	6	8
28	так и	15	7
29	между тем	2	7
30	что и	3	7
31	представляют собой	2	7
32	полагает что	1	6
33	так например	2	6
34	таким образом	2	6
35	при этом	10	6
36	не имеет	2	6
37	уже не	4	6
38	в них	1	6
39	и не	12	6
40	все это	4	6
41	для нас	1	6
42	будто бы	1	6
43	то что	7	6
44	а и	1	5
45	как в	4	5
46	как будто	3	5
47	с ними	3	5
48	одно из	2	5
49	как бы	10	5
50	этом случае	4	5
51	мы имеем	3	4
52	еще не	2	4
53	во всех	4	4
54	следующим образом	1	4
55	представляет собой	8	4
56	с собой	1	4
57	входит в	1	4
58	из этих	1	4
59	в их	3	4
60	что этот	1	4
61	тому что	1	4
62	вплоть до	1	4
63	одна из	1	4
64	связи с	1	4
65	что на	3	4
66	к тому	7	4
67	еще в	2	4
68	и что	1	4
69	и их	2	4
70	тем что	3	4
71	в тех	1	4
72	того что	2	4
73	по существу	2	4
74	но это	1	4
75	в связи	1	4
76	как уже	3	4
77	не может	4	4
78	только в	4	4
79	к этому	2	4
80	их и	1	3
81	на каждом	1	3
82	как правило	4	3
83	своего рода	12	3
84	в своем	4	3
85	и те	1	3
86	в основном	1	3
87	на этом	4	3
88	то же	4	3
89	по домам	1	3
90	он же	2	3
91	далеко не	1	3
92	несмотря на	3	3
93	в этих	2	3
94	точки зрения	4	3
95	таким же	1	3
96	с точки	2	3
97	тем не	3	3
98	не менее	4	3
99	в разных	1	3
100	ничего не	9	3
101	и другой	1	3
102	в поле	4	3
103	приводит к	3	3
104	не с	4	3
105	начиная с	1	3
106	то есть	9	3
107	а также	7	3
108	от них	1	3
109	в качестве	11	3
110	только на	3	3
111	слова в	1	3
112	в одном	2	3
113	к ним	1	3
114	и из	1	3
115	на этот	2	3
116	о чем	2	3
117	так же	2	3
118	этого слова	3	3
119	и к	5	3
120	в свою	1	3
121	как известно	1	2
122	переход от	1	2
123	между двумя	4	2
124	к другому	1	2
125	что иное	1	2
126	на себя	5	2
127	они были	1	2
128	он был	2	2
129	иное как	1	2
130	это имеет	1	2
131	но не	4	2
132	тогда как	19	2
133	отнюдь не	8	2
134	однако как	2	2
135	независимо от	1	2
136	хотя и	4	2
137	и как	1	2
138	его к	1	2
139	но в	6	2
140	в целом	8	2
141	все эти	1	2
142	в нашем	3	2
143	и до	2	2
144	как он	1	2
145	после чего	1	2
146	для обозначения	1	2
147	и всей	1	2
148	что она	2	2
149	в нем	1	2
150	всех этих	1	2
151	в силу	1	2
152	его от	3	2
153	в окно	2	2
154	в каждом	1	2
155	же не	2	2
156	на этой	2	2
157	в жизни	1	2
158	говорится о	1	2
159	такой же	1	2
160	в один	4	2
161	и более	1	2
162	том же	1	2
163	нас к	2	2
164	она не	2	2
165	у него	4	2
166	именно с	1	2
167	но даже	1	2
168	а мы	1	2
169	и здесь	1	2
170	могут быть	10	2
171	имеет место	4	2
172	значения и	1	2
173	свою очередь	1	2
174	в образе	1	2
175	и другими	2	2
176	с ним	2	2
177	говорилось о	1	2
178	в его	2	2
