N	3gram	Trubetskoy_1	Psycholo
1	для того чтобы	5	19
2	на то что	2	16
3	в том что	3	14
4	с одной стороны	7	12
5	что в этом	1	6
6	о том что	4	6
7	в самом деле	1	5
8	до сих пор	5	5
9	совершенно ясно что	1	5
10	с другой стороны	1	5
11	по сравнению с	2	4
12	заключает в себе	2	4
13	тот факт что	1	4
14	а с другой	5	4
15	друг к другу	1	4
16	не только не	1	4
17	иметь в виду	1	3
18	то же самое	2	3
19	вместе с тем	8	3
20	с тем что	1	3
21	то что он	2	3
22	с самого начала	2	3
23	мы видим что	1	3
24	друг с другом	5	3
25	в этом отношении	2	3
26	и того же	1	2
27	состоит в том	1	2
28	потому что в	1	2
29	одного и того	1	2
30	самом деле если	1	2
31	может быть и	2	2
32	с точки зрения	6	2
33	в отличие от	1	2
34	так же как	3	2
35	в данном случае	1	2
36	сами по себе	1	2
37	в конце концов	3	2
38	указывает на то	1	2
39	не может быть	1	2
40	что это есть	1	2
41	той или иной	2	2
42	можно сказать что	2	2
43	и в результате	1	2
44	как бы в	1	2
45	и таким образом	3	2
46	именно потому что	1	2
47	и в сущности	1	1
48	в том виде	2	1
49	и есть то	1	1
50	психологической точки зрения	1	1
51	чуть ли не	1	1
52	мы имеем в	1	1
53	из этих трех	1	1
54	по отношению к	1	1
55	более или менее	5	1
56	одной из этих	1	1
57	совпадает с тем	1	1
58	влечет за собой	2	1
59	а в том	1	1
60	те и другие	2	1
61	них как на	1	1
62	и в этом	2	1
63	то что эти	1	1
64	до известной степени	1	1
65	потому что сама	1	1
66	только то что	1	1
67	в своем целом	1	1
68	и для того	2	1
69	том или ином	1	1
70	с ними в	1	1
71	приводит к их	1	1
72	в значительной мере	2	1
73	с этой точки	2	1
74	по крайней мере	5	1
75	то или иное	2	1
76	но все они	1	1
77	борющихся друг с	1	1
78	в том или	1	1
79	и что он	1	1
80	и тот же	1	1
81	на задний план	1	1
82	смысле этого слова	1	1
83	с психологической точки	1	1
84	по тому же	1	1
85	и в этой	1	1
86	на них как	1	1
87	но вместе с	2	1
88	а не как	1	1
89	однако несмотря на	1	1
90	но совершенно ясно	1	1
91	один и тот	1	1
92	этой точки зрения	2	1
93	сих пор не	1	1
94	из которых каждый	1	1
95	что в этой	1	1
96	в то время	1	1
97	в свою очередь	1	1
98	после того как	1	1
99	ничего общего с	2	1
100	в очень редких	1	1
101	речь идет о	1	1
102	мы видели что	1	1
103	ложному пути и	1	1
104	по ложному пути	1	1
105	и все же	1	1
106	и только в	1	1
107	он как бы	1	1
