N	3gram	Savitsky_E_1	Mirosoze
1	не может быть	2	17
2	но и в	1	4
3	с тем что	1	3
4	заключает в себе	3	3
5	есть не только	2	3
6	это значит что	1	3
7	мы увидим что	1	3
8	не может не	1	2
9	прежде всего в	2	2
10	хотя бы и	3	2
11	к тому чтобы	2	2
12	и кровь от	1	2
13	от плоти и	1	2
14	в том смысле	1	2
15	то время как	1	2
16	не только в	4	2
17	плоть от плоти	1	2
18	не могут быть	1	2
19	плоти и кровь	1	2
20	в то время	1	2
21	кровь от крови	1	2
22	для того чтобы	5	2
23	а не к	1	1
24	отношении к культуре	1	1
25	это потому что	1	1
26	он мог бы	1	1
27	сплошь и рядом	2	1
28	и не было	1	1
29	том случае если	1	1
30	что россия есть	1	1
31	в отличие от	1	1
32	и когда мы	1	1
33	начале xx века	1	1
34	и различие между	1	1
35	есть то что	1	1
36	в том случае	1	1
37	может быть и	1	1
38	к западной европе	1	1
39	и не быть	1	1
40	в значительной степени	1	1
41	есть только одно	1	1
42	по сравнению с	2	1
43	и связанной с	1	1
44	во всех этих	1	1
45	своей потребности в	1	1
46	друг к другу	1	1
47	во всяком случае	3	1
48	одна и та	1	1
49	к ней в	1	1
50	но не только	2	1
51	в отношении к	12	1
52	как и всякая	1	1
53	культуры в течение	1	1
54	в начале xx	1	1
55	но также и	1	1
56	том смысле что	1	1
57	в своей потребности	1	1
58	не только те	1	1
59	с еще большей	1	1
60	не заключается ли	1	1
61	одно из явлений	1	1
62	оно не может	1	1
63	так же мало	2	1
64	но не в	1	1
65	и ту же	1	1
66	для нас в	1	1
67	можно было бы	3	1
68	и та же	1	1
69	во многих отношениях	1	1
70	в себе в	1	1
71	одну и ту	1	1
72	в том что	6	1
73	выходит за пределы	1	1
74	с разных точек	1	1
75	именно потому и	1	1
