N	3gram	Vinokur_St_3	RusskieA
1	в том что	11	18
2	состоит в том	3	13
3	для того чтобы	1	6
4	и т д	2	5
5	о том что	4	4
6	и в других	1	4
7	вместе с тем	1	4
8	только тогда когда	2	3
9	не может быть	5	3
10	в этом и	1	2
11	с одной стороны	2	2
12	и в некоторых	1	2
13	по этому поводу	2	2
14	во многих случаях	1	2
15	кроме того в	1	2
16	тем не менее	2	2
17	в том чтобы	2	2
18	в то время	4	2
19	к этому времени	1	1
20	в том же	1	1
21	несколько ниже в	1	1
22	а не на	1	1
23	на себя внимание	1	1
24	как например то	1	1
25	указывает что в	1	1
26	том что один	1	1
27	и в этом	2	1
28	себе дело так	1	1
29	об этом не	1	1
30	но может быть	1	1
31	е как бы	1	1
32	но это не	3	1
33	потому что в	1	1
34	на русской почве	1	1
35	на то что	3	1
36	иметь в виду	1	1
37	между тем как	2	1
38	дело не в	1	1
39	как например в	4	1
40	собою как бы	1	1
41	тем более что	2	1
42	того или другого	1	1
43	т е не	1	1
44	как и вообще	1	1
45	в своих целях	1	1
46	можно было бы	1	1
47	совершенно очевидно что	1	1
48	история для него	1	1
49	относится к г	2	1
50	таким образом в	1	1
51	более или менее	1	1
52	в некоторых случаях	1	1
53	то что в	1	1
54	т е как	1	1
55	в этом отношении	4	1
56	может быть назван	2	1
57	в применении к	1	1
58	с этим связано	1	1
59	вопрос о том	1	1
60	можно сказать что	1	1
61	как мы видели	1	1
62	но и в	2	1
63	не может не	1	1
64	то время как	4	1
65	так как в	1	1
66	в какой степени	1	1
67	в такой же	1	1
68	может быть не	1	1
69	во всех этих	2	1
70	но так как	1	1
71	а иногда и	1	1
72	во всяком случае	4	1
73	в свою очередь	1	1
74	показать что этот	1	1
75	потому что он	2	1
76	с другой стороны	4	1
77	одновременно и в	1	1
