N	4gram	Losev_Dial_2	Vladivir
1	то это значит что	1	4
2	с одной стороны и	1	2
3	что бы то ни	1	2
4	в то же время	3	2
5	на самом же деле	1	2
6	и в то же	1	2
7	бы то ни стало	1	2
8	в то время как	3	2
9	и вместе с тем	1	2
10	во что бы то	1	2
11	да и то не	1	1
12	в том смысле как	1	1
13	и то и другое	1	1
14	одно и то же	4	1
15	не что иное как	3	1
16	мы уже знаем что	1	1
17	иметь в виду что	2	1
18	так же как и	1	1
19	мы уже не говорим	1	1
20	ни в каком смысле	1	1
21	в том что он	1	1
22	заключается в том что	1	1
23	не содержит в себе	1	1
24	в каком смысле не	1	1
