N	2gram	Bakhtin_sl_2	RusskieA
1	и в	39	36
2	не только	24	22
3	том что	5	19
4	что в	3	19
5	в том	5	17
6	но и	21	16
7	так как	4	15
8	и другие	2	13
9	п в	2	13
10	в этом	16	12
11	в других	1	11
12	и т	35	10
13	и на	4	10
14	это не	5	10
15	как и	6	10
16	как мы	7	10
17	вместе с	2	10
18	т д	2	9
19	об этом	1	9
20	а в	4	9
21	и по	1	8
22	о том	2	8
23	один из	5	8
24	мы увидим	2	8
25	может быть	37	8
26	как это	3	8
27	так и	15	7
28	между тем	3	7
29	что и	3	7
30	и других	4	7
31	мы не	2	6
32	в виде	2	6
33	таким образом	8	6
34	при этом	7	6
35	уже не	5	6
36	в них	6	6
37	и не	22	6
38	все это	16	6
39	для нас	5	6
40	то что	2	6
41	как в	13	5
42	все же	6	5
43	при изучении	1	5
44	того как	2	5
45	с ними	5	5
46	одно из	1	5
47	как бы	7	5
48	этом случае	6	5
49	еще не	7	4
50	во всех	12	4
51	с собой	1	4
52	входит в	4	4
53	в их	2	4
54	одна из	4	4
55	в русском	1	4
56	связи с	3	4
57	так в	2	4
58	еще в	1	4
59	и что	1	4
60	и их	5	4
61	тем что	1	4
62	и др	4	4
63	в некоторых	3	4
64	того что	1	4
65	но это	3	4
66	в связи	2	4
67	как уже	2	4
68	не может	20	4
69	только в	5	4
70	к этому	1	4
71	на каждом	2	3
72	в своем	6	3
73	не можем	1	3
74	и те	1	3
75	связанные с	4	3
76	в основном	4	3
77	на этом	3	3
78	то же	4	3
79	но все	5	3
80	чаще всего	1	3
81	далеко не	2	3
82	несмотря на	1	3
83	в этих	7	3
84	точки зрения	8	3
85	с точки	3	3
86	она в	1	3
87	тем не	1	3
88	не менее	4	3
89	ничего не	1	3
90	приводит к	1	3
91	не с	3	3
92	то есть	26	3
93	или на	2	3
94	а также	3	3
95	также в	1	3
96	как например	2	3
97	всякого рода	1	3
98	в качестве	1	3
99	только на	1	3
100	слова в	13	3
101	в одном	2	3
102	к ним	1	3
103	много и	1	3
104	в области	2	3
105	этого слова	1	3
106	и к	6	3
107	в свою	3	3
108	как известно	1	2
109	можно говорить	2	2
110	к материалу	2	2
111	например в	5	2
112	между двумя	1	2
113	на тех	1	2
114	но она	2	2
115	в самих	1	2
116	они были	1	2
117	как не	1	2
118	в ней	3	2
119	друг к	1	2
120	но не	6	2
121	значение и	1	2
122	к слову	1	2
123	не просто	1	2
124	отнюдь не	1	2
125	как по	1	2
126	однако как	1	2
127	независимо от	2	2
128	с этим	2	2
129	мы можем	1	2
130	хотя и	2	2
131	и как	3	2
132	но в	6	2
133	та же	1	2
134	в целом	1	2
135	все эти	6	2
136	в нашем	2	2
137	в дальнейшем	2	2
138	и до	1	2
139	как он	2	2
140	и всей	1	2
141	что она	1	2
142	в нем	19	2
143	всех этих	4	2
144	не значит	1	2
145	и связанные	2	2
146	его от	3	2
147	в каждом	1	2
148	встречается и	1	2
149	и с	9	2
150	к другу	1	2
151	на этой	1	2
152	такой же	1	2
153	в один	1	2
154	далее в	2	2
155	должны были	1	2
156	и более	2	2
157	для этого	4	2
158	этого мало	1	2
159	она не	6	2
160	они же	1	2
161	у него	3	2
162	и здесь	2	2
163	могут быть	7	2
164	был распространен	1	2
165	и другим	2	2
166	как они	1	2
167	свою очередь	2	2
168	в более	2	2
169	мы наблюдаем	2	2
170	и другими	1	2
171	с ним	7	2
172	на все	1	2
173	в различных	2	2
174	должно было	1	2
175	в его	7	2
176	в свете	3	2
177	к ней	2	2
178	в какой	1	2
179	их не	1	2
180	наших целей	1	2
181	в большинстве	6	2
182	борьбы с	3	2
183	они могли	1	2
184	за счет	1	2
185	его и	2	2
186	в прошлом	2	2
187	не было	2	2
188	в особенности	3	2
189	не были	1	2
190	чем в	2	2
191	для наших	1	2
192	себя и	4	2
193	но есть	1	2
