N	3gram	Tiupa_Narr_2	Hudozhes
1	по отношению к	5	10
2	в отличие от	5	7
3	не сводится к	6	6
4	я в мире	2	6
5	то же время	3	6
6	в то же	3	6
7	присутствия я в	2	5
8	более или менее	1	5
9	той или иной	3	5
10	в том что	8	5
11	состоит в том	4	4
12	и того же	1	3
13	не следует смешивать	1	3
14	всех без исключения	1	3
15	следует смешивать с	1	3
16	с точки зрения	2	3
17	одного и того	1	3
18	несет в себе	1	3
19	в конечном счете	3	3
20	тем не менее	4	3
21	того или иного	3	3
22	можно сказать что	3	3
23	в этом смысле	1	3
24	в той или	1	2
25	себя в другом	1	2
26	в данный момент	1	2
27	мы имеем дело	2	2
28	как бы не	1	2
29	причастной вненаходимости бахтин	1	2
30	в таком случае	1	2
31	и в то	1	2
32	креативного и рецептивного	1	2
33	в структуре текста	1	2
34	во всей его	1	2
35	в основе своей	1	2
36	в противном случае	1	2
37	как уже говорилось	2	2
38	не могло быть	1	2
39	в рамках которого	1	2
40	героя тогда как	1	2
41	с одной стороны	5	2
42	в равной степени	2	2
43	мастера и маргариты	1	2
44	а с другой	1	2
45	так или иначе	1	2
46	в тарасе бульбе	1	2
47	для того чтобы	1	2
48	мира представляет собой	1	2
49	по сути дела	1	2
50	к тому что	3	2
51	в силу своей	1	2
52	примет в осмысленном	1	1
53	таким образом что	1	1
54	по своей природе	2	1
55	не могли бы	1	1
56	раз в том	1	1
57	только раскрывают содержание	1	1
58	что иное как	1	1
59	не проходит бесследно	1	1
60	не все что	1	1
61	в е годы	1	1
62	в этой фразе	1	1
63	специфически человеческий способ	1	1
64	отделен от своей	1	1
65	и рецептивного сознаний	1	1
66	на котором он	1	1
67	иметь в виду	1	1
68	одним и тем	1	1
69	практике художественного письма	1	1
70	пребывания в мире	2	1
71	к другому человеку	1	1
72	подобно тому как	2	1
73	судьба выражает внеличную	1	1
74	к новой жизни	1	1
75	а не все	1	1
76	уже говорилось выше	2	1
77	или даже вовсе	1	1
78	войны и мира	4	1
79	в осмысленном и	1	1
80	и временных примет	1	1
81	в современных гуманитарных	1	1
82	а тем более	1	1
83	раскрывают содержание судьбы	1	1
84	в зависимости от	1	1
85	текста так и	1	1
86	не входит в	1	1
87	вследствие того что	1	1
88	слияние пространственных и	1	1
89	следует иметь в	1	1
90	в последние десятилетия	1	1
91	внеличную сторону индивида	1	1
92	знания убеждения мнения	1	1
93	том или ином	1	1
94	точно так же	2	1
95	начало и конец	1	1
96	повествователя рассказчика хроникера	1	1
97	наличии у него	1	1
98	с этой точки	1	1
99	и конкретном целом	1	1
100	позицию по отношению	1	1
101	как раз в	1	1
102	тогда как в	2	1
103	своего рода механизмом	1	1
104	едва ли не	1	1
105	осмысленном и конкретном	1	1
106	сторону индивида и	1	1
107	индивида и его	1	1
108	современных гуманитарных науках	1	1
109	если говорить о	1	1
110	своей судьбы они	1	1
111	текста в целом	1	1
112	но и внутренне	1	1
113	его поступки только	1	1
114	и многих других	1	1
115	и его поступки	1	1
116	в той мере	2	1
117	в своем составе	1	1
118	отношению к которому	1	1
119	в известном смысле	3	1
120	в молчание бахтин	1	1
121	коммуникативного события в	1	1
122	по большей части	3	1
123	не отделен от	1	1
124	автора и читателя	1	1
125	картина мира это	1	1
126	в евгении онегине	1	1
127	имеем дело с	2	1
128	дамы с собачкой	7	1
129	на второй план	2	1
130	как субъекта самоопределения	2	1
131	пространственных и временных	1	1
132	в том или	1	1
133	в связи с	1	1
134	не только к	1	1
135	участников коммуникативного события	1	1
136	хранения и передачи	1	1
137	имеет место слияние	1	1
138	в другом и	1	1
139	место слияние пространственных	1	1
140	поступки только раскрывают	1	1
141	как бы в	2	1
142	так же как	2	1
143	все то что	2	1
144	роль в организации	1	1
145	судьбы они едины	1	1
146	проявляет себя в	1	1
147	в то время	1	1
148	а в том	2	1
149	в частности в	1	1
150	не несет в	1	1
151	есть не что	1	1
152	в этом тексте	1	1
153	обратим внимание на	1	1
154	оказывается всего лишь	1	1
155	тогда как внутренняя	1	1
156	более того личность	1	1
157	выражает внеличную сторону	1	1
158	о том что	4	1
159	можно сказать не	1	1
160	то есть в	1	1
161	от своей судьбы	1	1
162	я в качестве	1	1
163	этой точки зрения	1	1
164	в себе самом	2	1
165	и тем самым	2	1
166	поименованное в тексте	1	1
167	никогда не бывает	1	1
168	человеческий способ существования	1	1
169	собственно говоря и	1	1
170	всей его полноте	1	1
171	имеет в своем	1	1
172	говорящих и слушающих	1	1
173	не сводятся к	1	1
174	мере в какой	2	1
175	субъективно оно интерсубъективно	1	1
176	едины судьба выражает	1	1
177	формах художественного письма	1	1
178	не что иное	1	1
179	возможна только в	1	1
180	в области литературы	1	1
181	той мере в	2	1
182	и тем же	1	1
183	в реальной действительности	1	1
184	не субъективно оно	1	1
185	в соответствии с	3	1
186	не может быть	2	1
187	в полной мере	1	1
188	временных примет в	1	1
189	в этом втором	1	1
190	при всей своей	2	1
191	к тому же	4	1
192	они едины судьба	1	1
193	с легкой руки	1	1
