N	3gram	Losev_Vlad_3	VerxiiNi
1	вместе с тем	6	8
2	с одной стороны	3	7
3	с точки зрения	6	6
4	во всяком случае	3	6
5	более или менее	5	5
6	в том числе	1	5
7	до сих пор	1	5
8	а с другой	2	5
9	для того чтобы	1	5
10	о том что	8	4
11	с тем чтобы	1	4
12	и вместе с	2	4
13	к тому же	5	4
14	так или иначе	2	3
15	а так как	1	3
16	точно так же	4	3
17	в конце концов	5	3
18	так же как	2	3
19	в связи с	2	3
20	тем не менее	9	3
21	в том что	10	3
22	таким образом если	1	2
23	и потому что	2	2
24	то же самое	1	2
25	в этом отношении	2	2
26	с тех пор	1	2
27	с этой точки	1	2
28	может быть и	1	2
29	то ни было	1	2
30	то что он	1	2
31	бы то ни	3	2
32	но вместе с	1	2
33	то же время	2	2
34	ничего общего с	2	2
35	этой точки зрения	1	2
36	с самого начала	1	2
37	той или иной	1	2
38	на то что	2	2
39	в то же	3	2
40	христианской точки зрения	1	2
41	и в этом	5	2
42	не может не	1	1
43	таком случае эта	1	1
44	что в этом	2	1
45	сказать что в	1	1
46	а с тем	1	1
47	иметь в виду	2	1
48	притом не только	1	1
49	и в смысле	3	1
50	в котором он	1	1
51	в самом деле	1	1
52	в настоящее время	3	1
53	свидетельствует о том	2	1
54	о том как	1	1
55	сказать и о	1	1
56	а следовательно и	1	1
57	в таком случае	2	1
58	и в то	2	1
59	что все существующее	1	1
60	в первую очередь	1	1
61	и только на	1	1
62	востока и запада	1	1
63	есть истинный бог	1	1
64	а вместе с	1	1
65	с тем что	1	1
66	совершенно так же	2	1
67	но когда мы	1	1
68	точки зрения того	1	1
69	лишь постольку поскольку	1	1
70	во время одного	1	1
71	в этой области	1	1
72	в данном случае	2	1
73	на этот раз	1	1
74	нельзя сказать чтобы	1	1
75	в отличие от	3	1
76	мы видели выше	2	1
77	потому что в	1	1
78	если подойти к	1	1
79	хотя бы с	1	1
80	не только от	1	1
81	еще и потому	2	1
82	не имеет никакого	1	1
83	с другой стороны	2	1
84	из этих трех	2	1
85	только то что	1	1
86	сих пор не	1	1
87	что учение о	1	1
88	у него в	4	1
89	но не с	1	1
90	но в конце	1	1
91	не может быть	6	1
92	что даже в	1	1
93	может и не	1	1
94	в то время	4	1
95	нет ничего кроме	1	1
96	это и есть	1	1
97	в этом последнем	1	1
98	тем и другим	1	1
99	не только не	1	1
100	время одного из	1	1
101	что это есть	2	1
102	начинается с того	1	1
103	несмотря на все	1	1
104	и в результате	1	1
105	то есть о	2	1
106	при таких условиях	2	1
107	мы видим что	1	1
108	и это православие	1	1
109	тем что в	1	1
110	как на нечто	1	1
111	в себе не	1	1
112	что и в	3	1
