N	2gram	Medvedev_I_1	Istorich
1	и в	1	28
2	никогда не	1	14
3	что в	2	12
4	так и	1	9
5	и не	2	9
6	в этом	2	8
7	если бы	1	8
8	и др	1	7
9	а в	1	7
10	с другой	1	6
11	по существу	1	5
12	другой стороны	1	5
13	все эти	1	4
14	и с	3	4
15	в основе	1	4
16	того что	1	4
17	все это	1	4
18	я не	1	3
19	по отношению	1	3
20	на котором	1	3
21	в руки	1	3
22	есть только	1	3
23	должен быть	2	3
24	тем что	1	3
25	отношению к	1	3
26	а для	1	2
27	от этого	1	2
28	в целом	1	2
29	и тот	1	2
30	он не	2	2
31	а по	1	2
32	для него	1	2
33	только для	1	2
34	как о	1	2
35	с героем	1	2
36	ничего не	2	2
37	себя в	1	2
38	то и	1	2
39	не так	1	2
40	а с	1	2
41	нисколько не	1	2
42	бы в	1	2
43	не дает	1	2
44	это было	1	2
45	не остается	1	1
46	тех же	1	1
47	и чрезвычайно	1	1
48	говорить о	1	1
49	под редакцией	1	1
50	бы всю	1	1
51	знать и	1	1
52	и еще	1	1
53	них не	1	1
54	в них	1	1
55	в эту	1	1
56	вплоть до	1	1
57	нам в	1	1
58	а отсюда	1	1
59	того чтобы	1	1
60	он с	1	1
61	о ней	1	1
62	от нее	1	1
63	каждый исследователь	1	1
64	а также	1	1
65	и та	1	1
66	в значительной	1	1
67	у всех	1	1
68	и со	1	1
69	так то	1	1
70	для того	1	1
71	что для	1	1
72	а если	1	1
73	бы его	1	1
