N	2gram	Potebnia_M_1	KFilosof
1	может быть	27	43
2	в его	5	39
3	в нем	20	31
4	не может	22	27
5	и не	18	26
6	по отношению	13	25
7	и в	39	22
8	в себе	13	21
9	в котором	1	21
10	отношению к	13	21
11	не есть	10	19
12	и его	5	17
13	в ее	1	17
14	а не	21	17
15	только в	25	16
16	в этом	15	13
17	точки зрения	8	13
18	и это	3	12
19	но не	8	12
20	ни в	1	12
21	для него	4	12
22	все эти	1	11
23	в своей	3	11
24	не в	15	11
25	к нему	1	11
26	во всех	5	10
27	в своем	3	10
28	это не	7	10
29	с точки	3	10
30	все это	1	10
31	из себя	5	10
32	и есть	2	9
33	в их	2	9
34	в целом	2	9
35	для нее	2	9
36	бытия и	3	9
37	но и	20	9
38	как бы	6	9
39	и для	5	9
40	и все	3	9
41	лишь в	1	8
42	было бы	12	8
43	мир в	1	8
44	если бы	14	8
45	со стороны	8	8
46	не было	4	8
47	жизни и	2	8
48	то что	10	7
49	во всем	4	7
50	должен быть	1	7
51	что и	6	7
52	себя в	1	7
53	в единстве	2	7
54	вовсе не	5	7
55	быть только	5	7
56	он не	3	6
57	в мире	3	6
58	и только	2	6
59	совершенно не	1	6
60	уже не	2	6
61	и их	3	6
62	но это	5	6
63	в смысле	4	6
64	в том	26	6
65	от своей	1	5
66	мы имеем	1	5
67	жизни как	1	5
68	но как	3	5
69	все же	6	5
70	но в	9	5
71	не только	21	5
72	то же	6	5
73	но все	2	5
74	его в	1	5
75	как и	9	5
76	должно быть	7	5
77	что я	1	5
78	не имеет	5	5
79	никогда не	4	5
80	для себя	3	5
81	с ним	3	5
82	именно в	1	5
83	его как	1	5
84	там где	4	5
85	ее и	1	5
86	хотя бы	2	5
87	ко всему	1	5
88	я могу	1	5
89	как его	1	4
90	проникает в	1	4
91	себя а	2	4
92	в чем	1	4
93	мира но	1	4
94	при этом	6	4
95	не как	1	4
96	бы быть	4	4
97	входит в	1	4
98	тем самым	4	4
99	к ним	2	4
100	не по	4	4
101	о нем	1	4
102	в каком	6	4
103	в категориях	1	4
104	с ними	1	4
105	времени и	2	4
106	познания и	2	4
107	между тем	5	4
108	во всей	1	4
109	могло бы	3	4
110	нисколько не	2	4
111	ни было	2	4
112	в одном	8	4
113	том что	16	4
114	для нас	9	4
115	а в	5	4
116	что в	22	4
117	в своих	4	4
118	самом деле	1	3
119	на самом	1	3
120	из его	1	3
121	должна быть	3	3
122	для которого	1	3
123	и этот	1	3
124	предмета в	1	3
125	мы не	10	3
126	что это	3	3
127	общее и	1	3
128	в ней	7	3
129	еще не	6	3
130	и на	1	3
131	тем как	3	3
132	а следовательно	1	3
133	себе и	1	3
134	независимо от	6	3
135	человека вообще	1	3
136	ясно и	1	3
137	бы не	6	3
138	и отношения	1	3
139	теории и	2	3
140	для того	3	3
141	и совершенно	1	3
142	из него	2	3
143	в каждом	4	3
144	могла бы	2	3
145	в другом	1	3
146	этом смысле	4	3
147	рядом с	1	3
148	что этот	1	3
149	не менее	6	3
150	тогда когда	9	3
151	в единство	1	3
152	где он	1	3
153	на язык	7	3
154	ничего не	1	3
155	и делает	1	3
156	в некотором	2	3
157	могут быть	9	3
158	здесь не	1	3
159	здесь нет	1	3
160	в виду	2	3
161	о том	2	3
162	и весь	1	3
163	не имеем	2	3
164	того или	1	3
165	к последнему	2	3
166	того что	8	3
167	и тем	3	3
168	был бы	1	3
169	и должна	1	3
170	с моей	1	3
171	тем что	9	3
172	от того	4	3
173	что не	10	3
174	смысл в	1	3
175	сознания и	1	3
176	от него	4	3
177	не должен	1	3
178	но можно	1	3
179	в свою	4	3
180	для действительного	1	3
181	в то	4	3
182	чтобы не	2	2
183	и то	3	2
184	он может	1	2
185	для моей	1	2
186	чего не	1	2
187	едва ли	1	2
188	а как	2	2
189	вопрос о	4	2
190	ему в	1	2
191	с его	1	2
192	в данном	1	2
193	жить и	1	2
194	готовое и	1	2
195	же с	7	2
196	как в	10	2
197	сознания в	2	2
198	и как	6	2
199	от этого	1	2
200	та же	1	2
201	думать что	3	2
202	ни одна	2	2
203	в этой	3	2
204	нами в	1	2
205	человек не	1	2
206	вследствие этого	1	2
207	как оно	1	2
208	из самого	3	2
209	в виде	1	2
210	так и	13	2
211	смысле в	4	2
212	то ни	3	2
213	не будет	2	2
214	и может	2	2
215	и мы	1	2
216	весь мир	1	2
217	в жизни	3	2
218	из нее	1	2
219	с тем	5	2
220	место и	1	2
221	и общее	1	2
222	жизни но	1	2
223	и того	2	2
224	как предмет	2	2
225	есть его	1	2
226	тем не	6	2
227	и эти	1	2
228	себя или	1	2
229	этот мир	1	2
230	по себе	10	2
231	случае мы	1	2
232	тому что	3	2
233	что есть	1	2
234	она могла	1	2
235	и отсюда	1	2
236	мышления и	1	2
237	дело в	2	2
238	того чтобы	2	2
239	вытекает из	2	2
240	же время	4	2
241	не нужен	1	2
242	в сознании	3	2
243	в области	1	2
244	не потому	2	2
245	его с	2	2
246	оно не	3	2
247	отказаться от	1	2
248	ничего общего	2	2
249	можно и	1	2
250	всей своей	1	2
251	чтобы дать	1	2
252	бы то	2	2
253	мысль не	1	2
254	на волю	1	2
255	или как	1	2
256	содержания но	1	2
257	мысль и	1	2
258	дело с	1	2
259	что он	1	2
260	не из	3	2
261	и других	4	2
262	нее в	1	2
263	слова в	2	2
264	были бы	3	2
265	себе а	1	2
266	этим путем	1	2
267	будет ли	1	2
268	для этого	2	2
269	себя и	1	2
270	но есть	1	2
271	предмет и	1	2
272	прежде всего	4	2
273	только по	2	2
274	если не	2	2
275	и потому	5	2
276	возможность в	1	2
277	его на	2	2
278	что за	1	2
279	быть не	4	2
