N	2gram	Medvedev_S_1	Istorich
1	и в	3	24
2	что он	1	21
3	не только	3	21
4	не может	1	14
5	может быть	2	14
6	что в	2	13
7	в этих	1	13
8	в этом	5	12
9	но и	2	11
10	том что	2	10
11	а в	1	10
12	это не	1	10
13	и что	2	10
14	у него	1	10
15	все же	1	9
16	не в	3	9
17	с другой	1	9
18	о том	1	9
19	еще не	2	8
20	то же	2	8
21	все это	7	8
22	таким образом	2	7
23	в том	5	7
24	то что	2	7
25	один из	1	7
26	для нас	3	6
27	как и	1	6
28	что это	1	6
29	тем что	1	6
30	только в	2	6
31	но не	1	6
32	с одной	1	5
33	так и	1	5
34	право на	1	5
35	с ним	1	5
36	дело не	2	5
37	в чем	1	5
38	ничего не	1	5
39	одной стороны	1	5
40	что она	1	5
41	вовсе не	1	4
42	мы не	1	4
43	никогда не	1	4
44	и не	1	4
45	мы должны	1	4
46	на первый	1	4
47	по существу	2	4
48	как бы	2	4
49	в данном	1	4
50	и наконец	1	3
51	связи с	1	3
52	него и	1	3
53	вступает в	1	3
54	на ней	1	3
55	его в	1	3
56	в конце	2	3
57	и его	1	3
58	это происходит	1	3
59	в них	1	3
60	и по	1	3
61	все эти	1	2
62	в связи	1	2
63	в котором	1	2
64	это как	1	2
65	прежде всего	1	2
66	или даже	2	2
67	в силу	1	2
68	в таких	1	2
69	не от	1	2
70	они не	1	2
71	в то	1	2
72	и о	1	2
73	конечно не	1	2
74	их на	1	2
75	новые и	1	2
76	как только	2	2
77	это значит	1	2
78	тому что	1	2
79	он говорит	1	2
80	тем более	2	2
81	на этот	1	2
82	должно было	1	2
83	было бы	2	2
84	перед нами	1	2
85	что эти	1	2
86	не один	1	1
87	в любой	1	1
88	но она	1	1
89	в свои	1	1
90	в частности	2	1
91	в него	1	1
92	только как	2	1
93	или не	1	1
94	не исчерпываются	1	1
95	только тогда	1	1
96	отношению к	2	1
97	у которых	1	1
98	между собой	1	1
99	должна быть	2	1
100	два типа	1	1
101	в виде	1	1
102	на тех	1	1
103	и должны	1	1
104	хотя бы	1	1
105	это дает	1	1
106	дает нам	1	1
107	в своей	1	1
108	по себе	1	1
109	не дает	1	1
110	с социальной	1	1
111	же не	1	1
112	и только	3	1
113	в заключение	1	1
114	мы еще	1	1
115	не меняет	1	1
116	вот в	1	1
117	для наших	1	1
118	хотелось бы	1	1
119	на все	1	1
120	сама по	1	1
121	по отношению	2	1
122	она должна	1	1
123	никак не	1	1
124	более не	1	1
125	в целом	1	1
126	происходит не	1	1
127	далеко не	2	1
128	именно и	1	1
129	и потому	1	1
130	и история	1	1
131	том как	1	1
132	очевидно что	2	1
133	случае только	1	1
134	на основании	1	1
135	в каждом	1	1
136	дело конечно	1	1
137	для этого	1	1
138	в этой	1	1
139	именно в	1	1
140	в его	3	1
141	и связь	1	1
142	мы понимаем	1	1
143	те же	1	1
144	и есть	1	1
145	как будто	2	1
146	со своими	1	1
147	но именно	1	1
148	а с	1	1
149	и как	1	1
150	же самое	1	1
151	связь между	1	1
152	далеко еще	1	1
153	и более	1	1
154	можно будет	1	1
