N	2gram	Vygotskiy__4	SlovoVZh
1	не может	10	16
2	может быть	22	14
3	точки зрения	6	14
4	как бы	25	13
5	и его	5	13
6	таким образом	13	12
7	и в	33	12
8	по отношению	1	11
9	в нашем	1	11
10	отношению к	1	11
11	и не	13	10
12	если бы	10	9
13	так как	12	9
14	прежде всего	2	8
15	художественного произведения	1	7
16	сказать что	13	7
17	для нас	7	7
18	в ней	6	6
19	в том	21	6
20	только в	4	6
21	при этом	2	6
22	в нем	7	6
23	слова и	4	6
24	все время	24	6
25	художественную форму	1	6
26	то же	9	5
27	в виду	2	5
28	можно сказать	2	5
29	как в	3	5
30	но в	2	5
31	и др	1	5
32	в жизни	4	5
33	героя и	2	5
34	а не	6	5
35	художественной формы	4	5
36	как и	5	5
37	что мы	6	5
38	том что	22	5
39	никогда не	5	5
40	хотя бы	2	5
41	то что	44	5
42	мы все	3	4
43	на самом	6	4
44	литературы и	2	4
45	к нему	1	4
46	за пределы	1	4
47	в этом	28	4
48	все же	5	4
49	в самом	12	4
50	не только	7	4
51	ни было	1	4
52	так и	3	4
53	материала и	2	4
54	с другой	2	4
55	что не	4	4
56	не в	2	4
57	его в	3	4
58	дело в	1	4
59	и является	2	4
60	и к	2	4
61	жизни и	4	4
62	и на	5	4
63	художественном произведении	1	3
64	самом деле	12	3
65	формы и	1	3
66	в котором	2	3
67	в пределах	3	3
68	ясно что	5	3
69	еще не	1	3
70	мы не	5	3
71	и вообще	1	3
72	о том	20	3
73	бы то	2	3
74	но и	3	3
75	между тем	1	3
76	точка зрения	2	3
77	того что	4	3
78	в художественном	2	3
79	когда он	7	3
80	и наконец	2	3
81	имеет в	1	3
82	и ее	2	3
83	все эти	6	3
84	только на	1	3
85	конечно не	3	3
86	в себе	6	3
87	слово в	2	3
88	да и	3	3
89	для него	1	3
90	он должен	1	3
91	то ни	1	3
92	и с	2	3
93	до сих	3	3
94	ни в	3	3
95	в некоторых	1	3
96	в них	2	3
97	и уже	4	3
98	в своей	4	3
99	так же	13	3
100	в такой	2	3
101	этой точки	1	3
102	как к	1	3
103	и более	1	3
104	из этого	5	3
105	по себе	9	3
106	произведения и	1	3
107	художественное произведение	1	3
108	сих пор	3	3
109	все это	13	3
110	но для	1	3
111	с автором	1	3
112	и для	3	3
113	бы мы	3	3
114	это как	1	3
115	ее и	2	3
116	с ним	5	3
117	или не	1	3
118	в каком	8	3
119	от этой	1	2
120	как не	1	2
121	и то	2	2
122	как это	14	2
123	словами и	1	2
124	они ни	1	2
125	действия и	2	2
126	и совершенно	5	2
127	едва ли	2	2
128	каком отношении	1	2
129	те же	2	2
130	со всех	1	2
131	и значение	1	2
132	мы имеем	2	2
133	мы в	3	2
134	истории литературы	1	2
135	и здесь	3	2
136	не остается	1	2
137	и та	2	2
138	с его	2	2
139	но мы	2	2
140	и что	25	2
141	как форма	1	2
142	в чем	1	2
143	жизни если	1	2
144	тем как	1	2
145	что поэт	2	2
146	которые мы	1	2
147	в его	10	2
148	что и	3	2
149	и содержания	1	2
150	относится к	1	2
151	нашего сознания	1	2
152	независимо от	1	2
153	в своем	7	2
154	дело с	3	2
155	самый выбор	1	2
156	в какой	5	2
157	и потому	2	2
158	и так	4	2
159	бы не	2	2
160	с одной	3	2
161	уже в	2	2
162	тому же	3	2
163	и те	1	2
164	слово это	1	2
165	в душе	1	2
166	он не	11	2
167	не так	1	2
168	содержания и	1	2
169	в корне	1	2
170	допустим что	2	2
171	или события	1	2
172	мы можем	5	2
173	но что	1	2
174	из него	1	2
175	но все	2	2
176	в особенности	1	2
177	на все	2	2
178	на примере	2	2
179	это не	6	2
180	мы никогда	3	2
181	и дает	2	2
182	себя и	1	2
183	одной стороны	3	2
184	можем сказать	1	2
185	формы конечно	1	2
186	до конца	7	2
187	другой стороны	2	2
188	была бы	2	2
189	там где	1	2
190	смысл и	4	2
191	связь с	5	2
192	нет ничего	1	2
193	ни на	2	2
194	вместе с	8	2
