N	3gram	Vinokur_St_1	Problema
1	по отношению к	3	19
2	и т п	9	13
3	не может быть	5	11
4	с точки зрения	8	6
5	в данном случае	6	4
6	с другой стороны	6	4
7	на самом деле	6	3
8	в самом деле	5	3
9	в этом смысле	1	3
10	не выходя за	1	3
11	в иных случаях	2	3
12	бы то ни	1	3
13	можно было бы	8	3
14	в применении к	3	3
15	с одной стороны	2	3
16	то же время	4	3
17	в том что	17	3
18	в то же	4	3
19	тем не менее	2	3
20	в области изучения	2	2
21	вопроса о значении	1	2
22	в том же	1	2
23	но и в	2	2
24	ни в чем	1	2
25	и не может	1	2
26	в лучшем случае	1	2
27	и в области	4	2
28	то или иное	3	2
29	и в то	1	2
30	другой же стороны	1	2
31	не только в	4	2
32	мы имеем дело	1	2
33	выходя за пределы	1	2
34	того или иного	4	2
35	так и в	4	2
36	той или иной	1	2
37	для того чтобы	10	2
38	с другой же	1	2
39	в этом отношении	7	2
40	как материала для	1	1
41	именно в том	1	1
42	а между тем	1	1
43	в той области	1	1
44	и историки литературы	1	1
45	как бы они	1	1
46	во всей полноте	1	1
47	а вовсе не	1	1
48	так например в	4	1
49	бы они ни	1	1
50	далеко не все	1	1
51	не говоря уже	1	1
52	в настоящее время	1	1
53	также и в	1	1
54	вот несколько примеров	2	1
55	в том и	1	1
56	о том как	1	1
57	во что бы	1	1
58	отрицательное отношение к	1	1
59	до сих пор	7	1
60	говоря уже о	1	1
61	и в других	1	1
62	хотя бы и	2	1
63	в таких случаях	1	1
64	сами по себе	1	1
65	прямого отношения к	1	1
66	на то что	4	1
67	может быть и	2	1
68	а иногда и	2	1
69	не приходится уже	1	1
70	и не в	1	1
71	в равной мере	2	1
72	что бы то	1	1
73	показать что и	1	1
74	со всеми его	1	1
75	то время как	1	1
76	если бы мы	2	1
77	но в то	2	1
78	смысле этого слова	1	1
79	а также и	2	1
80	то ни стало	1	1
81	и в этом	3	1
82	имеем дело с	2	1
83	не в том	2	1
84	если бы все	1	1
85	в том смысле	2	1
86	в глазах самого	1	1
87	тем или иным	3	1
88	в том как	3	1
89	и в том	2	1
90	одной стороны в	1	1
91	в свое время	2	1
92	в своем роде	1	1
93	а в том	1	1
94	в узком смысле	1	1
95	художественного произведения в	1	1
96	таким образом в	1	1
97	то что в	2	1
98	том смысле что	1	1
99	в то время	2	1
100	не могла бы	1	1
101	и т д	21	1
102	в обсуждение этого	1	1
103	бы все эти	2	1
104	хотя бы в	1	1
105	и в самом	3	1
106	может быть признана	1	1
107	вопрос о том	2	1
108	должна опираться на	1	1
109	языка может быть	1	1
110	они ни были	1	1
111	в его работе	1	1
112	ни один культурный	1	1
113	она не могла	1	1
114	которой можно было	1	1
115	к тому что	1	1
116	в рассмотрение которых	1	1
117	быть не может	1	1
118	что у нас	1	1
119	как и в	2	1
120	на этот вопрос	1	1
121	самой формой своего	1	1
122	дело в том	4	1
123	отметить что в	1	1
124	то что называют	1	1
125	здесь совершенно не	2	1
