N	2gram	Losev_Vlad_2	IolandNe
1	и с	14	3
2	и не	18	2
3	в этом	20	2
4	оба они	1	2
5	он не	4	2
6	что в	12	2
7	ничего не	2	2
8	бы что	1	2
9	же это	2	1
10	себя в	2	1
11	все это	5	1
12	нисколько не	2	1
13	и др	1	1
14	а для	1	1
15	и в	30	1
16	и о	4	1
17	я не	4	1
18	то и	1	1
19	них не	1	1
20	с а	4	1
21	а по	1	1
22	то она	1	1
23	более чем	1	1
24	того же	5	1
25	было не	1	1
26	и та	1	1
27	это было	4	1
28	а в	11	1
29	вплоть до	3	1
30	хотя его	1	1
31	того что	5	1
32	о жизни	1	1
33	и без	1	1
34	следовательно в	1	1
35	после смерти	4	1
36	как о	1	1
37	пушкина и	1	1
38	на котором	2	1
39	и еще	1	1
40	в первую	1	1
41	не так	1	1
42	нее и	1	1
43	для него	9	1
44	а также	10	1
45	нам в	1	1
46	что для	2	1
47	говорить о	1	1
48	и творчества	1	1
49	и сам	2	1
50	слишком много	1	1
51	есть только	1	1
52	неудивительно что	1	1
53	так и	5	1
54	бы его	2	1
55	того чтобы	2	1
56	за границей	1	1
57	первую очередь	1	1
58	во многом	1	1
59	последний не	2	1
60	никогда не	7	1
61	его личности	1	1
62	жизни и	6	1
63	и очень	2	1
64	тех же	1	1
65	тем что	1	1
66	в целом	4	1
67	по поводу	4	1
68	в них	3	1
69	все эти	5	1
70	но когда	1	1
71	по существу	3	1
72	что роман	1	1
73	и и	1	1
74	от нее	1	1
75	со всеми	1	1
76	если бы	1	1
77	для того	2	1
78	не слишком	1	1
