N	3gram	Vinokur_St_3	Mirosoze
1	не может быть	5	17
2	вместе с тем	1	5
3	а не в	1	4
4	но и в	2	4
5	потому что в	1	3
6	с тем что	3	3
7	и в самом	1	3
8	и в конце	1	2
9	не может не	1	2
10	прежде всего в	3	2
11	он не может	1	2
12	до сих пор	2	2
13	потому не мог	1	2
14	смысле в каком	1	2
15	никогда не был	1	2
16	к нему все	1	2
17	в том смысле	2	2
18	то время как	4	2
19	не только в	3	2
20	в конце концов	3	2
21	на этом пути	1	2
22	в то время	4	2
23	тем что он	2	2
24	я хотел бы	1	2
25	для того чтобы	1	2
26	потому что он	2	1
27	с этим связано	1	1
28	а иногда и	1	1
29	начале xix века	3	1
30	русской истории он	1	1
31	в русской поэзии	2	1
32	в самом деле	1	1
33	в начале xix	3	1
34	может быть назван	2	1
35	тесно связано и	1	1
36	исторического процесса в	1	1
37	к прошлому а	1	1
38	ко всему этому	1	1
39	в наше время	1	1
40	и т п	6	1
41	но это не	3	1
42	не знает что	1	1
43	очень интересно что	1	1
44	к западной европе	1	1
45	том смысле в	1	1
46	интересно что в	1	1
47	во всех этих	2	1
48	смысле что он	1	1
49	не в том	3	1
50	все более и	2	1
51	во всяком случае	4	1
52	тем что в	2	1
53	между тем как	2	1
54	на протяжении всей	1	1
55	но в конце	1	1
56	что он был	2	1
57	что совершается в	1	1
58	от того что	1	1
59	том смысле что	1	1
60	на протяжении всего	1	1
61	мы имеем в	2	1
62	о том что	4	1
63	более и более	2	1
64	можно было бы	1	1
65	это очень существенно	1	1
66	в том что	11	1
67	была для него	1	1
68	может быть он	1	1
69	ответ на это	1	1
