N	2gram	Tiupa_Teor_1	Marksizm
1	может быть	17	28
2	и в	18	19
3	как бы	5	19
4	и не	13	19
5	не может	4	18
6	точки зрения	9	17
7	то же	7	16
8	и его	8	16
9	как мы	1	15
10	в этом	8	15
11	в сущности	1	14
12	таким образом	3	14
13	лишь в	6	14
14	не только	16	13
15	с точки	3	13
16	связи с	1	13
17	речи и	2	13
18	высказывание как	1	12
19	в нем	4	11
20	высказывания и	1	11
21	если бы	3	11
22	вовсе не	3	11
23	не в	7	10
24	так и	10	10
25	и т.п	4	10
26	но и	9	10
27	в пределах	5	10
28	том что	9	10
29	при этом	12	9
30	как и	4	9
31	для него	2	9
32	в основе	3	9
33	а не	9	9
34	на почве	4	9
35	с его	5	8
36	по отношению	4	8
37	высказывание в	1	8
38	в то	6	8
39	же время	5	8
40	только в	6	8
41	слова в	2	8
42	отнюдь не	3	8
43	не является	4	8
44	отношению к	4	8
45	внутренней речи	13	7
46	его в	2	7
47	высказывания как	1	7
48	и более	1	7
49	высказывания в	3	7
50	никогда не	4	7
51	в том	16	7
52	прежде всего	2	7
53	в связи	1	7
54	и для	2	7
55	но в	9	7
56	во всех	1	6
57	и как	2	6
58	в самом	4	6
59	если мы	2	6
60	слова и	1	6
61	ни в	2	6
62	того чтобы	1	6
63	к тому	2	6
64	для того	1	6
65	же самое	1	6
66	быть и	2	6
67	между тем	5	6
68	более того	1	6
69	с помощью	1	6
70	– не	4	6
71	языка –	1	6
72	ни было	1	6
73	в свою	3	6
74	того же	3	5
75	к другому	1	5
76	и на	1	5
77	является не	1	5
78	то ни	1	5
79	в данном	8	5
80	в их	2	5
81	свою очередь	2	5
82	– и	2	5
83	высказывания –	1	5
84	и здесь	2	5
85	к нему	1	5
86	в его	6	5
87	в форме	2	5
88	в большинстве	2	5
89	большинстве случаев	1	5
90	отношении к	2	5
91	или иной	4	5
92	целого высказывания	1	5
93	в той	2	5
94	этого слова	3	5
95	в контексте	3	5
96	и того	3	5
97	тем более	1	5
98	совершенно не	1	5
99	– как	2	5
