N	4gram	Propp_Morf_1	Istorich
1	начинается с того что	2	2
2	в тех случаях когда	2	2
3	талисманы и т д	1	1
4	не ешь моего мяса	1	1
5	и т д но	4	1
6	о рыбаке и рыбке	1	1
7	одно и то же	1	1
8	которые не могут быть	1	1
9	е мы опять имеем	1	1
10	и т д в	2	1
11	т д с другой	1	1
12	при помощи волшебного средства	1	1
13	не может входить в	1	1
14	для исследователя но не	1	1
15	бросают некоторый свет на	1	1
16	то же происходит с	1	1
17	а в другом случае	1	1
18	в иных случаях герой	1	1
19	время я тебе пригожусь	1	1
20	и т д здесь	1	1
21	же в этих случаях	1	1
22	в то время как	3	1
23	как мы увидим ниже	3	1
24	здесь не может быть	1	1
25	одна из них не	1	1
26	и т д с	1	1
27	д с другой стороны	1	1
28	даже в тех случаях	1	1
29	приводят к тому что	1	1
30	себя в распоряжение героя	1	1
31	т е мы опять	1	1
32	к тому что в	1	1
