N	2gram	Kanaev_Sov_1	Formalny
1	и в	7	24
2	в его	2	23
3	прежде всего	5	22
4	и не	6	20
5	и пр	2	17
6	не может	17	16
7	точки зрения	12	16
8	в этом	7	15
9	в нем	3	14
10	может быть	12	14
11	таким образом	11	13
12	с точки	5	13
13	не менее	2	11
14	должно быть	1	11
15	как и	6	11
16	в своем	1	11
17	и их	1	10
18	вовсе не	1	10
19	настоящее время	2	10
20	то же	3	10
21	и его	1	10
22	в настоящее	2	10
23	а не	3	10
24	в ней	1	10
25	в то	1	9
26	и потому	3	9
27	в процессе	1	9
28	все это	3	9
29	же время	1	8
30	не в	3	8
31	именно в	1	8
32	в свою	2	8
33	на самом	1	7
34	с ее	1	7
35	жизни и	4	7
36	не только	4	7
37	и от	1	7
38	все эти	5	6
39	еще не	3	6
40	и все	3	6
41	сих пор	1	6
42	до сих	1	6
43	а в	4	6
44	в том	4	6
45	в живом	2	6
46	в целом	4	6
47	отнюдь не	3	6
48	свою очередь	2	6
49	она не	1	6
50	в этой	3	6
51	самом деле	2	6
52	было бы	3	6
53	как бы	4	6
54	при этом	3	5
55	только на	1	5
56	во всех	1	5
57	по себе	1	5
58	как мы	2	5
59	у нас	3	5
60	и свою	1	5
61	в самом	2	5
62	должен быть	1	5
63	с другой	1	5
64	но в	3	5
65	и до	1	5
66	в которой	2	4
67	во всяком	2	4
68	в связи	1	4
69	так же	1	4
70	отношению к	1	4
71	не из	1	4
72	стороны и	1	4
73	что в	2	4
74	независимо от	1	4
75	по отношению	1	4
76	и к	3	4
77	метод в	1	4
78	при таком	3	4
79	никогда не	1	4
80	всяком случае	2	4
81	и может	1	4
82	только и	1	4
83	одной стороны	1	4
84	с одной	2	4
85	в мире	1	4
86	быть и	2	4
87	конечно не	1	4
88	если бы	1	4
89	с его	1	4
90	значение в	2	3
91	этого направления	1	3
92	все же	3	3
93	и наконец	5	3
94	аналогии с	1	3
95	бы то	1	3
96	отличается от	3	3
97	же в	1	3
98	связи с	1	3
99	не было	1	3
100	в большинстве	1	3
101	это последнее	1	3
102	то ни	2	3
103	на язык	1	3
104	со всеми	2	3
105	с помощью	4	3
106	но не	1	3
107	или же	2	3
108	между ними	1	3
109	и даже	2	3
110	они не	1	3
111	направление в	1	3
112	это и	1	3
113	зависимости от	4	3
114	один из	1	3
115	ясно что	3	3
116	в каждом	8	3
117	по аналогии	1	3
118	так сказать	2	3
119	представлять себе	2	3
120	мы не	9	3
121	его в	1	3
122	в области	3	3
123	он должен	2	3
124	совершенно недопустимо	1	3
125	в себе	3	3
126	дело идет	1	3
127	он не	1	3
128	но это	1	3
129	но для	1	3
130	ни одного	1	2
131	почти не	1	2
132	и чисто	1	2
133	приводит к	2	2
134	вопрос о	4	2
135	если же	2	2
136	в новое	1	2
137	на их	2	2
138	и развития	1	2
139	каждый элемент	1	2
140	его и	1	2
141	к которому	1	2
142	образом на	1	2
143	не дает	2	2
144	и те	1	2
145	же они	1	2
146	в одном	3	2
147	в нашем	2	2
148	не можем	7	2
149	но все	2	2
150	жизни в	1	2
151	одной из	1	2
152	вместе с	4	2
153	и должно	1	2
154	каждого элемента	4	2
155	здесь в	1	2
156	остановиться на	1	2
157	нет и	4	2
158	сами по	1	2
159	это не	4	2
160	мы видели	4	2
161	но эта	1	2
162	мысли в	1	2
163	более и	1	2
164	жизни не	1	2
165	какую бы	1	2
166	идет о	1	2
167	в системе	3	2
168	почти совершенно	1	2
169	все время	1	2
170	как их	1	2
171	каждого из	2	2
172	что такое	2	2
173	научной мысли	1	2
174	с этим	2	2
175	ни в	1	2
176	их на	1	2
177	тот или	2	2
178	ничего не	6	2
179	только в	1	2
180	но ведь	1	2
181	функций в	1	2
182	уже не	2	2
183	и если	1	2
184	только не	1	2
185	одна из	3	2
186	в зависимости	4	2
187	ни было	1	2
188	чтобы он	1	2
189	он в	3	2
190	же как	1	2
191	на его	2	2
192	во всей	1	2
193	и что	2	2
194	в результате	6	2
195	в науке	2	2
196	в действительности	1	2
197	входящих в	1	2
198	в своих	1	2
199	указать на	1	2
200	не приходится	1	2
201	быть поняты	1	2
202	по существу	1	2
203	таким же	1	2
204	чем же	1	2
205	все более	1	2
206	раз и	1	2
207	его с	1	2
208	точка зрения	1	2
209	если мы	4	2
210	и особенно	1	2
211	с ним	1	2
212	в эту	1	2
213	и это	1	2
214	в предыдущей	1	2
215	еще в	1	2
216	жизни но	1	2
217	и более	1	2
218	единства в	1	1
219	явлений как	1	1
220	что каждый	1	1
221	смысле можно	1	1
222	период развития	2	1
223	какой бы	1	1
224	не знает	1	1
225	том что	1	1
226	и из	1	1
227	для нас	3	1
228	все те	2	1
229	данном случае	1	1
230	в обоих	1	1
231	говорить о	2	1
232	углом зрения	1	1
233	бы к	1	1
234	это то	1	1
235	а это	1	1
236	нет в	1	1
237	но конечно	1	1
238	себе в	1	1
239	дело если	1	1
240	уже знаем	1	1
241	она дает	1	1
242	в этот	1	1
243	в общий	1	1
244	для них	1	1
245	это совершенно	1	1
246	разобранная нами	1	1
247	и действительно	1	1
248	выработанные в	1	1
249	явлений не	1	1
250	просто не	1	1
251	кроме того	1	1
252	на ее	1	1
253	остается еще	1	1
254	с понятием	1	1
255	в виде	2	1
256	к нему	1	1
257	от различных	1	1
258	предыдущей главе	1	1
259	науки в	1	1
260	и отчетливо	1	1
261	увидим что	1	1
262	и во	2	1
263	быть только	1	1
264	самом конце	1	1
265	и гармонии	1	1
266	поэтому что	1	1
267	там где	1	1
268	в условиях	5	1
269	его развития	3	1
270	на котором	2	1
271	действительно если	1	1
272	если в	1	1
273	ее отделах	1	1
274	это конечно	1	1
275	и конкретную	1	1
276	ничего общего	1	1
277	диалектического материализма	1	1
278	это значит	1	1
279	как его	1	1
280	перевести его	1	1
281	его между	1	1
282	совершенно независимо	1	1
283	в следующих	1	1
284	и историей	1	1
285	как целого	1	1
286	метода не	1	1
287	осуществляется в	1	1
288	этот процесс	1	1
