N	3gram	Losev_Vlad_1	Tragedij
1	то же время	4	5
2	в то же	4	5
3	так и в	1	3
4	и в дальнейшем	1	2
5	и в частности	2	2
6	но в то	1	2
7	в году в	2	2
8	о том что	7	2
9	в том что	7	2
10	времени в году	1	2
11	с первого же	2	2
12	судя по письмам	1	1
13	по поводу своей	1	1
14	в известной степени	1	1
15	он сам говорит	1	1
16	это было в	1	1
17	том что он	2	1
18	и не может	1	1
19	в этой борьбе	1	1
20	что он не	3	1
21	как это часто	1	1
22	и то что	4	1
23	за то что	1	1
24	к м м	1	1
25	своего отца и	1	1
26	но у него	1	1
27	и все ей	1	1
28	xix веке в	1	1
29	и потому как	1	1
30	во всяком случае	2	1
31	в конце концов	3	1
32	смысле этого слова	1	1
33	в году и	2	1
34	и в этом	1	1
35	тем не менее	2	1
36	и в быту	1	1
37	в связи с	1	1
38	то что он	5	1
39	всем xix веке	1	1
40	не может быть	3	1
41	свои длинные и	1	1
42	по мнению н	1	1
43	к величайшему моему	1	1
44	и любви ко	1	1
45	и вместе с	1	1
46	это и есть	1	1
47	еще в году	1	1
48	же время с	1	1
49	у него есть	1	1
50	первого же появления	1	1
51	не только не	1	1
52	мысль о том	1	1
53	в самом деле	1	1
54	в году по	1	1
55	к тому что	1	1
56	сам говорит что	1	1
57	во всем его	1	1
