N	3gram	Berdyaev_O_1	TeoriaLi
1	в том что	1	6
2	так и не	1	5
3	в этом мире	2	2
4	в самом начале	1	2
5	не может быть	2	2
6	как и в	1	2
7	том что в	1	1
8	а в его	1	1
9	в виду не	1	1
10	это было бы	2	1
11	ивана карамазова в	1	1
12	может быть назван	1	1
13	и состоит чтобы	1	1
14	не было и	1	1
15	в иных случаях	1	1
16	отношение человека к	1	1
17	он ни был	1	1
18	в том случае	1	1
19	том случае если	1	1
20	и не быть	1	1
21	не могут быть	2	1
22	так и против	1	1
23	как бы в	1	1
24	ни к каким	1	1
25	о том что	1	1
26	в том-то и	1	1
27	и прежде всего	1	1
28	для того чтобы	3	1
29	к нему как	1	1
30	добро и зло	1	1
31	он не только	1	1
