N	2gram	Nazirov_Vr_1	RusskieA
1	и в	8	36
2	не только	9	22
3	том что	3	19
4	что в	7	19
5	а н	2	18
6	в том	3	17
7	т е	3	17
8	но и	7	16
9	во время	2	14
10	п в	2	13
11	в этом	8	12
12	в этот	3	10
13	это не	4	10
14	как и	6	10
15	вместе с	2	10
16	потому что	1	10
17	об этом	5	9
18	а в	2	9
19	о том	4	8
20	один из	1	8
21	из них	2	8
22	может быть	4	8
23	что они	1	7
24	так и	1	7
25	между тем	5	7
26	полагает что	1	6
27	таким образом	2	6
28	при этом	4	6
29	не имеет	1	6
30	уже не	2	6
31	в них	2	6
32	и не	5	6
33	все это	4	6
34	для нас	4	6
35	то что	7	6
36	как в	1	5
37	все же	6	5
38	во многих	1	5
39	того как	1	5
40	там же	2	5
41	и у	3	5
42	из сибири	1	5
43	как бы	4	5
44	не совсем	1	4
45	еще не	2	4
46	во всех	1	4
47	в эти	2	4
48	на стол	1	4
49	после этого	2	4
50	в россии	5	4
51	в их	1	4
52	что этот	1	4
53	вплоть до	1	4
54	одна из	2	4
55	связи с	3	4
56	его с	2	4
57	м е	1	4
58	так в	2	4
59	еще в	1	4
60	и что	8	4
61	и их	1	4
62	тем что	3	4
63	а с	2	4
64	и а	2	4
65	того что	1	4
66	но это	2	4
67	в связи	3	4
68	не может	2	4
69	к этому	3	4
70	их и	1	3
71	представление о	1	3
72	как правило	1	3
73	своего рода	1	3
74	если в	1	3
75	в своем	3	3
76	что это	1	3
77	в основном	1	3
78	то же	5	3
79	совпадают с	1	3
80	далеко не	3	3
81	несмотря на	4	3
82	в москве	1	3
83	в этих	1	3
84	точки зрения	2	3
85	с точки	2	3
86	тем не	1	3
87	но они	1	3
88	их в	2	3
89	не менее	2	3
90	ничего не	1	3
91	не с	1	3
92	начиная с	2	3
93	а также	2	3
94	от них	1	3
95	также в	1	3
96	христа и	1	3
97	в качестве	1	3
98	в одном	1	3
99	к ним	2	3
100	и из	1	3
101	на этот	1	3
102	о чем	2	3
103	в честь	2	3
104	так же	4	3
105	в это	2	3
106	не будем	1	3
107	в свою	2	3
108	как известно	1	2
109	можно говорить	1	2
110	е годы	1	2
111	еще до	1	2
112	в числе	1	2
113	это время	1	2
114	в ней	4	2
115	он был	3	2
116	но не	1	2
117	тогда как	2	2
118	не просто	1	2
119	в е	1	2
120	отнюдь не	2	2
121	как по	1	2
122	независимо от	1	2
123	с этим	1	2
124	хотя и	1	2
125	и как	3	2
126	состояло в	1	2
127	но в	6	2
128	в целом	1	2
129	и и	1	2
130	как он	1	2
131	в нем	6	2
132	всех этих	1	2
133	чем у	1	2
134	в силу	1	2
135	в окно	1	2
136	в году	18	2
137	же не	2	2
138	и с	6	2
139	года на	1	2
140	в жизни	1	2
141	такой же	1	2
142	этому же	1	2
143	далее в	1	2
144	том же	2	2
