N	2gram	Tiupa_Lite_3	DiskursI
1	в качестве	5	34
2	не только	14	28
3	в том	12	23
4	а не	12	22
5	то есть	5	20
6	тогда как	17	19
7	том что	8	19
8	представляет собой	2	17
9	может быть	12	17
10	как и	5	16
11	и в	16	16
12	в этом	14	15
13	еще не	6	14
14	коммуникативного события	5	14
15	но и	14	14
16	при этом	15	13
17	речевых жанров	1	12
18	и т.п	6	12
19	речевого общения	1	12
20	по своей	3	11
21	но не	4	11
22	прежде всего	3	11
23	и не	22	11
24	как в	5	10
25	далеко не	2	10
26	с другой	6	10
27	по отношению	4	9
28	в нем	2	9
29	не может	8	9
30	состоит в	6	9
31	с одной	4	9
32	одной стороны	4	9
33	в частности	11	9
34	отношению к	4	9
35	отнюдь не	3	8
36	но в	3	8
37	своего рода	10	8
38	о том	6	8
39	так и	9	8
40	а также	4	8
41	не было	1	7
42	в себе	6	7
43	то же	9	7
44	не в	10	7
45	в основе	5	7
46	со стороны	7	7
47	в его	6	7
48	только в	7	7
49	в своем	1	6
50	и как	3	6
51	ни к	3	6
52	и на	2	5
53	во всех	2	5
54	отличие от	5	5
55	в рамках	4	5
56	природе своей	1	5
57	тому же	5	5
58	в силу	1	5
59	художественного дискурса	1	5
60	в котором	1	5
61	в их	1	5
62	в отличие	5	5
63	в процессе	1	5
64	коммуникативное событие	4	5
65	или иной	2	5
66	можно сказать	2	5
67	а с	1	5
68	в данном	4	5
69	как бы	8	5
70	личного авторства	1	5
71	к тому	6	5
72	а в	5	5
73	то что	12	5
74	в своей	7	5
75	и о	1	4
76	с его	6	4
77	в сторону	3	4
78	отношение к	2	4
79	в истории	1	4
80	и к	3	4
81	уже не	3	4
82	в целом	5	4
83	определена как	1	4
84	на его	3	4
85	не как	2	4
86	лишь в	5	4
87	в них	1	4
88	потому что	3	4
89	для себя	2	4
90	по сути	1	4
91	писал бахтин	1	4
92	и т.д	1	4
93	внимание на	2	4
94	же время	7	4
95	между тем	3	4
96	во втором	2	4
97	как правило	1	4
98	одной из	1	4
99	что он	5	4
100	для него	2	4
101	по своим	1	4
102	что не	2	4
103	связи с	2	4
104	далеко еще	1	4
105	такого рода	10	4
106	по рассуждению	3	4
107	что в	2	4
108	того же	2	3
109	и потому	2	3
110	в первом	2	3
111	в каждой	2	3
112	столь же	1	3
113	коммуникативная стратегия	1	3
114	той или	2	3
115	с этим	1	3
116	перед нами	1	3
117	в самом	3	3
118	вследствие этого	2	3
119	это не	5	3
120	по мысли	6	3
121	ведет к	1	3
122	и того	1	3
123	точки зрения	7	3
124	в ходе	1	3
125	в своих	2	3
126	однако в	4	3
127	бы быть	1	3
128	по себе	2	3
129	в то	9	3
130	литературной традиции	2	3
131	он мог	1	3
132	к той	1	3
133	ли не	1	3
134	в ситуации	2	3
135	свою очередь	1	3
136	но при	1	3
137	в ее	5	3
138	времени и	1	3
139	не с	2	3
140	еще в	3	3
141	и даже	2	3
142	по слову	1	3
143	что и	2	3
144	дискурс в	1	3
145	хотя бы	1	3
146	являет собой	1	3
147	из них	4	3
148	автор и	1	3
149	тем что	2	3
150	именно в	5	3
151	очевидным образом	1	3
152	при всей	1	3
153	мира в	3	3
154	в акте	1	3
155	тому как	3	3
156	того что	9	3
157	один из	2	3
158	все же	2	3
159	литературного произведения	1	3
160	эстетической деятельности	2	3
161	быть определена	1	3
162	в свою	2	3
163	на смену	3	3
164	сказать что	1	3
165	другой стороны	2	3
166	и.п смирнова	1	3
167	в действительности	1	3
168	дискурс не	1	3
169	отношения к	3	2
170	одним из	4	2
171	например в	3	2
172	е годы	9	2
173	и есть	1	2
174	едва ли	3	2
175	в году	5	2
176	как способ	1	2
177	для своего	2	2
178	совпадает с	1	2
179	на себя	2	2
180	в виду	1	2
181	в е	8	2
182	сказать и	2	2
183	за пределы	1	2
