N	3gram	Kanaev_Sov_1	Narrotol
1	в том что	1	8
2	с одной стороны	1	7
3	по отношению к	1	6
4	в отличие от	2	5
5	не может быть	4	5
6	в данном случае	1	4
7	той или иной	1	4
8	но все же	1	4
9	бы то ни	1	3
10	то ни было	1	3
11	тем не менее	2	3
12	то же время	1	3
13	в свою очередь	2	3
14	в то же	1	3
15	именно в том	1	2
16	что иное как	1	2
17	не может не	3	2
18	с точки зрения	5	2
19	сами по себе	1	2
20	можно было бы	1	2
21	так же как	1	2
22	не что иное	1	2
23	в известном смысле	1	2
24	в связи с	1	2
25	в конечном счете	1	2
26	на другой день	1	2
27	какой бы то	1	1
28	дело в том	1	1
29	на самом деле	1	1
30	в самом деле	1	1
31	в этом смысле	1	1
32	с совершенно иными	1	1
33	то же самое	2	1
34	по крайней мере	1	1
35	до сих пор	1	1
36	не подлежит сомнению	2	1
37	тот или иной	1	1
38	и в то	1	1
39	в такого рода	1	1
40	по аналогии с	1	1
41	до наших дней	1	1
42	может быть только	1	1
43	в западной европе	1	1
44	может быть и	2	1
45	а не только	1	1
46	на две половины	1	1
47	и тот же	1	1
48	точки зрения и	1	1
49	и не было	1	1
50	он уже не	1	1
51	в свое время	1	1
52	один и тот	1	1
53	есть не что	1	1
54	но уже в	1	1
55	и прежде всего	1	1
56	из этих двух	1	1
57	к нему иначе	1	1
58	друг с другом	2	1
59	и у нас	1	1
