N	3gram	Bakhtin_Pr_5	VelikijI
1	за то что	1	3
2	к тому что	1	3
3	а между тем	3	2
4	то что я	2	2
5	том что он	1	2
6	это еще не	1	2
7	в нем нет	1	2
8	не в силах	2	2
9	в том что	2	2
10	но все же	2	1
11	в последнем же	1	1
12	и во всяком	1	1
13	если б и	1	1
14	да и то	1	1
15	то что ты	1	1
16	бы то ни	3	1
17	по крайней мере	1	1
18	вместе с тем	1	1
19	что он так	1	1
20	реакция на нее	1	1
21	того что он	2	1
22	в конце концов	3	1
23	и в этом	2	1
24	что я не	1	1
25	уже и не	1	1
26	с другой стороны	3	1
27	как бы в	1	1
28	раз и навсегда	1	1
29	всех людей он	1	1
30	так и в	2	1
31	и вместе с	1	1
32	и все это	2	1
33	и сам это	1	1
34	как и в	1	1
