N	2gram	Tiupa_Teor_1	Vladivir
1	и в	18	30
2	в году	1	24
3	в этом	8	20
4	то что	3	20
5	у него	1	19
6	и не	13	18
7	в том	16	18
8	что он	1	13
9	в конце	2	13
10	не только	16	12
11	том что	9	12
12	что в	9	12
13	как мы	1	11
14	в его	6	11
15	а в	13	11
16	сказать что	3	11
17	а также	6	10
18	не было	1	10
19	и даже	2	10
20	было бы	1	9
21	не в	7	9
22	в то	6	9
23	не может	4	9
24	для него	2	9
25	потому что	3	9
26	в своем	4	8
27	но в	9	8
28	связи с	1	8
29	но и	9	8
30	в связи	1	8
31	вместе с	2	8
32	то есть	12	7
33	ни в	2	7
34	точки зрения	9	7
35	никогда не	4	7
36	не менее	4	7
37	может быть	17	7
38	а не	9	7
39	как это	8	7
40	также и	1	6
41	хотя и	3	6
42	и к	3	6
43	в себе	9	6
44	об этом	2	6
45	тем не	3	6
46	и его	8	6
47	у нас	2	6
48	то время	1	6
49	только в	6	6
50	а именно	2	6
51	еще и	1	6
52	прежде всего	2	6
53	о чем	1	6
54	того же	3	5
55	и то	2	5
56	и я	1	5
57	то в	2	5
58	все эти	2	5
59	при этом	12	5
60	как и	4	5
61	в своей	6	5
62	по себе	1	5
63	так как	1	5
64	для себя	1	5
65	так и	10	5
66	и что	3	5
67	того что	4	5
68	тот же	1	5
69	так что	1	5
70	как бы	5	5
71	о его	1	5
72	все это	2	5
73	в результате	1	5
74	из этого	1	5
75	то же	7	4
76	той же	1	4
77	я не	2	4
78	и на	1	4
79	что его	1	4
80	с его	5	4
81	совсем не	1	4
82	отношение к	5	4
83	в которой	2	4
84	что это	1	4
85	в целом	3	4
86	в этой	3	4
87	на его	1	4
88	в нем	4	4
89	он не	3	4
90	содержит в	1	4
91	его в	2	4
92	это было	2	4
93	в этих	3	4
94	разного рода	1	4
95	по крайней	1	4
96	и о	4	4
97	здесь не	1	4
98	можно сказать	3	4
99	о том	1	4
100	с которыми	1	4
101	вовсе не	3	4
102	для меня	2	4
103	крайней мере	1	4
104	со стороны	2	4
105	именно в	3	4
106	так же	2	4
107	в это	1	4
108	по поводу	1	4
109	можно говорить	1	3
110	отношения к	2	3
111	и больше	2	3
112	говоря о	3	3
113	и вот	3	3
114	именно к	1	3
115	что можно	3	3
116	во всех	1	3
117	но не	9	3
118	отличие от	6	3
119	как в	5	3
120	и как	2	3
121	более или	2	3
122	так или	4	3
123	из этих	3	3
124	таким образом	3	3
125	те же	1	3
126	должен был	1	3
127	только одно	1	3
128	в них	2	3
129	должно быть	1	3
130	или менее	2	3
131	в отношении	3	3
132	с точки	3	3
133	не столько	1	3
134	в отличие	6	3
135	но он	3	3
136	не могли	1	3
137	том же	1	3
138	а а	5	3
139	к такому	1	3
140	только и	1	3
141	же время	5	3
142	в области	4	3
143	и это	2	3
144	в из	1	3
145	никак не	1	3
146	что и	2	3
147	уже не	4	3
148	я в	16	3
149	здесь мы	1	3
150	или иначе	5	3
151	дело в	2	3
152	наконец в	1	3
153	в данном	8	3
154	по существу	1	3
155	своей жизни	2	3
156	и для	2	3
157	тем более	1	3
158	в свою	3	3
159	точно так	1	3
160	и особенно	2	3
161	я и	2	2
162	также что	1	2
163	и до	1	2
164	из его	1	2
165	к нашим	1	2
166	еще на	1	2
167	жизни по	1	2
168	на первом	1	2
169	единство и	1	2
170	не вполне	2	2
171	как я	1	2
172	есть для	1	2
173	по своему	2	2
174	как к	2	2
175	первых двух	1	2
176	это тоже	2	2
177	к числу	1	2
178	в самом	4	2
179	еще один	1	2
180	во многих	1	2
181	на то	1	2
182	не могла	1	2
183	в статье	1	2
184	и сам	1	2
185	на земле	1	2
186	и по	2	2
187	на этом	1	2
188	но дело	1	2
189	о в	2	2
190	заключается в	2	2
191	отчет в	1	2
192	это не	2	2
193	начала и	1	2
194	с тем	1	2
195	на первый	1	2
196	в их	2	2
197	говорил о	1	2
198	их в	3	2
199	однако в	7	2
200	даже в	3	2
201	то с	1	2
202	с которой	1	2
203	она не	1	2
204	некоторого рода	1	2
205	на котором	1	2
206	и притом	2	2
207	того чтобы	1	2
208	того и	1	2
209	на меня	3	2
210	казалось бы	2	2
211	в русском	1	2
212	как будто	2	2
213	которое в	1	2
214	в совокупности	1	2
215	к тому	2	2
216	но по	1	2
217	в виду	5	2
218	свою очередь	2	2
219	меня в	1	2
220	данном случае	5	2
221	со своей	3	2
222	после того	1	2
223	в чем	1	2
224	в сущности	1	2
225	к нему	1	2
226	также еще	1	2
227	и жизни	1	2
228	себя в	6	2
229	ее на	1	2
230	но из	1	2
231	для того	1	2
232	видно из	1	2
233	как у	1	2
234	во второй	7	2
235	что не	1	2
236	что для	1	2
237	не на	2	2
238	с которым	1	2
239	в бытии	1	2
240	существующее в	2	2
241	если не	1	2
242	нет никаких	1	2
243	в частности	16	2
244	к его	2	2
245	и потому	2	2
246	в той	2	2
247	такого рода	8	2
248	взятое в	1	2
249	на руках	1	2
250	с бытием	1	2
251	можно было	1	2
252	в более	1	2
253	в стихотворении	4	2
254	и от	1	2
255	в двух	1	2
256	собственно говоря	1	2
257	жизни в	2	2
258	о своем	2	2
259	с ней	1	2
260	в сравнении	1	2
261	можно назвать	1	2
262	в своих	1	2
263	не прямо	1	1
264	одним из	2	1
265	например в	1	1
266	и горячо	1	1
267	и др	1	1
268	мере в	1	1
269	между двумя	3	1
270	конечно с	1	1
271	не имело	1	1
272	по преимуществу	4	1
273	действительности и	1	1
274	есть не	1	1
275	из своих	1	1
276	этом не	1	1
277	говорить о	3	1
278	но она	2	1
279	что иное	1	1
280	требует от	1	1
281	в полной	1	1
282	жизни как	4	1
283	но чтобы	2	1
284	имеет дело	1	1
285	как впрочем	1	1
286	о судьбе	1	1
287	ним и	1	1
288	думаю что	1	1
289	освобождения от	1	1
290	иное как	1	1
291	бы то	1	1
292	я никогда	1	1
293	за него	1	1
294	и л	1	1
295	но как	1	1
296	а только	3	1
297	не все	3	1
298	если в	2	1
299	а через	1	1
300	не внешним	1	1
301	что они	1	1
302	в произведениях	2	1
303	как говорит	3	1
304	более чем	1	1
305	то субъективное	1	1
306	независимо от	1	1
307	человеческого бытия	2	1
308	о жизни	1	1
309	целый ряд	1	1
310	как уже	1	1
311	по пути	3	1
312	вследствие своей	1	1
313	духа и	1	1
314	самом начале	2	1
315	в противоположность	2	1
316	и свою	1	1
317	что произведение	1	1
318	к чему	2	1
319	майора ковалева	1	1
320	он в	1	1
321	в нашем	4	1
322	фразы в	1	1
323	право на	1	1
324	если он	1	1
325	теми же	1	1
326	оно написано	1	1
327	что она	2	1
328	он ни	1	1
329	однако при	3	1
330	еще а	1	1
331	свою собственную	1	1
332	к одному	1	1
333	жизнью и	1	1
334	возвращаясь из	1	1
335	ему на	1	1
336	его можно	1	1
337	все с	1	1
338	то ни	1	1
339	что все	1	1
340	с позиций	1	1
341	остаться за	1	1
342	лишь в	6	1
343	его личности	1	1
344	в композиции	1	1
345	по мысли	1	1
346	в жизни	2	1
347	к области	2	1
348	основания для	1	1
349	на которую	1	1
350	далеко не	2	1
351	мы имеем	7	1
352	всю жизнь	1	1
353	как видно	1	1
354	этом в	1	1
355	и того	3	1
356	миросозерцания в	1	1
357	с я	1	1
358	но я	1	1
359	с первых	1	1
360	но относится	1	1
361	от своего	2	1
362	в такой	1	1
363	и без	1	1
364	это делает	1	1
365	место в	5	1
366	своего рода	7	1
367	не путем	1	1
368	любовь и	1	1
369	но эта	1	1
370	которые в	1	1
371	но во	1	1
372	имеем не	1	1
373	если бы	3	1
374	своем отношении	1	1
375	случае мы	1	1
376	и достоевского	1	1
377	она по	1	1
378	быть или	1	1
379	к такой	2	1
380	в русской	6	1
381	дело не	2	1
382	и сама	1	1
383	не могло	2	1
384	только не	2	1
385	жизни не	1	1
386	в самой	2	1
387	этих двух	2	1
388	и является	2	1
389	в каком	1	1
390	ему не	1	1
391	перед ним	1	1
392	бытия не	1	1
393	и здесь	2	1
394	очень часто	1	1
395	в порядке	3	1
396	сравнении с	1	1
397	я невольно	1	1
398	заметил что	1	1
399	отказаться от	1	1
400	ясность и	1	1
401	этой своей	1	1
402	своего развития	1	1
403	у себя	1	1
404	не будет	2	1
405	из москвы	1	1
406	в собственном	1	1
407	только то	1	1
408	в себя	3	1
409	в произведении	3	1
410	всей своей	1	1
411	так в	4	1
412	с собой	1	1
413	на нее	1	1
414	стороны не	1	1
415	времени и	2	1
416	здесь как	1	1
417	особенно в	1	1
418	с самим	1	1
419	еще не	4	1
420	руках и	1	1
421	может оставаться	1	1
422	на почту	1	1
423	быть может	1	1
424	собой и	1	1
425	для этого	1	1
426	из других	1	1
427	насколько это	1	1
428	сводится к	5	1
429	на их	1	1
430	тех кто	1	1
431	на вопрос	1	1
432	не содержит	1	1
433	и который	2	1
434	до известной	2	1
435	а напротив	2	1
436	жизни он	1	1
437	внутренним порядком	1	1
438	как внутреннее	1	1
439	во втором	3	1
440	также в	1	1
441	о своих	1	1
442	говорит в	2	1
443	– то	1	1
444	в литературе	2	1
445	и е	1	1
446	но с	1	1
447	дело с	1	1
448	что даже	1	1
449	в полусне	1	1
450	в какой	2	1
451	его труда	1	1
452	до нас	1	1
453	и ее	3	1
454	и тем	3	1
455	по этому	1	1
456	в качестве	24	1
457	человека с	2	1
458	для всех	1	1
459	оказывается в	3	1
460	с нею	1	1
461	если мы	2	1
462	только на	1	1
463	ничего нельзя	1	1
464	человеческого духа	1	1
465	слова не	1	1
466	или даже	4	1
467	и внешнее	1	1
468	в душе	8	1
469	из них	1	1
470	и их	1	1
471	никто не	2	1
472	в одном	2	1
473	в прошлом	1	1
474	с этими	1	1
475	к ним	1	1
476	с моей	1	1
477	как раз	2	1
478	тем что	1	1
479	себе отчет	1	1
480	рядом с	1	1
481	чему не	1	1
482	первый том	1	1
483	в подобном	1	1
484	на ее	1	1
485	тот кто	2	1
486	было и	1	1
487	на которые	1	1
488	больше и	1	1
489	к более	1	1
490	смысла и	1	1
491	а на	3	1
492	человеческой жизни	1	1
493	я из	1	1
494	понятие о	2	1
495	что из	1	1
496	молод и	1	1
497	впечатлений в	1	1
498	все то	1	1
499	до этого	1	1
500	вещей но	1	1
501	узкое и	1	1
502	если она	1	1
503	менее не	1	1
504	свое одиночество	1	1
505	к бытию	1	1
506	к своему	1	1
507	не могут	2	1
508	его личной	1	1
509	перед нами	2	1
510	не что	1	1
511	в мир	1	1
512	в первой	5	1
513	для понимания	2	1
514	все моменты	1	1
515	дело здесь	1	1
516	среди прочих	1	1
517	имеет значение	1	1
518	этом смысле	2	1
519	известной степени	3	1
520	и большим	1	1
521	тем и	1	1
522	и другим	1	1
523	котором он	1	1
524	к кому	1	1
525	мира и	1	1
526	время и	1	1
527	не с	3	1
528	ни к	3	1
529	пришлось бы	1	1
530	от всего	1	1
531	второй и	2	1
532	и последовательность	1	1
533	личности и	4	1
534	он оказывается	1	1
535	отношении к	2	1
536	быть и	2	1
537	между ними	4	1
538	со мной	1	1
539	была бы	3	1
540	от всех	1	1
541	в действительности	1	1
542	которой я	1	1
543	ее в	2	1
544	и другие	2	1
545	оказывается уже	1	1
546	том числе	2	1
547	они не	1	1
