N	2gram	Vinokur_St_2	EvropaiC
1	таким образом	10	32
2	в том	27	31
3	и в	29	24
4	том что	27	20
5	все эти	2	19
6	не может	2	18
7	то что	11	17
8	может быть	2	15
9	народа в	2	15
10	все же	6	15
11	точки зрения	5	13
12	самом деле	3	12
13	в своем	9	12
14	до сих	6	12
15	в этом	21	12
16	сих пор	5	12
17	с этим	3	11
18	между тем	5	11
19	все это	11	11
20	по отношению	1	10
21	так и	9	10
22	как бы	5	10
23	отношению к	1	10
24	все что	1	10
25	того же	2	9
26	на то	2	9
27	при этом	2	9
28	как и	2	9
29	в результате	2	9
30	что в	19	9
31	в самом	7	8
32	с точки	2	8
33	не в	4	8
34	если бы	2	8
35	так же	3	8
36	и все	1	8
37	а между	1	7
38	на самом	3	7
39	из этих	1	7
40	из элементов	1	7
41	о которых	2	7
42	или менее	2	7
43	не менее	3	7
44	по существу	2	7
45	того чтобы	6	7
46	к тому	10	7
47	о том	17	7
48	и что	6	7
49	что он	13	7
50	для того	7	7
51	но и	19	7
52	и не	9	7
53	более или	2	7
54	из этого	1	7
55	еще не	1	6
56	и на	6	6
57	в общем	3	6
58	тогда как	2	6
59	что касается	1	6
60	в этой	2	6
61	несмотря на	2	6
62	что и	2	6
63	при чем	1	6
64	того что	5	6
65	только в	2	6
66	все они	1	6
67	так что	3	6
68	так как	2	6
69	мы можем	1	6
70	с другой	4	6
71	вместе с	7	6
72	отличается от	1	6
73	как на	9	6
74	из всех	1	5
75	столь же	1	5
76	и к	4	5
77	но в	8	5
78	в которой	11	5
79	что это	3	5
80	в себе	2	5
81	тому же	3	5
82	не только	19	5
83	и если	1	5
84	но все	7	5
85	не будет	1	5
86	что все	1	5
87	и с	4	5
88	на все	1	5
89	его в	2	5
90	и без	1	5
91	что с	2	5
92	в то	2	5
93	как будто	1	5
94	что при	1	5
95	по сравнению	1	5
96	в пользу	3	5
97	в его	13	5
98	потому что	9	5
99	и их	1	5
100	у него	1	5
101	именно в	4	5
102	ничем не	1	5
103	другой стороны	3	5
104	по своему	2	5
105	сравнению с	1	5
106	и для	1	5
107	и от	1	5
108	к этому	4	5
109	одним из	6	4
110	и то	1	4
111	народ и	1	4
112	то же	2	4
113	совершенно так	2	4
114	из того	1	4
115	отношение к	1	4
116	что как	1	4
117	хотя и	4	4
118	он не	9	4
119	мало того	1	4
120	факт что	6	4
121	из них	3	4
122	в их	3	4
123	тем не	2	4
124	том же	2	4
125	что эта	3	4
126	и проч	1	4
127	связи с	4	4
128	и сейчас	3	4
129	никогда не	3	4
130	на вопрос	3	4
131	не выше	1	4
132	не так	1	4
133	в конце	2	4
134	все-таки не	1	4
135	в области	2	4
136	а с	3	4
137	в в	1	4
138	конце концов	1	4
139	его собственной	1	4
140	тот факт	4	4
141	не могут	1	4
142	в течение	6	4
143	самого себя	1	4
144	этом случае	1	4
145	хотя бы	3	4
146	совершенно не	2	4
147	в таком	1	4
148	как известно	2	3
149	же как	3	3
