N	2gram	Tiupa_Anal_2	VrazhdaK
1	не только	16	9
2	в этом	18	8
3	и в	16	8
4	и что	1	8
5	но и	12	7
6	и все	3	7
7	то что	7	7
8	что в	2	7
9	но в	6	6
10	в нем	1	6
11	как и	14	6
12	в котором	2	6
13	о нем	1	6
14	в начале	1	6
15	и даже	9	6
16	в романе	1	6
17	то же	4	5
18	об этом	1	5
19	в то	2	5
20	же время	2	5
21	между тем	2	5
22	у него	4	5
23	и не	12	5
24	при этом	10	4
25	это не	1	4
26	несмотря на	3	4
27	все это	4	4
28	в виду	1	4
29	с ним	2	4
30	о том	7	4
31	для нас	1	4
32	уже в	1	4
33	может быть	6	4
34	как бы	10	4
35	так же	2	4
36	речь идет	2	3
37	я не	1	3
38	он был	2	3
39	в чем	1	3
40	с его	1	3
41	в своем	4	3
42	и как	1	3
43	раз в	1	3
44	на то	2	3
45	его в	2	3
46	он не	2	3
47	далеко не	1	3
48	том что	12	3
49	и его	4	3
50	связи с	1	3
51	человека в	1	3
52	и о	1	3
53	и во	2	3
54	в его	2	3
55	в том	12	3
56	в конце	4	3
57	тем что	3	3
58	в связи	1	3
59	о себе	2	3
60	эти слова	1	3
61	т е	2	3
62	к этому	2	3
63	отношения к	2	2
64	и то	3	2
65	на место	1	2
66	и он	2	2
67	столь же	4	2
68	ответ на	3	2
69	тогда как	19	2
70	человека с	1	2
71	отнюдь не	8	2
72	в известном	1	2
73	в этой	9	2
74	в себе	7	2
75	время и	1	2
76	нашего времени	4	2
77	таким образом	2	2
78	в одну	2	2
79	в мире	6	2
80	в глазах	1	2
81	в них	1	2
82	сказал он	1	2
83	не мог	3	2
84	в эту	3	2
85	точки зрения	4	2
86	в своей	2	2
87	и ее	1	2
88	с точки	2	2
89	место в	3	2
90	не менее	4	2
91	том же	1	2
92	одна из	1	2
93	никогда не	3	2
94	и далее	1	2
95	на это	1	2
96	же не	2	2
97	на основе	2	2
98	еще не	2	2
99	эту сцену	1	2
100	а также	7	2
101	тем более	1	2
102	уже не	4	2
103	из них	3	2
104	его и	1	2
105	могли быть	1	2
106	для него	4	2
107	к ним	1	2
108	как раз	4	2
109	и т.п	8	2
110	и стал	2	2
111	о чем	2	2
112	начиная с	1	2
113	не может	4	2
114	вместе с	2	2
115	довольно много	1	2
116	но это	1	2
117	что я	1	2
118	же в	1	2
119	а в	3	2
120	в свою	1	2
121	это в	1	2
122	а между	1	1
123	как известно	1	1
124	этого в	1	1
125	ко всем	1	1
126	также и	1	1
127	того же	4	1
128	идет о	1	1
129	по преимуществу	4	1
130	едва ли	3	1
131	в их	3	1
132	по его	1	1
133	полагает что	1	1
134	той же	2	1
135	что никто	1	1
136	героя нашего	3	1
137	именно к	1	1
138	не слишком	1	1
139	совпадает с	4	1
140	говорить о	6	1
141	в полной	1	1
142	событий и	1	1
143	ему в	3	1
144	всего романа	1	1
145	собой в	2	1
146	служит для	1	1
147	слова часто	2	1
148	как правило	4	1
149	и всего	1	1
150	совсем не	1	1
151	но не	4	1
152	а тем	1	1
153	о смерти	1	1
154	в сторону	5	1
155	не все	1	1
156	и т.д	3	1
157	тут же	1	1
158	говорилось выше	1	1
159	и я	2	1
160	как говорит	2	1
161	для русской	1	1
162	независимо от	1	1
163	как в	4	1
164	для всех	2	1
165	третий раз	1	1
166	и наконец	1	1
167	знаю что	2	1
168	себе не	2	1
169	в самом	6	1
170	в целом	8	1
171	момент его	2	1
172	не был	3	1
173	что же	1	1
174	еще один	1	1
175	рассказ о	1	1
176	встреча с	1	1
177	тому же	4	1
178	но ведь	1	1
179	как он	1	1
180	да и	1	1
181	от которого	2	1
182	имело бы	1	1
183	в первой	3	1
184	ключ к	3	1
185	всех этих	1	1
186	прочим и	1	1
187	в силу	1	1
188	уже говорилось	4	1
189	что ни	1	1
190	никому не	1	1
191	однако в	1	1
192	одно и	1	1
193	их и	1	1
194	а их	1	1
195	не имело	1	1
196	в глубине	1	1
197	самим собой	1	1
198	это было	2	1
199	заключается в	1	1
200	было бы	3	1
201	в жизни	1	1
202	и романа	2	1
203	соответствии с	2	1
204	этого не	1	1
205	которой он	1	1
206	он и	2	1
207	однажды в	1	1
208	но искусство	1	1
209	такой же	1	1
210	но я	1	1
211	в этих	2	1
212	и их	2	1
213	что о	1	1
214	м о	1	1
215	и пошел	1	1
216	встрече с	1	1
217	своего рода	12	1
218	и уж	1	1
219	этот персонаж	1	1
220	печорина из	2	1
221	тем не	3	1
222	по крайней	3	1
223	второй раз	1	1
224	что этот	1	1
225	не должна	1	1
226	а вот	1	1
227	раз и	1	1
228	вплоть до	1	1
229	тем самым	4	1
230	не имеет	2	1
231	было не	1	1
232	как о	3	1
233	только не	4	1
234	не учитывать	1	1
235	автора к	1	1
236	ничего не	9	1
237	его судьбу	1	1
238	эпизода с	1	1
239	по своей	1	1
240	в окно	2	1
241	это слово	1	1
242	потому что	1	1
243	в эпизоде	10	1
244	этом отношении	3	1
245	и сомнения	1	1
246	в мировой	1	1
247	органическое единство	1	1
248	могут быть	10	1
249	во все	1	1
250	стал смотреть	2	1
251	похож на	1	1
252	ли не	2	1
253	сама жизнь	1	1
254	отличается от	1	1
255	не есть	2	1
256	постановки вопроса	1	1
257	с ее	2	1
258	свою очередь	1	1
259	но при	1	1
260	имеет никаких	1	1
261	в ее	1	1
262	но мы	1	1
263	роль в	2	1
264	и сам	3	1
265	так и	15	1
266	не с	4	1
267	было в	1	1
268	которого у	1	1
269	нам уже	1	1
270	еще в	2	1
271	во второй	4	1
272	жизнь и	1	1
273	они выступают	1	1
274	с героем	1	1
275	короче говоря	1	1
276	за мною	2	1
277	второй половине	1	1
278	это была	1	1
279	между нами	1	1
280	к нему	1	1
281	во всех	4	1
282	от них	1	1
283	реванш за	1	1
284	крайней мере	3	1
285	вслед за	2	1
286	романа в	3	1
287	не знаю	2	1
288	в литературе	1	1
289	в третий	1	1
290	имеется в	1	1
291	этом смысле	2	1
292	один из	2	1
293	ее уже	1	1
294	сразу же	1	1
295	за исключением	1	1
296	ли он	1	1
297	то он	1	1
298	за которую	1	1
299	в качестве	11	1
300	себя в	2	1
301	внимание в	1	1
302	выступают как	1	1
303	больше не	1	1
304	целого ряда	1	1
305	этот раз	1	1
306	ни с	2	1
307	говорит о	5	1
308	пока не	1	1
309	страстью к	1	1
310	в одном	2	1
311	существенно что	1	1
312	каждый из	1	1
313	связан с	1	1
314	и речи	1	1
315	о своей	2	1
316	и из	1	1
317	с другой	6	1
318	говорит я	1	1
319	именно в	3	1
320	что тот	1	1
321	все равно	1	1
322	характерно для	1	1
323	традиционного для	1	1
324	прежде всего	3	1
325	в соответствии	2	1
326	попадает в	3	1
327	при участии	1	1
328	на этот	2	1
329	какую-то таинственную	1	1
330	в рассказе	1	1
331	романа однако	1	1
332	одну из	2	1
333	себя на	1	1
334	в частности	16	1
335	однако некоторые	1	1
336	упоминание о	2	1
337	в ответ	2	1
338	по которой	1	1
339	того что	2	1
340	ее участников	1	1
341	хотя он	1	1
342	я с	1	1
343	н и	2	1
344	поскольку сам	1	1
345	в свое	1	1
346	еще раз	1	1
347	известном смысле	1	1
348	в основном	1	1
349	между прочим	1	1
350	ближе к	1	1
351	и выражение	1	1
352	более того	1	1
353	которых он	1	1
354	и ушел	1	1
355	восходящая к	1	1
356	но на	1	1
357	и другими	2	1
358	я всегда	2	1
359	человек и	1	1
360	тот кто	2	1
361	хотя и	4	1
362	бы в	3	1
363	в литературной	1	1
364	еще более	2	1
365	только что	1	1
366	в обоих	2	1
367	отношении к	1	1
368	слово за	1	1
369	нам не	1	1
370	а о	1	1
371	другой стороны	2	1
372	из этого	1	1
373	к этой	1	1
374	который не	1	1
375	как на	1	1
376	в таком	2	1
377	точно так	1	1
378	все что	2	1
