N	3gram	Losev_Dial_4	Literetu
1	то же время	6	9
2	в то же	6	9
3	не может быть	6	7
4	в том что	9	5
5	с другой стороны	1	4
6	с точки зрения	9	3
7	в данном случае	1	3
8	речь идет о	1	3
9	о том что	1	2
10	не говоря уже	3	2
11	подобно тому как	4	2
12	в этом случае	1	2
13	говоря уже о	3	2
14	по крайней мере	7	2
15	поскольку речь идет	1	2
16	однако в противоположность	1	2
17	тем не менее	2	2
18	в сравнении с	2	2
19	что на нем	1	1
20	и в сущности	1	1
21	не могло не	1	1
22	мы имеем дело	1	1
23	однако в то	1	1
24	он не может	1	1
25	и не может	1	1
26	в этот день	1	1
27	в отличие от	1	1
28	в себе и	1	1
29	из того что	1	1
30	ни с какой	1	1
31	вместе с ним	1	1
32	о себе в	1	1
33	в основе своей	1	1
34	то что было	1	1
35	и вовсе не	1	1
36	с этой точки	2	1
37	что в сравнении	1	1
38	и то что	1	1
39	и в то	2	1
40	ничего общего с	2	1
41	в данный момент	2	1
42	в конце концов	1	1
43	в себя и	1	1
44	имеет ничего общего	2	1
45	уже не раз	1	1
46	так что уже	1	1
47	в нашем случае	1	1
48	не в том	4	1
49	прежде всего в	1	1
50	которая отнюдь не	1	1
51	я не могу	1	1
52	не имеет ничего	2	1
53	этой точки зрения	2	1
54	личности с ее	3	1
55	ныне и присно	1	1
56	имел в виду	1	1
57	находится в его	1	1
58	в свою очередь	2	1
59	не только не	1	1
60	и прежде всего	1	1
61	той или иной	1	1
62	после того как	1	1
63	тех или иных	1	1
64	для того чтобы	5	1
65	в себе не	1	1
66	для этого необходимо	1	1
