N	3gram	Potebnia_M_4	NovoeSre
1	не может быть	5	4
2	подобно тому как	2	3
3	со всех сторон	1	3
4	лицом к лицу	1	3
5	равно как и	2	2
6	что в нем	1	2
7	большую роль в	1	2
8	вместе с тем	3	2
9	с одной стороны	1	2
10	это не значит	2	2
11	с другой стороны	1	2
12	когда мы говорим	3	2
13	вопрос о том	2	2
14	в том и	2	2
15	и того же	1	1
16	нужно помнить что	1	1
17	но это есть	1	1
18	в своем развитии	2	1
19	только потому что	2	1
20	мы говорим что	1	1
21	а не в	1	1
22	и до сих	2	1
23	одного и того	1	1
24	в том числе	1	1
25	потому что не	1	1
26	не было и	2	1
27	до сих пор	4	1
28	и не может	1	1
29	смысле в каком	1	1
30	том случае если	1	1
31	сами по себе	2	1
32	но и в	1	1
33	том числе и	1	1
34	и это есть	2	1
35	заключает в себе	8	1
36	свободы и счастья	1	1
37	может быть только	1	1
38	и не в	1	1
39	в том случае	3	1
40	мысли но в	1	1
41	том смысле в	1	1
42	в том чтобы	1	1
43	но нет и	1	1
44	еще не было	1	1
45	не могут быть	2	1
46	есть всегда процесс	1	1
47	не в том	2	1
48	сказать что все	1	1
49	во всяком случае	3	1
50	лишь в том	1	1
51	то что совершается	1	1
52	в мире а	1	1
53	о том что	5	1
54	в то время	1	1
55	то что в	2	1
56	что совершается в	1	1
57	и вместе с	1	1
58	никогда еще не	1	1
59	мы говорим о	1	1
60	которые могут быть	1	1
61	в большинстве случаев	2	1
62	и быть не	1	1
63	в том смысле	2	1
64	быть не может	1	1
65	в том что	7	1
66	как и в	1	1
67	конечно не в	1	1
