N	3gram	Tiupa_Vved_1	Russkaja
1	то же время	3	10
2	в то же	4	10
3	в том что	3	7
4	на самом деле	3	6
5	во всяком случае	1	6
6	более или менее	2	4
7	на то что	1	4
8	к тому чтобы	1	4
9	не может быть	3	4
10	в этом случае	1	3
11	можно было бы	2	3
12	в данном случае	6	3
13	той или иной	2	3
14	в настоящее время	1	2
15	все что может	1	2
16	в этом направлении	1	2
17	о том что	4	2
18	и тем самым	2	2
19	ни одна из	1	2
20	друг от друга	1	2
21	этом и состоит	1	1
22	и того же	1	1
23	никогда не было	1	1
24	и в жизни	2	1
25	но и от	1	1
26	на целый ряд	1	1
27	состоит в том	2	1
28	прежде всего на	1	1
29	в свою очередь	4	1
30	как бы не	1	1
31	по отношению к	7	1
32	уже не на	1	1
33	в том числе	1	1
34	то же самое	1	1
35	в том же	1	1
36	что он может	1	1
37	до известной степени	1	1
38	не могло бы	1	1
39	в этом отношении	4	1
40	том числе и	1	1
41	заключает в себе	1	1
42	к которому принадлежит	1	1
43	в противном случае	1	1
44	таком взгляде на	1	1
45	по крайней мере	1	1
46	отнюдь не является	1	1
47	при таком взгляде	1	1
48	в значительной степени	1	1
49	в том чтобы	2	1
50	жизни но и	1	1
51	но при этом	2	1
52	и в этом	1	1
53	в связи с	1	1
54	тем что они	1	1
55	в полной мере	1	1
56	об этом и	1	1
57	а в том	1	1
58	и все же	4	1
59	в этом и	1	1
60	речь идет о	1	1
61	одного и того	1	1
62	но на самом	1	1
63	тем не менее	3	1
64	и прежде всего	1	1
65	на первый взгляд	1	1
66	а лишь к	1	1
67	к тому же	4	1
68	не только от	1	1
