N	3gram	Bakhtin_Pr_1	Sotsiolo
1	в том что	7	2
2	в конце концов	4	2
3	не в том	1	2
4	по отношению к	11	2
5	это и есть	3	1
6	конечно не в	1	1
7	в том и	1	1
8	и в этом	3	1
9	только то что	2	1
10	по крайней мере	2	1
11	то что в	1	1
12	то же самое	1	1
13	именно в том	2	1
14	том что это	1	1
15	что он говорит	1	1
16	в то же	7	1
17	из тех кто	1	1
18	выходит за пределы	2	1
19	в этом не	1	1
20	как бы он	1	1
21	а в том	1	1
22	то же время	7	1
23	поставить и разрешить	1	1
24	они ни были	1	1
25	и наконец в	1	1
26	в противном случае	1	1
27	и в то	3	1
28	в лучшем случае	2	1
29	бы он ни	1	1
30	во всяком случае	3	1
