N	2gram	Losev_Prob_4	Retstnzi
1	не может	5	4
2	и в	20	3
3	если в	1	2
4	достоевского и	1	2
5	нет и	2	1
6	и можно	5	1
7	больше ничего	2	1
8	себе все	2	1
9	смысл и	1	1
10	и событий	1	1
11	и не	28	1
12	зрения их	1	1
13	можно и	1	1
14	тому что	1	1
15	вещей и	1	1
16	не только	24	1
17	ни один	1	1
18	художественного произведения	1	1
19	связи с	3	1
20	бы на	1	1
21	точки зрения	14	1
22	так называемая	2	1
23	но и	14	1
24	не менее	10	1
25	поставить в	1	1
26	с другими	3	1
27	по своим	1	1
28	и предварительно	1	1
29	в ней	7	1
30	с теми	1	1
31	в то	4	1
32	с точки	11	1
33	и на	3	1
34	категорий то	1	1
35	для него	3	1
36	мы видим	1	1
37	может не	1	1
38	и больше	2	1
39	сравнении с	2	1
40	анализа и	1	1
41	к тому	3	1
42	художественной структуры	2	1
43	категорий столь	1	1
44	а не	7	1
45	его от	1	1
46	может быть	9	1
47	при анализе	1	1
48	несмотря на	4	1
49	в его	3	1
50	он в	1	1
51	то же	7	1
52	и все	8	1
53	из этих	1	1
54	можно назвать	2	1
55	если бы	8	1
56	в каждом	1	1
57	исходя из	1	1
58	бы в	1	1
