N	3gram	Propp_Isto_5	Myshleni
1	для того чтобы	3	14
2	по отношению к	2	12
3	в том что	2	11
4	с точки зрения	1	9
5	так же как	3	7
6	друг с другом	2	7
7	потому что он	2	5
8	с самого начала	1	5
9	можно сказать что	1	5
10	подобно тому как	1	4
11	из того что	1	4
12	с этой точки	1	4
13	то время как	1	4
14	этой точки зрения	1	4
15	в то время	1	4
16	о том что	4	4
17	это значит что	2	4
18	состоит в том	1	3
19	в этом случае	7	3
20	до сих пор	2	3
21	с одной стороны	7	3
22	в процессе развития	1	3
23	в свою очередь	1	3
24	не может быть	3	3
25	вопрос о том	1	3
26	в тот момент	1	2
27	потому что в	1	2
28	в самом деле	1	2
29	о том как	2	2
30	знает что он	1	2
31	в зависимости от	1	2
32	что он не	1	2
33	в отличие от	1	2
34	таким образом в	1	2
35	вместе с тем	6	2
36	к этой группе	1	2
37	первый и основной	1	2
38	то что он	1	2
39	с другой стороны	8	2
40	то обстоятельство что	1	2
41	само по себе	1	2
42	хотя бы в	1	2
43	но все же	4	2
44	тот момент когда	1	2
45	мы видим что	4	2
46	как мы видели	1	2
47	с тем мы	1	1
48	его функции в	1	1
49	мы должны будем	1	1
50	совершенно очевидно что	1	1
51	ничего не говорит	1	1
52	на самом деле	1	1
53	выводам что и	1	1
54	что для того	1	1
55	в том числе	1	1
56	никак не может	1	1
57	одной стороны и	1	1
58	же как и	2	1
59	к тем же	1	1
60	только в том	1	1
61	бы допустить что	1	1
62	сам по себе	1	1
63	как мы увидим	3	1
64	то здесь мы	1	1
65	что не только	1	1
66	что мы знаем	1	1
67	том числе и	1	1
68	совершенно так же	1	1
69	допустить что этот	1	1
70	а главным образом	1	1
71	мы до сих	1	1
72	происходит потому что	1	1
73	как уже указано	1	1
74	нигде прямо не	1	1
75	как и его	1	1
76	чем перейти к	1	1
77	и многие другие	1	1
78	но мы знаем	1	1
79	этом случае мы	1	1
80	это было бы	1	1
81	это происходит потому	1	1
82	в основе которых	1	1
83	и потому что	1	1
84	и из его	1	1
85	не только для	1	1
86	и тем самым	1	1
87	в связи с	4	1
88	но вместе с	3	1
89	мы уже говорили	1	1
90	во всяком случае	1	1
91	тем не менее	4	1
92	образом мы видим	1	1
93	и таким образом	2	1
94	таким образом мы	2	1
95	в том чтобы	2	1
96	и вместе с	2	1
97	на вопрос почему	1	1
98	мы знаем что	4	1
99	знаем что это	2	1
100	не говорит об	1	1
101	что в его	1	1
102	видим что в	1	1
103	то же что	1	1
104	в то же	1	1
105	она представляет собой	1	1
106	в том смысле	1	1
107	являются с одной	1	1
