1	в то же	5	9
2	то же время	5	7
3	для того чтобы	1	7
4	с точки зрения	2	5
5	в зависимости от	1	5
6	обратное влияние на	1	4
7	как бы в	1	3
8	но и в	2	3
9	не только в	1	3
10	той или иной	1	3
11	не забудем что	1	3
12	в конце концов	1	3
13	в той же	4	3
14	в этом отношении	3	2
15	мы будем говорить	1	2
16	все то что	4	2
17	не может быть	1	2
18	и не только	1	2
19	в связи с	1	2
20	и т.п но	3	2
21	как мы увидим	2	2
22	в значительной степени	1	2
23	и т.п и	2	2
24	вместе с тем	1	2
25	смысле этого слова	1	2
26	мы видим что	1	2
27	как мы уже	6	2
28	можно сказать что	1	2
29	мы видели что	1	2
30	но все же	1	2
31	с тем и	1	2
32	о том что	5	2
33	но в то	1	2
34	и в особенности	2	1
35	здесь же мы	1	1
36	до сих пор	3	1
37	вполне понятно что	2	1
38	другого человека в	1	1
39	в этом отрывке	2	1
40	всего того что	1	1
41	на поле брани	1	1
42	если мы будем	1	1
43	и тем же	1	1
44	у нас на	1	1
45	так и от	1	1
46	в другом месте	4	1
47	в себе и	1	1
48	и как бы	1	1
49	о том какое	2	1
50	это как бы	1	1
51	на лице и	1	1
52	и т.п это	1	1
53	и т.п как	1	1
54	точку зрения на	1	1
55	прежде всего мы	2	1
56	одного и того	1	1
57	это связано с	1	1
58	нужно отметить что	1	1
59	более или менее	1	1
60	все связанное с	1	1
61	мы увидим дальше	1	1
62	существовать не может	1	1
63	один из ее	1	1
64	с каждым новым	1	1
65	до наших дней	1	1
66	в том что	2	1
67	и в романе	1	1
68	в большинстве случаев	4	1
69	и того же	1	1
70	один из этих	1	1
71	не мог он	1	1
72	связанных с ними	1	1
73	о котором мы	3	1
74	на этот вопрос	1	1
75	в самом деле	4	1
76	та или иная	1	1
77	и наконец с	1	1
78	как мы видим	1	1
79	и никак не	1	1
80	и он является	1	1
81	это прежде всего	2	1
82	уже говорили в	1	1
83	как и вообще	1	1
84	в беседе с	1	1
85	с другой стороны	2	1
86	прежде всего с	1	1
