N	3gram	Bakhtin_Fr_1	Morfolog
1	мы видим что	1	9
2	в связи с	1	8
3	не может быть	1	8
4	по отношению к	1	4
5	с точки зрения	3	4
6	с другой стороны	1	4
7	не могут быть	1	3
8	и пр и	1	3
9	на самом деле	2	3
10	но все же	2	3
11	в настоящее время	1	2
12	в собственном смысле	1	2
13	и в других	2	2
14	с одной стороны	2	2
15	в большинстве случаев	2	2
16	для того чтобы	1	2
17	в том что	6	2
18	вне связи с	1	2
19	и ни к	1	1
20	и может быть	1	1
21	и в новой	1	1
22	бросается в глаза	1	1
23	этот вопрос мы	2	1
24	это уже не	3	1
25	том что он	1	1
26	как бы в	1	1
27	бы они ни	1	1
28	до сих пор	4	1
29	во всей своей	1	1
30	еще придется остановиться	1	1
31	но это не	1	1
32	в наши дни	1	1
33	эти и подобные	1	1
34	и в некоторых	1	1
35	в применении к	3	1
36	и многие другие	1	1
37	на этот вопрос	2	1
38	один из них	1	1
39	не входит в	2	1
40	все более и	1	1
41	во всяком случае	1	1
42	из них не	1	1
43	главным образом как	1	1
44	во всех этих	2	1
45	имеет огромное значение	1	1
46	то же время	1	1
47	мы имеем в	1	1
48	той или иной	5	1
49	можно сказать что	1	1
50	и многое другое	1	1
51	в то же	1	1
52	более и более	1	1
53	возвращается к себе	1	1
54	друг с другом	1	1
55	во многих отношениях	1	1
