N	3gram	Voloshinov_1	NovoeSre
1	в высшей степени	1	6
2	не может быть	7	4
3	подобно тому как	1	3
4	со всех сторон	1	3
5	равно как и	1	2
6	в этом смысле	1	2
7	так же как	1	2
8	с одной стороны	2	2
9	с другой стороны	2	2
10	в свои права	1	2
11	в том и	1	2
12	она не может	1	2
13	а не к	1	1
14	самом себе и	1	1
15	на протяжении всей	1	1
16	то время как	1	1
17	же как и	1	1
18	до сих пор	3	1
19	и не может	3	1
20	в зависимости от	2	1
21	сами по себе	1	1
22	но и в	1	1
23	можно было бы	1	1
24	и в истории	1	1
25	может быть только	1	1
26	и не в	3	1
27	к вопросу о	1	1
28	в такой же	2	1
29	во всяком случае	1	1
30	не должно быть	1	1
31	и в формах	1	1
32	о том что	1	1
33	в то время	1	1
34	вступает в свои	1	1
35	ни в чем	1	1
36	в значительной степени	1	1
37	но для этого	1	1
38	должна быть понята	1	1
39	в том что	4	1
40	как и в	1	1
41	мы отлично знаем	1	1
