N	3gram	Losev_Dial_1	Komedia
1	в том что	7	9
2	и т п	2	5
3	в то время	1	5
4	с другой стороны	4	5
5	к тому же	1	5
6	то время как	1	4
7	в конце концов	3	4
8	то же время	4	4
9	в то же	4	4
10	и т д	19	4
11	в этом отношении	2	3
12	с одной стороны	2	3
13	о том что	2	3
14	несмотря на всю	4	3
15	то же самое	1	2
16	в первую очередь	1	2
17	до сих пор	2	2
18	во всяком случае	2	2
19	на то что	4	2
20	в новое время	1	2
21	которых говорится в	1	1
22	что иное как	1	1
23	хотя и не	1	1
24	или хотя бы	2	1
25	что под этим	1	1
26	что же касается	1	1
27	другой стороны в	1	1
28	не связанное с	1	1
29	как раз на	1	1
30	более или менее	3	1
31	и чаще всего	1	1
32	и даже не	2	1
33	а между тем	1	1
34	и даже до	1	1
35	те и другие	1	1
36	каждая из них	1	1
37	можно говорить о	1	1
38	о которых говорится	1	1
39	в чем не	1	1
40	реальная жизнь и	1	1
41	сам по себе	6	1
42	можно было бы	4	1
43	т е явление	1	1
44	с такой же	1	1
45	что все это	1	1
46	в коем случае	1	1
47	на себе все	1	1
48	в чем же	1	1
49	так или иначе	1	1
50	если они не	1	1
51	из других источников	1	1
52	ни в чем	2	1
53	т д все	1	1
54	что он не	2	1
55	и тому же	1	1
56	как один из	2	1
57	потому что и	2	1
58	с самого начала	1	1
59	ни в коем	1	1
60	не что иное	1	1
61	к одному и	1	1
62	к нему с	1	1
63	может и не	2	1
64	друг от друга	1	1
65	к тому что	2	1
66	не заметить что	1	1
67	в отношении к	1	1
68	тем не менее	1	1
69	на всю ее	1	1
70	мы уже знаем	1	1
71	для того чтобы	1	1
72	так как он	2	1
73	одному и тому	1	1
74	но и все	1	1
