N	3gram	Losev_Vlad_1	Vvedenie
1	и т д	2	36
2	для того чтобы	2	20
3	в том что	7	12
4	о том что	7	12
5	в этом смысле	4	8
6	не может быть	3	8
7	тем не менее	2	8
8	в самом деле	1	6
9	то же время	4	6
10	в то же	4	6
11	в том чтобы	2	5
12	с другой стороны	3	5
13	что иное как	1	4
14	и в особенности	1	4
15	в этом отношении	1	4
16	не только в	2	4
17	и в этом	1	4
18	так или иначе	1	4
19	во всяком случае	2	4
20	не что иное	1	4
21	с одной стороны	1	4
22	в том виде	1	3
23	также и в	1	3
24	с тем что	1	3
25	вместе с тем	1	3
26	но в то	1	3
27	и в том	1	3
28	заключается в том	1	3
29	можно сказать что	2	3
30	в принципиальном отношении	1	3
31	в свое время	5	3
32	дело в том	4	2
33	и той же	1	2
34	не говоря уже	1	2
35	во второй половине	1	2
36	что же касается	4	2
37	в значительной мере	1	2
38	в конце концов	3	2
39	смысле этого слова	1	2
40	или иначе но	1	2
41	в связи с	1	2
42	а также и	1	2
43	есть не что	1	2
44	к этому времени	2	2
45	как мы уже	3	2
46	по этому поводу	1	2
47	одной и той	1	2
48	мы уже знаем	1	2
49	т д в	1	2
50	и в конце	1	1
51	независимо и от	1	1
52	тех пор пока	1	1
53	сказать что он	1	1
54	того что в	1	1
55	мы имеем дело	1	1
56	потому что в	1	1
57	более или менее	3	1
58	в настоящее время	1	1
59	в том же	1	1
60	том виде в	1	1
61	как это было	1	1
62	говоря уже о	1	1
63	по поводу того	1	1
64	учиться и что	1	1
65	но что такое	1	1
66	также и то	2	1
67	но в общем	1	1
68	уже после смерти	1	1
69	и в дальнейшем	1	1
70	только то что	1	1
71	что не только	1	1
72	виде в каком	1	1
73	то что этот	1	1
74	имеем дело с	1	1
75	и то что	4	1
76	одно и то	1	1
77	было вполне естественно	1	1
78	уже о том	1	1
79	при жизни а	1	1
80	то что у	2	1
81	как раз в	1	1
82	то ни было	1	1
83	все что может	1	1
84	и то же	1	1
85	может быть никакой	1	1
86	и потому что	3	1
87	притом не только	1	1
88	эта наука не	1	1
89	потому что она	1	1
90	да и что	1	1
91	еще и потому	2	1
92	пор пока не	1	1
93	бы то ни	1	1
94	хотя бы на	1	1
95	лицом к лицу	1	1
96	а в том	1	1
97	и есть тот	1	1
98	у него в	1	1
99	до тех пор	1	1
100	то обстоятельство что	2	1
101	не потому что	1	1
102	в свою очередь	1	1
103	по истории и	1	1
104	что на этот	1	1
105	и никогда не	1	1
106	так как в	1	1
107	правда в очень	1	1
108	уже не только	1	1
109	к тому что	1	1
110	в истории русской	1	1
111	в сравнении с	1	1
112	не в этом	1	1
113	только с помощью	1	1
