N	3gram	Bakhtin_sl_1	KFilosof
1	не может быть	1	11
2	с точки зрения	8	10
3	единого и единственного	4	8
4	может быть только	2	6
5	в отвлечении от	1	5
6	единому и единственному	1	4
7	в нем и	1	3
8	того или иного	2	3
9	но и здесь	3	3
10	и в этом	2	3
11	единый и единственный	2	3
12	имеем в виду	1	2
13	он может быть	1	2
14	к единому и	1	2
15	от единого и	1	2
16	бы то ни	1	2
17	то или иное	1	2
18	то ни было	1	2
19	на своем месте	1	2
20	во всех этих	1	2
21	во всех своих	1	2
22	то же время	12	2
23	могла бы быть	1	2
24	той или иной	9	2
25	в то же	12	2
26	тем не менее	1	2
27	в том что	1	2
28	и на своем	1	1
29	и связанных с	2	1
30	не может не	5	1
31	а следовательно и	1	1
32	но во всяком	1	1
33	своем месте и	1	1
34	для того или	1	1
35	может казаться что	1	1
36	связанных с ними	1	1
37	равно как и	1	1
38	мы ничего не	1	1
39	и их взаимное	1	1
40	себя в нем	3	1
41	а не к	1	1
42	подхода к действительности	1	1
43	и во всех	2	1
44	в лучшем случае	2	1
45	в зависимости от	3	1
46	хотя бы и	3	1
47	с ним в	1	1
48	нет подхода к	1	1
49	одновременно и в	2	1
50	но это не	1	1
51	нечто чего не	1	1
52	в противном случае	1	1
53	в нем в	3	1
54	со всех сторон	1	1
55	и не в	1	1
56	может быть и	1	1
57	и в то	5	1
58	она всегда в	1	1
59	остановимся еще на	1	1
60	в первом случае	2	1
61	не есть еще	1	1
62	но в то	4	1
63	лежит в основе	1	1
64	нисколько не понижает	1	1
65	на задний план	1	1
66	в качестве необходимого	1	1
67	в известном смысле	2	1
68	каково бы оно	1	1
69	а не как	2	1
70	это не значит	1	1
71	бы оно ни	1	1
72	дело в том	1	1
73	во всяком случае	5	1
74	не должно быть	1	1
75	том что между	1	1
76	для того чтобы	1	1
77	оно ни было	1	1
78	всех своих моментах	1	1
79	в значительной степени	1	1
80	все это может	1	1
81	никогда не может	1	1
82	в свою очередь	2	1
83	до конца и	3	1
84	но сама она	1	1
85	в его собственном	1	1
86	включает в себя	1	1
87	но в этом	1	1
88	как бы ни	2	1
89	и вследствие этого	1	1
90	в другом случае	2	1
91	в большинстве случаев	6	1
92	себя в своем	1	1
93	к тому что	2	1
94	во всех его	7	1
95	себя до конца	1	1
96	все это разные	1	1
97	бы и с	1	1
98	уже не только	1	1
